#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,  2.938898413594445,                  5.0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             8.0,        9, 0.12401390835717498,                5.0,                  5.0
             8.0,       10, 0.14595162809406764,                5.0,                  5.0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             3.0,        8, 0.15498686897492434,                5.0,                  5.0
             2.0,        6, 0.13384015607946892,                5.0,                  5.0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             2.0,        9, 0.13615310053263455,                5.0,                  5.0
             5.0,        6, 0.1162549511188045,                5.0,                  5.0
             6.0,        8, 0.22482624155028105,  2.545939844720053,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             6.0,       10, 0.09878355892153225, 3.1465489773396644,                  5.0
             6.0,        8, 0.22482624155028105,  1.073602224832829,    4.513516843778509
             2.0,        9, 0.13615310053263455,                5.0,                  5.0
             5.0,        6, 0.1162549511188045,                5.0,                  5.0
             3.0,        8, 0.2085888179048035, 1.5995233091304355,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,                5.0,                  5.0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             5.0,        9, 0.17336086930523503,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,                5.0,                  5.0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             7.0,        9, 0.17247382631651098, 3.2736341873988004,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351, 3.3058758195409483,                  5.0
             8.0,       10, 0.14595162809406764,                5.0,                  5.0
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             6.0,        7, 0.13144359073339518,                5.0,                  5.0
             8.0,       10, 0.14595162809406764, 3.7024101085749823,                  5.0
             7.0,        9, 0.20213177535037025, 1.3305998805599586,                  5.0
             4.0,        8, 0.1523300920482727,                5.0,                  5.0
             2.0,        6, 0.08983941691121156, 2.6589962825141953,                  5.0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             5.0,        9, 0.17336086930523503,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             5.0,        6, 0.1162549511188045,  3.761400224493852,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,  4.392866155013758,                  5.0
             5.0,        6, 0.1162549511188045, 3.7911688015761804,                  5.0
             5.0,        8, 0.16742784894897833,  3.726319180725155,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             8.0,        9, 0.12401390835717498,                5.0,                  5.0
             8.0,       10, 0.14595162809406764, 1.5102111020950035,                  5.0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             3.0,        8, 0.15498686897492434,                0.0,                  5.0
             2.0,        6, 0.13384015607946892,  2.908813657897352,                  5.0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             2.0,        9, 0.13615310053263455,                5.0,                  5.0
             5.0,        6, 0.1162549511188045,  2.370347144321137,                  5.0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             2.0,        9, 0.13615310053263455,                5.0,                  5.0
             5.0,        6, 0.1162549511188045,  4.048684307148843,                  5.0
             3.0,        8, 0.2085888179048035, 3.9817858306758898,                  5.0
             4.0,        9, 0.11145756046504351,                0.0,                  5.0
             3.0,        9, 0.19102736496277054,  4.575677883830059,                  5.0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             5.0,        9, 0.17336086930523503, 1.6169326627289635,                  5.0
             3.0,        9, 0.19102736496277054,                5.0,                  5.0
             5.0,        8, 0.16742784894897833, 3.6943071719126372,                  5.0
             7.0,        9, 0.17247382631651098,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             8.0,       10, 0.14595162809406764, 2.9736695257904575,                  5.0
             8.0,       10, 0.19839795230648477,                0.0,    4.273842951705224
             6.0,        7, 0.13144359073339518,                5.0,                  5.0
             8.0,       10, 0.14595162809406764,                5.0,                  5.0
             7.0,        9, 0.20213177535037025,                5.0,                  5.0
             4.0,        8, 0.1523300920482727,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             6.0,        8, 0.22482624155028105,  4.225616652330708,                  5.0
             5.0,        9, 0.17336086930523503, 4.9802752592180655,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             5.0,        6, 0.1162549511188045,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             5.0,        6, 0.1162549511188045,  4.711307833655972,                  5.0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
