#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             9.0,        6, 0.18225992735870453,                5.0,                  5.0
             9.0,        9, 0.05622562214288238,                5.0,                  5.0
             9.0,       10, 0.09693399677138584,  2.938898413594445,                  5.0
             2.0,        4, 0.2527640191516585,                5.0,                  5.0
             1.0,        0,         -1,                0.0,                  0.0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             9.0,        2, 0.08463800045407932,                5.0,                  5.0
             1.0,        3, 0.08510076878922351,                5.0,                  5.0
             5.0,        8, 0.0836794781925627,                5.0,                  5.0
             1.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             7.0,        9, 0.20213177535037025,                5.0,                  5.0
             3.0,        8, 0.1089650058092077,                5.0,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             1.0,        3, 0.42185432195813083,                5.0,                  5.0
             1.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833, 1.1465489773396644,                  5.0
             3.0,        9, 0.1397852214326741,  3.073602224832829,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             2.0,        3, 0.42185432195813083,  0.859064370048905,   1.1606890019013445
             7.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105, 1.5995233091304355,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,                5.0,                  5.0
             3.0,        4, 0.3287966331049933,                5.0,                  5.0
             1.0,       10, 0.11740082783327345,                5.0,                  5.0
             2.0,        7, 0.17568124081579797,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             3.0,        6, 0.18848025029978394, 3.2736341873988004,                  5.0
             6.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             3.0,        8, 0.15498686897492434,                5.0,                  5.0
             4.0,       10, 0.11411738849056953, 3.3058758195409483,                  5.0
             2.0,        2, 0.5418282154015284,                5.0,    4.751781039729697
             2.0,       10, 0.20044666952922632, 4.8687479256196085,                  5.0
             5.0,        7, 0.09769935649668839,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,  4.702410108574982,                  5.0
             6.0,        7, 0.13279588755563745, 3.3305998805599586,                  5.0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             5.0,        9, 0.17336086930523503, 0.6589962825141953,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             2.0,        4, 0.13279588755563745,                5.0,                  5.0
             2.0,        3, 0.42185432195813083, 2.3913676895327884,    4.984273522824365
             2.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             9.0,        9, 0.11005988923197864,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,  2.761400224493852,                  5.0
             2.0,        4, 0.3287966331049933,  4.075303121021877,                  5.0
             3.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105, 2.3928661550137575,                  5.0
             7.0,        9, 0.17247382631651098, 2.7911688015761804,                  5.0
             9.0,        2, 0.08463800045407932,                5.0,                  5.0
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             7.0,        9, 0.07677356545655448,                5.0,                  5.0
             5.0,        8, 0.10816158755409798,                5.0,                  5.0
             4.0,        2, 0.42185432195813083,                5.0,   4.9826234471374935
             1.0,        0,         -1,                0.0,                  0.0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                0.0,                  5.0
             7.0,        7, 0.14412769661009775,  2.908813657897352,                  5.0
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             2.0,        7, 0.17568124081579797,                5.0,                  5.0
             1.0,        0,         -1,  2.370347144321137,                  5.0
             5.0,       10, 0.18984401353976663,                5.0,                  5.0
             9.0,        1, 0.42185432195813083, 0.46554071107036665,   2.4553665361147665
             4.0,        8, 0.22986576699302957,                5.0,                  5.0
             8.0,        9, 0.12401390835717498,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             6.0,        6, 0.18848025029978407,  3.048684307148843,                  5.0
             2.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             1.0,       10, 0.11740082783327345,                5.0,                  5.0
             7.0,        9, 0.07677356545655448, 0.8680405066920205,                  5.0
             3.0,        9, 0.10754003622979472,                5.0,                  5.0
             3.0,        2, 0.5418282154015283,  3.130868202605265,   2.8780945425130318
             5.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632, 0.6169326627289635,                  5.0
             8.0,        7, 0.10223571583725957,                5.0,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             2.0,        3, 0.42185432195813083,  2.928600956730413,   3.8871338921009544
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632, 2.7207703046987834,                  5.0
             1.0,        1, 0.08636476152811597,                5.0,                  5.0
             3.0,        7, 0.5022925210211232,                0.0,  0.03952963299881568
             9.0,        9, 0.15379345111655457, 1.9736695257904575,                  5.0
             5.0,        3, 0.42185432195813083,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             8.0,        2, 0.13279588755563757,                5.0,                  5.0
             1.0,        3, 0.2527640191516585,                5.0,                  5.0
             2.0,       10, 0.20044666952922632,  4.225616652330708,                  5.0
             2.0,        7, 0.17568124081579797, 4.9802752592180655,                  5.0
             5.0,        6, 0.1162549511188045,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             8.0,       10, 0.14595162809406764,                5.0,                  5.0
             7.0,        9, 0.20213177535037025,                5.0,                  5.0
             6.0,        8, 0.089589374632272,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             3.0,        9, 0.1397852214326741,  4.274621978191906,                  5.0
             1.0,        0,         -1,                5.0,                  5.0
             3.0,       10, 0.31438420493550406,                0.0,   1.0874868583132966
             1.0,        3, 0.42185432195813094,  2.168280421108504,    2.841787503635592
             5.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             1.0,       10, 0.11740082783327345,                5.0,                  5.0
             9.0,        5, 0.09043958981933856,                5.0,                  5.0
             4.0,        9, 0.15357641322674276,   4.30104065078525,                  5.0
             6.0,        6, 0.18848025029978407,                0.0,    4.632432906243879
             2.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             1.0,       10, 0.11740082783327345,  3.831036158941987,                  5.0
             9.0,        5, 0.09043958981933856,                5.0,                  5.0
             4.0,        9, 0.15357641322674276,  2.578768685586393,                  5.0
             6.0,        6, 0.18848025029978407, 0.1176151120900144,                  5.0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             5.0,        7, 0.09769935649668839,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             7.0,        7, 0.13279588755563745,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035, 1.5566064095803958,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,                5.0,                  5.0
             4.0,        4, 0.3287966331049933, 3.7508481654830828,                  5.0
             0.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             9.0,        6, 0.18225992735870453,                5.0,                  5.0
             3.0,        8, 0.42734899096745566, 1.0539955949657818,   1.6880605976388228
             9.0,        9, 0.07017045429473627,                5.0,                  5.0
             2.0,        4, 0.13279588755563745,                5.0,                  5.0
             9.0,        1, 0.42185432195813083, 2.5012388118569584,   2.0308514131826283
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             9.0,        2, 0.08463800045407932, 0.6817130174771622,                  5.0
             1.0,        3, 0.08510076878922351,                5.0,                  5.0
             2.0,        8, 0.08367947819256258,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833, 3.2985348790628866,                  5.0
             2.0,        9, 0.13615310053263455,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,  1.168088467077176,                  5.0
             4.0,        4, 0.3287966331049933, 0.8430824947551381,                  5.0
             8.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632,  4.817272553069178,                  5.0
             8.0,        7, 0.10223571583725957,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,                5.0,                  5.0
             6.0,        4, 0.3287966331049933,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             5.0,        9, 0.17336086930523503,                5.0,                  5.0
             6.0,       10, 0.09878355892153225, 3.6673355797744023,                  5.0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
