#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             5.0,        6, 0.18848025029978394, 3.7257845350689682,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             2.0,        7, 0.17568124081579797,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,                5.0,                  5.0
             2.0,        4, 0.3287966331049933, 3.6390106242211018,                  5.0
             5.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105, 2.3727203071462153,                  5.0
             3.0,        9, 0.1397852214326741,  4.085932147694297,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             6.0,        0,         -1,                0.0,                  0.0
             2.0,        3, 0.42185432195813083, 1.8238195182789547,    2.109607611127769
             5.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,  3.511038365004546,                  5.0
             6.0,        4, 0.3287966331049933,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             5.0,        9, 0.17336086930523503,  4.182185498918267,                  5.0
             7.0,        7, 0.14412769661009775,                5.0,                  5.0
             4.0,        6, 0.18848025029978407,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,  3.857245349398897,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             8.0,       10, 0.14595162809406764, 3.5705942085392723,                  5.0
             8.0,        3, 0.42185432195813083, 0.059114726101263115,   2.1348229466428807
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        9, 0.20213177535037025, 0.5026633745550537,                  5.0
             4.0,        8, 0.1523300920482727,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             6.0,        7, 0.13279588755563745,                5.0,                  5.0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             3.0,        9, 0.19102736496277054, 3.1305497173581585,                  5.0
             4.0,        4, 0.3287966331049933,  2.345028624516206,                  5.0
             5.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             5.0,        6, 0.18848025029978394,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             5.0,        7, 0.09769935649668839,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             5.0,        7, 0.13279588755563745,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             5.0,        7, 0.09769935649668839,                5.0,                  5.0
             3.0,        9, 0.19102736496277054, 3.9796087904122484,                  5.0
             4.0,        8, 0.22986576699302957, 2.4930550675097543,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             5.0,        3, 0.42185432195813083,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             7.0,        9, 0.17247382631651098,  3.735877004201795,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             8.0,       10, 0.14595162809406764,  4.534499333352747,                  5.0
             8.0,        3, 0.42185432195813083,  3.738923372703499,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.19839795230648477,  2.824907698505773,                  5.0
             7.0,        9, 0.07677356545655448,                5.0,                  5.0
             4.0,        6, 0.11514287675902747,  4.696267349511523,                  5.0
             2.0,        4, 0.2527640191516585,                5.0,                  5.0
             6.0,        1, 0.7109242800553772,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        8, 0.22986576699302957, 2.6689873074947883,                  5.0
             5.0,        9, 0.17336086930523503,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,                5.0,                  5.0
             4.0,        4, 0.3287966331049933, 0.5291700379259665,   2.6124986941171797
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             5.0,        6, 0.18848025029978394, 3.7870449076185855,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             3.0,        8, 0.15498686897492434,                5.0,                  5.0
             2.0,        6, 0.13384015607946892,                5.0,                  5.0
             5.0,        6, 0.18848025029978394,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
