#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             3.0,        6, 0.02257223696122076,                5.0,                  5.0
             4.0,        9, 0.02876881915061783,                5.0,                  5.0
             3.0,        5, 0.005929155701886616,                5.0,                  5.0
             4.0,        5, 0.27614718283619827, 0.058405739911953525,   4.9430281204115385
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             3.0,        6, 0.02064912361820925,                5.0,                  5.0
             1.0,        5, 0.00392297451269615,                5.0,                  5.0
             3.0,        5, 0.005963137995897741,                5.0,                  5.0
             5.0,        7, 0.1617486592897896, 2.0584057399119535,                  5.0
             1.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             2.0,        5, 0.012862904826842422,                5.0,                  5.0
             3.0,        7, 0.010350790029682274,                5.0,                  5.0
             2.0,        2, 0.004394071550607879,                5.0,                  5.0
             1.0,        2, 0.050016864009958875, 4.0584057399119535,                  5.0
             1.0,        2, 0.14285674351789215,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             3.0,        7, 0.028355995898631112,                5.0,                  5.0
             3.0,        7, 0.012952286914894138,                5.0,                  5.0
             1.0,        2, 0.004380280430376903,                5.0,                  5.0
             4.0,        7, 0.057958056831716176, 4.0584057399119535,                  5.0
             1.0,        5, 0.009919706224955676,                5.0,                  5.0
             3.0,        7, 0.018962040675777968,                5.0,                  5.0
             3.0,        9, 0.013899957384188064,                5.0,                  5.0
             1.0,        2, 0.04726925425821914,                5.0,                  5.0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             2.0,        5, 0.012862904826842422,                5.0,                  5.0
             6.0,        9, 0.04615599577187233,                5.0,                  5.0
             2.0,        5, 0.050684718423378204,                5.0,                  5.0
             5.0,        4, 0.36008683552197845,                0.0,    0.943028120411538
             1.0,        0,         -1,                  0,                    0
             1.0,        5, 0.009919706224955676,                5.0,                  5.0
             5.0,        8, 0.053098040078053334,                5.0,                  5.0
             0.0,        5, 0.006249447518970727,                5.0,                  5.0
             1.0,        2, 0.003101248086737408,                5.0,                  5.0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             2.0,        5, 0.012862904826842422,                5.0,                  5.0
             2.0,        5, 0.00548536775079292,                5.0,                  5.0
             4.0,        9, 0.012062762288217947,                5.0,                  5.0
             4.0,        4, 0.35442162887785245,                0.0,    0.943028120411538
             2.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             4.0,        8, 0.038422399439927084,                5.0,                  5.0
             5.0,        7, 0.031382490464659164,                5.0,                  5.0
             1.0,        2, 0.0034623094750160293,                5.0,                  5.0
             2.0,        6, 0.09833473067135223, 4.0584057399119535,                  5.0
             5.0,        2, 0.5867833091085841, 1.6439541266225897,    2.353527190275538
             2.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             3.0,        7, 0.028355995898631112,                5.0,                  5.0
             2.0,        5, 0.006440420314651433,                5.0,                  5.0
             1.0,        2, 0.004418203954111354,                5.0,                  5.0
             2.0,        2, 0.0046831618633764015,                5.0,                  5.0
             4.0,        2, 0.05779445650060499,                5.0,                  5.0
             0.0,        4, 0.14991967955196037,                5.0,                  5.0
             6.0,        3, 0.4710436318450226,                0.0,                  0.0
             0.0,        5, 0.006564636557054669,                5.0,                  5.0
             0.0,        5, 0.004523114803318707,                5.0,                  5.0
             1.0,        2, 0.005799134872566434,                5.0,                  5.0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             2.0,        6, 0.012103011168699038,                5.0,                  5.0
