#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             3.0,        6, 0.021608884323593553,                5.0,                  5.0
             7.0,       10, 0.04588444256053695,                5.0,                  5.0
             8.0,        6, 0.28185951334615916,  3.868545493072215,                  5.0
             2.0,        0,         -1,                  0,                    0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             6.0,        8, 0.06923275138147297,                5.0,                  5.0
             7.0,        7, 0.02043768564626204,                5.0,                  5.0
             3.0,        4, 0.2749299705089921,  3.868545493072215,                  5.0
             2.0,        1, 0.7741195185261515,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             6.0,        8, 0.0625892730259569,                5.0,                  5.0
             2.0,        3, 0.010122194531230404,                5.0,                  5.0
             2.0,        2, 0.052628745400157224,                5.0,                  5.0
             5.0,        6, 0.15715202982079818, 2.0584057399119535,                  5.0
             1.0,        1, 0.7810760238114802,                0.0,                  0.0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             8.0,       10, 0.11427623129876145,                5.0,                  5.0
             7.0,        7, 0.03151055619220105,                5.0,                  5.0
             1.0,        2, 0.26827248463062753,  3.868545493072215,                  5.0
             6.0,        3, 0.9996750557662321,                0.0,                  0.0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             7.0,       10, 0.10544271502660184,                5.0,                  5.0
             3.0,        4, 0.010923874371531268,                5.0,                  5.0
             3.0,        5, 0.0978200565956829,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             3.0,        7, 0.028355995898631112,                5.0,                  5.0
             7.0,       10, 0.08190026012498644,                5.0,                  5.0
             8.0,        8, 0.16919618385740448,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             2.0,        6, 0.012103011168699038,                5.0,                  5.0
             3.0,        9, 0.014088430160278448,                5.0,                  5.0
             0.0,        2, 0.0035587423910270997,                5.0,                  5.0
             1.0,        5, 0.009919706224955676,                5.0,                  5.0
             0.0,        5, 0.003644143028838501,                5.0,                  5.0
             8.0,       10, 0.06370257181783105,                5.0,                  5.0
             2.0,        2, 0.0071984038845763765,                5.0,                  5.0
             8.0,        8, 0.19833014726926881, 2.0584057399119535,                  5.0
             7.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             2.0,        4, 0.012322391202220012,                5.0,                  5.0
             2.0,        2, 0.006226393761902514,                5.0,                  5.0
             9.0,       10, 0.1044851919970735,                5.0,                  5.0
             2.0,        2, 0.3511511695656272,                0.0,    0.943028120411538
             3.0,        2, 0.5914086108260765, 1.6439541266225897,    2.353527190275538
             2.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             8.0,       10, 0.08967697716493787,                5.0,                  5.0
             8.0,        8, 0.041645744897238435,                5.0,                  5.0
             3.0,        2, 0.5811561101584246,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             6.0,       10, 0.10903446283902031,                5.0,                  5.0
             9.0,       10, 0.0915436893887894,                5.0,                  5.0
             9.0,       10, 0.17697853166504726,                5.0,                  5.0
             8.0,       10, 0.12793049442885943,                5.0,                  5.0
             7.0,        7, 0.033436715971424336,                5.0,                  5.0
             3.0,        3, 0.45482308289236756,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             3.0,        6, 0.02257223696122076,                5.0,                  5.0
             3.0,        9, 0.01568600856686038,                5.0,                  5.0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             3.0,        5, 0.01595075005310161,                5.0,                  5.0
             2.0,        2, 0.006831917657187943,                5.0,                  5.0
             1.0,        2, 0.004579691050667597,                5.0,                  5.0
             1.0,        2, 0.010047419144500072,                5.0,                  5.0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             7.0,       10, 0.08402322086746822,                5.0,                  5.0
             7.0,        7, 0.02093422015811013,                5.0,                  5.0
             7.0,        3, 0.9996750557662321,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             8.0,       10, 0.16004209527410385,                5.0,                  5.0
             0.0,        5, 0.010701799632899873,                5.0,                  5.0
             3.0,        5, 0.005787876435168214,                5.0,                  5.0
             7.0,        5, 0.3010381927281259,                0.0,    2.943028120411538
             1.0,        5, 0.009919706224955676,                5.0,                  5.0
             8.0,       10, 0.13998006667045076,                5.0,                  5.0
             1.0,        5, 0.008587780500391249,                5.0,                  5.0
             2.0,        1, 0.004186572279081166,                5.0,                  5.0
             2.0,        6, 0.05251767214228208, 4.0584057399119535,                  5.0
             6.0,        3, 0.9996750557662321,                0.0,                  0.0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             3.0,        6, 0.02257223696122076,                5.0,                  5.0
             2.0,        6, 0.007599269060625321,                5.0,                  5.0
             8.0,       10, 0.0354285186621267,                5.0,                  5.0
             7.0,        3, 0.9996750557662321,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             4.0,        6, 0.0330390139580687,                5.0,                  5.0
             2.0,        5, 0.0061558101662425695,                5.0,                  5.0
             7.0,       10, 0.029514686211599153,                5.0,                  5.0
             3.0,        2, 0.5784201523648304,                0.0,                  0.0
             1.0,        5, 0.009919706224955676,                5.0,                  5.0
             2.0,        6, 0.009922042230042174,                5.0,                  5.0
             6.0,        9, 0.04883602639842238,                5.0,                  5.0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             8.0,       10, 0.16004209527410385,                5.0,                  5.0
             6.0,        9, 0.046955175789636504,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             1.0,        5, 0.008804441000422525,                5.0,                  5.0
             7.0,       10, 0.03941728946624535,                5.0,                  5.0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             7.0,       10, 0.07678458326917094,                5.0,                  5.0
             3.0,        3, 0.012880309689856692,                5.0,                  5.0
             1.0,        3, 0.14522584652547302,                5.0,                  5.0
             2.0,        2, 0.348525340859037,                0.0,    2.943028120411538
             2.0,        2, 0.5750723607727143, 1.6439541266225897,    2.353527190275538
             2.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             6.0,       10, 0.10903446283902031,                5.0,                  5.0
             3.0,        5, 0.011628333560920969,                5.0,                  5.0
             8.0,        9, 0.018148769291075232,                5.0,                  5.0
             9.0,        1, 0.7356995310855252,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
