#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             7.0,        9, 1.0000576173022715,                0.0,                  0.0
             5.0,        9, 1.0000574594381206,                0.0,                  0.0
             8.0,        9, 1.0000471820879693,                0.0,                  0.0
             8.0,        3, 0.987534245713419,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        9, 1.0000576176429439,                0.0,                  0.0
             8.0,        9, 1.0000575620668481,                0.0,                  0.0
             7.0,        9, 1.0000461832327514,                0.0,                  0.0
             9.0,        3, 0.9872079013984646,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        9, 1.0000576173022715,                0.0,                  0.0
             6.0,        9, 1.000057505985671,                0.0,                  0.0
             9.0,        9, 1.0000480929108535,                0.0,                  0.0
             7.0,        3, 0.9877499458905057,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,        9, 1.0000576168006032,                0.0,                  0.0
             6.0,        9, 1.000057505985671,                0.0,                  0.0
             6.0,        9, 1.0000450719874177,                0.0,                  0.0
             8.0,        3, 0.987534245713419,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        9, 1.0000576176429439,                0.0,                  0.0
             6.0,        9, 1.000057505985671,                0.0,                  0.0
             7.0,        9, 1.0000461832327514,                0.0,                  0.0
             7.0,        3, 0.9877499458905057,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,        9, 1.0000576176429439,                0.0,                  0.0
             5.0,        9, 1.0000574594381206,                0.0,                  0.0
             7.0,        9, 1.0000461832327514,                0.0,                  0.0
             6.0,        3, 0.9878292421841696,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             7.0,        9, 1.0000576173022715,                0.0,                  0.0
             8.0,        9, 1.0000575620668481,                0.0,                  0.0
             8.0,        9, 1.0000471820879693,                0.0,                  0.0
             8.0,        3, 0.987534245713419,                0.0,                  0.0
