#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        9, 1.000057616084764,                0.0,                  0.0
             6.0,        9, 1.000057505985671,                0.0,                  0.0
             4.0,        9, 1.0000407305295498,                0.0,                  0.0
             5.0,        9, 1.000057616084764,                0.0,                  0.0
             8.0,        9, 1.0000575620668481,                0.0,                  0.0
             8.0,        9, 1.0000471820879693,                0.0,                  0.0
             2.0,        9, 1.0000576113322592,                0.0,                  0.0
             3.0,        9, 1.0000572972778923,                0.0,                  0.0
             2.0,        9, 1.0000254159333757,                0.0,                  0.0
             5.0,        9, 1.000057616084764,                0.0,                  0.0
             2.0,        9, 1.0000571328911587,                0.0,                  0.0
             5.0,        9, 1.0000436814705038,                0.0,                  0.0
             6.0,        9, 1.0000576168006032,                0.0,                  0.0
             3.0,        9, 1.0000572972778923,                0.0,                  0.0
             6.0,        9, 1.0000450719874177,                0.0,                  0.0
             6.0,        9, 1.0000576168006032,                0.0,                  0.0
             2.0,        9, 1.0000571328911587,                0.0,                  0.0
             5.0,        9, 1.0000436814705038,                0.0,                  0.0
             3.0,        9, 1.000057613579484,                0.0,                  0.0
             4.0,        9, 1.0000573937228978,                0.0,                  0.0
             3.0,        9, 1.0000346867465497,                0.0,                  0.0
             6.0,        9, 1.0000576168006032,                0.0,                  0.0
             5.0,        9, 1.0000574594381206,                0.0,                  0.0
             3.0,        9, 1.0000346867465497,                0.0,                  0.0
             5.0,        9, 1.000057616084764,                0.0,                  0.0
             7.0,        9, 1.0000575389423942,                0.0,                  0.0
             4.0,        9, 1.0000407305295498,                0.0,                  0.0
             3.0,        9, 1.000057613579484,                0.0,                  0.0
             4.0,        9, 1.0000573937228978,                0.0,                  0.0
             8.0,        9, 1.0000471820879693,                0.0,                  0.0
             8.0,        9, 1.0000576176429439,                0.0,                  0.0
             6.0,        9, 1.000057505985671,                0.0,                  0.0
             8.0,        9, 1.0000471820879693,                0.0,                  0.0
             7.0,        9, 1.0000576173022715,                0.0,                  0.0
             4.0,        9, 1.0000573937228978,                0.0,                  0.0
