#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             7.0,        9, 0.20213177535037025,  4.764723995458991,                  5.0
             5.0,        8, 0.1351330029070552,                5.0,                  5.0
             8.0,       10, 0.14595162809406764,  1.938898413594445,                  5.0
             8.0,        3, 0.42185432195813083,  3.433277928244355,    4.298033416982191
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             8.0,        7, 0.10223571583725957,                5.0,                  5.0
             7.0,        7, 0.14412769661009775,                5.0,                  5.0
             9.0,        0,         -1,                5.0,                  5.0
             8.0,        6, 0.18848025029978394,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        9, 0.20213177535037025,                5.0,                  5.0
             6.0,        8, 0.089589374632272,                5.0,                  5.0
             9.0,        2, 0.08463800045407932,                5.0,                  5.0
             7.0,        8, 0.044444984161167815,                5.0,                  5.0
             6.0,        2, 0.42185432195813083,                5.0,                  5.0
             6.0,        1, 0.7109242800553772,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105,  1.073602224832829,    4.513516843778509
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             8.0,        3, 0.42185432195813083,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,       10, 0.19839795230648477,  4.163687216761289,                  5.0
             6.0,        7, 0.13144359073339518,                5.0,                  5.0
             7.0,        7, 0.14412769661009775,                5.0,                  5.0
             7.0,        6, 0.18848025029978407,                5.0,                  5.0
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             5.0,        7, 0.09769935649668839,                5.0,                  5.0
             7.0,        7, 0.14412769661009775,    4.2736341873988,                  5.0
             6.0,        6, 0.18848025029978407,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             7.0,        9, 0.20213177535037025,                5.0,                  5.0
             8.0,        8, 0.12846698060530648, 3.3058758195409483,                  5.0
             8.0,       10, 0.14595162809406764,                5.0,                  5.0
             8.0,        3, 0.42185432195813083, 0.8687479256196088,   1.2898632292620218
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105,  4.257454217576672,                  5.0
             8.0,        9, 0.12401390835717498, 3.7024101085749823,                  5.0
             7.0,        7, 0.14412769661009775, 3.3305998805599586,                  5.0
             8.0,        6, 0.18848025029978394,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105,                0.0,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             5.0,        6, 0.1162549511188045,                5.0,                  5.0
             8.0,        2, 0.13279588755563757,                5.0,                  5.0
             6.0,        5, 0.2527640191516585,                5.0,                  5.0
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             7.0,        9, 0.17247382631651098,  2.761400224493852,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             5.0,        6, 0.18848025029978394, 3.3928661550137575,                  5.0
             5.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105, 1.7911688015761804,                  5.0
             8.0,        9, 0.12401390835717498,  4.726319180725155,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             7.0,        3, 0.42185432195813083,  2.092292389100802,   2.8344287822620373
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
