#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             6.0,        8, 0.22482624155028105,  4.764723995458991,                  5.0
             7.0,        9, 0.17247382631651098,                5.0,                  5.0
             7.0,        7, 0.14412769661009775,  1.938898413594445,                  5.0
             7.0,        6, 0.18848025029978407,                5.0,                  5.0
             7.0,        0,         -1,                  0,                    0
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             7.0,        9, 0.07677356545655448,                5.0,                  5.0
             5.0,        8, 0.10816158755409798,                5.0,                  5.0
             8.0,        3, 0.42185432195813083,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             7.0,        9, 0.07677356545655448,                5.0,                  5.0
             8.0,        8, 0.06869358725055436,                5.0,                  5.0
             6.0,        0,         -1, 1.7525800822228415,   2.2797921619166996
             5.0,        3, 0.42185432195813083,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             7.0,        9, 0.20213177535037025,                5.0,                  5.0
             7.0,        8, 0.1275409393087736, 2.1465489773396644,                  5.0
             8.0,       10, 0.14595162809406764,  3.073602224832829,                  5.0
             6.0,        0,         -1,                0.0,                  0.0
             8.0,        3, 0.42185432195813083,  0.859064370048905,   1.1606890019013445
             7.0,        9, 0.20213177535037025, 1.5995233091304355,                  5.0
             7.0,        8, 0.1275409393087736,                5.0,                  5.0
             8.0,       10, 0.14595162809406764,                5.0,                  5.0
             4.0,        2, 0.42185432195813083, 3.6635294397950333,    4.059466828920312
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             6.0,        7, 0.13144359073339518,                5.0,                  5.0
             8.0,       10, 0.14595162809406764,                5.0,                  5.0
             6.0,        0,         -1,                0.0,                  0.0
             8.0,        3, 0.42185432195813083, 2.0750128945298103,   2.0736059491963417
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             7.0,        9, 0.17247382631651098, 2.3058758195409483,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             5.0,        3, 0.42185432195813083, 0.8687479256196088,   1.2898632292620218
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             6.0,        7, 0.13144359073339518, 3.7024101085749823,                  5.0
             8.0,       10, 0.14595162809406764, 3.3305998805599586,                  5.0
             7.0,        3, 0.42185432195813083,                5.0,                  5.0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105,                0.0,                  5.0
             8.0,        9, 0.12401390835717498,                5.0,                  5.0
             8.0,       10, 0.14595162809406764,                5.0,                  5.0
             5.0,        3, 0.42185432195813083, 2.3913676895327884,    4.984273522824365
             6.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        9, 0.20213177535037025,                5.0,                  5.0
             7.0,        8, 0.1275409393087736,                5.0,                  5.0
             6.0,       10, 0.09878355892153225,  4.761400224493852,                  5.0
             4.0,        2, 0.42185432195813083,  2.075303121021877,   3.3587250508461253
             8.0,        1, 0.7109242800553771,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632, 1.7911688015761804,                  5.0
             2.0,        7, 0.17568124081579797,  3.726319180725155,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             7.0,        9, 0.17247382631651098,                5.0,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
