#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
            10.0,        6, 0.18225992735870453,                5.0,                  5.0
            12.0,        9, 0.05622562214288238,                5.0,                  5.0
            11.0,       10, 0.09693399677138584,  2.938898413594445,                  5.0
            11.0,        0,         -1,                5.0,                  5.0
            11.0,        2, 0.2527640191516585,                5.0,                  5.0
            12.0,        6, 0.18225992735870453,                5.0,                  5.0
            10.0,        9, 0.05622562214288238,                5.0,                  5.0
            12.0,       10, 0.09693399677138584,                5.0,                  5.0
            10.0,        0,         -1,                5.0,                  5.0
            10.0,        2, 0.2527640191516585,                5.0,                  5.0
            11.0,        2, 0.42185432195813094,                5.0,                  5.0
            12.0,        0,         -1,                0.0,                  0.0
            12.0,        6, 0.18225992735870453,  3.545939844720053,                  5.0
            12.0,        9, 0.05622562214288238,                5.0,                  5.0
            12.0,       10, 0.09693399677138584, 3.1465489773396644,                  5.0
            12.0,        0,         -1, 0.07360222483282897,   2.5135168437785094
            11.0,        2, 0.2527640191516585,  2.713710101334767,                  5.0
            10.0,        2, 0.42185432195813094,  0.859064370048905,   1.1606890019013445
            12.0,        6, 0.18225992735870453, 2.5995233091304355,                  5.0
            11.0,        9, 0.05622562214288238,                5.0,                  5.0
            11.0,       10, 0.09693399677138584,                5.0,                  5.0
            11.0,        0,         -1,                5.0,                  5.0
            10.0,        2, 0.2527640191516585,                5.0,                  5.0
            12.0,        6, 0.18225992735870453,                5.0,                  5.0
            12.0,        9, 0.05622562214288238,                5.0,                  5.0
            11.0,       10, 0.09693399677138584,                5.0,                  5.0
            11.0,        0,         -1,                5.0,                  5.0
            12.0,        6, 0.18225992735870453,                5.0,                  5.0
            11.0,        9, 0.05622562214288238,  4.305875819540948,                  5.0
            11.0,       10, 0.09693399677138584,                5.0,                  5.0
            11.0,        0,         -1,  3.868747925619609,                  5.0
            10.0,        2, 0.2527640191516585, 3.2574542175766723,                  5.0
            10.0,        2, 0.42185432195813094,                0.0,                  0.0
            11.0,        6, 0.18225992735870453, 2.3305998805599586,                  5.0
            12.0,        9, 0.05622562214288238,                5.0,                  5.0
            10.0,       10, 0.09693399677138584, 2.6589962825141953,                  5.0
            12.0,        0,         -1,                5.0,                  5.0
            12.0,        6, 0.18225992735870453,                5.0,                  5.0
            10.0,        9, 0.05622562214288238,                5.0,                  5.0
            11.0,       10, 0.09693399677138584,                5.0,                  5.0
            10.0,        0,         -1,  4.327225422308511,                  5.0
            12.0,        2, 0.2527640191516585,  0.761400224493852,                  5.0
            12.0,        2, 0.42185432195813094,  2.075303121021877,   3.3587250508461253
            11.0,        0,         -1,                0.0,                  0.0
            10.0,        0,         -1,                0.0,                  0.0
            12.0,        6, 0.18225992735870453,  3.726319180725155,                  5.0
            11.0,        9, 0.05622562214288238,                5.0,                  5.0
            12.0,       10, 0.09693399677138584,                5.0,                  5.0
            12.0,        0,         -1,                5.0,                  5.0
            12.0,        2, 0.2527640191516585,                5.0,                  5.0
            12.0,        2, 0.42185432195813094,                0.0,                  0.0
            10.0,        0,         -1,                0.0,                  0.0
            11.0,        0,         -1,                0.0,                  0.0
            11.0,        6, 0.18225992735870453,  1.908813657897352,                  5.0
