#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             0.0,        8, 0.08485833547171522,                5.0,                  5.0
             7.0,        9, 0.17247382631651098,                5.0,                  5.0
             6.0,       10, 0.09878355892153225,  2.938898413594445,                  5.0
             4.0,        2, 0.42185432195813083,  3.433277928244355,    4.298033416982191
             4.0,        1, 0.7109242800553771,                0.0,                  0.0
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             0.0,        6, 0.10570642356899443,                5.0,                  5.0
             6.0,        8, 0.16503909358273708,                5.0,                  5.0
             2.0,        5, 0.18848025029978407,                5.0,                  5.0
             0.0,        1, 0.7109242800553771,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             7.0,        9, 0.20213177535037025,                5.0,                  5.0
             7.0,        8, 0.1275409393087736,                5.0,                  5.0
             7.0,        7, 0.14412769661009775,  4.545939844720053,                  5.0
             7.0,        6, 0.18848025029978407,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             8.0,       10, 0.19839795230648477, 1.1465489773396644,                  5.0
             4.0,        8, 0.09670744920861968,  4.073602224832829,                  5.0
             5.0,        8, 0.2560669640282562,  2.713710101334767,                  5.0
             3.0,        4, 0.3287966331049933,  2.859064370048905,                  5.0
             1.0,        0,         -1,                  0,                    0
             9.0,        6, 0.18225992735870453, 2.5995233091304355,                  5.0
             7.0,        7, 0.12141472366738877,                5.0,                  5.0
             6.0,        9, 0.28383020506132467,                5.0,                  5.0
             4.0,        2, 0.0836794781925627,                5.0,                  5.0
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             5.0,        7, 0.09769935649668839,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             4.0,        6, 0.18848025029978407, 3.2736341873988004,                  5.0
             2.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             8.0,        9, 0.12401390835717498,                5.0,                  5.0
             0.0,        3, 0.13030197911948102, 3.3058758195409483,                  5.0
             8.0,        9, 0.12261399834586072,                5.0,                  5.0
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             2.0,        7, 0.17568124081579797,                5.0,                  5.0
             6.0,       10, 0.09878355892153225,  4.702410108574982,                  5.0
             1.0,        3, 0.42185432195813083,                0.0,   0.8864763643844293
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             9.0,        6, 0.18225992735870453,                5.0,                  5.0
             4.0,        8, 0.1097567880422255, 1.6589962825141953,                  5.0
             8.0,       10, 0.3093409719369367,                5.0,                  5.0
             6.0,        6, 0.18848025029978407,                5.0,                  5.0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        8, 0.22986576699302957,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             0.0,        3, 0.13030197911948102,                5.0,                  5.0
             5.0,        4, 0.08768552689888431,  4.761400224493852,                  5.0
             1.0,        5, 0.18848025029978394,                5.0,                  5.0
             7.0,        1, 0.7109242800553772,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             7.0,        9, 0.20213177535037025, 1.7911688015761804,                  5.0
             3.0,        8, 0.1089650058092077,  4.726319180725155,                  5.0
             9.0,        2, 0.08463800045407932,                5.0,                  5.0
             4.0,        8, 0.22986576699302957,                5.0,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             9.0,        2, 0.08463800045407932,                5.0,                  5.0
             3.0,       10, 0.22634224022735366,                0.0,    4.582577729149266
             0.0,        1, 0.7109242800553771,                0.0,                  0.0
             4.0,        8, 0.22986576699302957,                0.0,   3.2280636648340604
             7.0,        9, 0.17247382631651098,  1.908813657897352,                  5.0
             1.0,        0,         -1,                5.0,                  5.0
             4.0,        8, 0.22986576699302957,                5.0,                  5.0
             1.0,        8, 0.07958248617528285,  3.370347144321137,                  5.0
             6.0,        8, 0.16503909358273708,                5.0,                  5.0
             4.0,        6, 0.18848025029978407,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             5.0,        7, 0.09769935649668839,                5.0,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             9.0,        0,         -1,                0.0,                  0.0
             4.0,        3, 0.42185432195813083,                0.0,   0.7746161066296053
             1.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             7.0,        9, 0.20213177535037025,                0.0,    2.666995589513811
             0.0,        6, 0.07270762432748668,                5.0,                  5.0
             3.0,        9, 0.12287823871873833,                5.0,                  5.0
             7.0,        6, 0.18848025029978407, 1.6169326627289635,                  5.0
             8.0,        0,         -1,                  0,                    0
