#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             5.0,        7, 0.04287148822019409,                5.0,                  5.0
             8.0,        8, 0.023624323350854907,                5.0,                  5.0
             8.0,        5, 0.3086189709706597,  2.868545493072215,                  5.0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             8.0,       10, 0.10300771024480562,                5.0,                  5.0
             7.0,        7, 0.02773086189711562,                5.0,                  5.0
             9.0,        2, 0.48741769411956376,                0.0,                  0.0
             8.0,        1, 0.795088522346769,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             6.0,        8, 0.0625892730259569,                5.0,                  5.0
             9.0,        8, 0.04152282534471127,                5.0,                  5.0
             7.0,        4, 0.3758163061915243, 1.8685454930722152,   3.3913274627127126
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             6.0,        9, 0.08921187114423523,                5.0,                  5.0
             6.0,        7, 0.026098912251077664,                5.0,                  5.0
             8.0,        6, 0.24031365588040268,  4.868545493072215,                  5.0
             9.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             6.0,        8, 0.06923275138147297,                5.0,                  5.0
             7.0,        7, 0.02043768564626204,                5.0,                  5.0
             7.0,        5, 0.2973459971706979,  3.868545493072215,                  5.0
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             5.0,        8, 0.051855223697194544,                5.0,                  5.0
             7.0,        7, 0.017750201511890957,                5.0,                  5.0
             6.0,        5, 0.29052404178040964,  3.868545493072215,                  5.0
             6.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             8.0,       10, 0.08967697716493787,                5.0,                  5.0
             8.0,        8, 0.041645744897238435,                5.0,                  5.0
             8.0,        2, 0.6110399950663633,                0.0,                  0.0
