#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             0.0,        5, 0.0037546387288424463,                5.0,                  5.0
             3.0,        5, 0.011684480694538936,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             0.0,        5, 0.00418064980281413,                5.0,                  5.0
             2.0,        5, 0.006712218813596521,                5.0,                  5.0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             2.0,        6, 0.012103011168699038,                5.0,                  5.0
             1.0,        5, 0.004032936597842587,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             3.0,        7, 0.028355995898631112,                5.0,                  5.0
             2.0,        5, 0.006440420314651433,                5.0,                  5.0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             3.0,        6, 0.02064912361820925,                5.0,                  5.0
             1.0,        5, 0.00392297451269615,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             1.0,        6, 0.0074356315765447606,                5.0,                  5.0
             3.0,        6, 0.01154295180209633,                5.0,                  5.0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             2.0,        6, 0.012103011168699038,                5.0,                  5.0
             1.0,        5, 0.004032936597842587,                5.0,                  5.0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             2.0,        5, 0.012862904826842422,                5.0,                  5.0
             1.0,        5, 0.0038502730441800593,                5.0,                  5.0
             1.0,        5, 0.009919706224955676,                5.0,                  5.0
             3.0,        7, 0.018962040675777968,                5.0,                  5.0
             3.0,        9, 0.013899957384188064,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             3.0,        7, 0.028355995898631112,                5.0,                  5.0
             5.0,        9, 0.03718499782425019,                5.0,                  5.0
             1.0,        5, 0.009919706224955676,                5.0,                  5.0
             1.0,        5, 0.0055605768939014895,                5.0,                  5.0
             1.0,        2, 0.004542170332943245,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             4.0,        8, 0.04849789707312524,                5.0,                  5.0
             2.0,        5, 0.006798494096916511,                5.0,                  5.0
             1.0,        5, 0.009919706224955676,                5.0,                  5.0
             1.0,        5, 0.0055605768939014895,                5.0,                  5.0
             3.0,        9, 0.013707995132032547,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
