#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             6.0,        8, 0.07323705187024508,                5.0,                  5.0
             4.0,        5, 0.013861981804736944,                5.0,                  5.0
             5.0,        6, 0.06081945280665323,                5.0,                  5.0
             8.0,        2, 0.45711511412943057,                0.0,                  0.0
             8.0,        1, 0.7102761361417774,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             5.0,        9, 0.060964898305223156,                5.0,                  5.0
             2.0,        5, 0.008268237737040147,                5.0,                  5.0
             5.0,        7, 0.011646726550943873,                5.0,                  5.0
             6.0,        4, 0.362623333366653,                0.0,    0.943028120411538
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             2.0,        5, 0.012797182462652917,                5.0,                  5.0
             5.0,        7, 0.019883503934107344,                5.0,                  5.0
             3.0,        7, 0.007572653700088035,                5.0,                  5.0
             4.0,        3, 0.4548089639978305,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             3.0,        5, 0.0197027729337328,                5.0,                  5.0
             5.0,        9, 0.02532266176083012,                5.0,                  5.0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             4.0,        6, 0.025493170635915507,                5.0,                  5.0
             3.0,        5, 0.008155650365215325,                5.0,                  5.0
             4.0,        5, 0.05564715485509917,                5.0,                  5.0
             8.0,        4, 0.37290510788784464,                0.0,    0.943028120411538
             8.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             8.0,       10, 0.11427623129876145,                5.0,                  5.0
             7.0,        7, 0.03151055619220105,                5.0,                  5.0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             2.0,        5, 0.012862904826842422,                5.0,                  5.0
             6.0,        9, 0.04615599577187233,                5.0,                  5.0
             5.0,        9, 0.07176999132887438,                5.0,                  5.0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             4.0,        8, 0.04849789707312524,                5.0,                  5.0
             5.0,        9, 0.0340929676105699,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             6.0,        8, 0.07323705187024508,                5.0,                  5.0
             4.0,        5, 0.013861981804736944,                5.0,                  5.0
             5.0,        6, 0.06081945280665323,                5.0,                  5.0
             8.0,        2, 0.45711511412943057,                0.0,                  0.0
             8.0,        1, 0.7102761361417774,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             2.0,        6, 0.015187532294619183,                5.0,                  5.0
             5.0,        9, 0.04284276875130717,                5.0,                  5.0
             2.0,        2, 0.004769729816776571,                5.0,                  5.0
             5.0,        7, 0.10798989456399592, 3.0584057399119535,                  5.0
             6.0,        1, 0.7729839106848698,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             2.0,        5, 0.012797182462652917,                5.0,                  5.0
             5.0,        7, 0.019883503934107344,                5.0,                  5.0
             3.0,        7, 0.007572653700088035,                5.0,                  5.0
             4.0,        3, 0.4548089639978305,                0.0,                  0.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             6.0,       10, 0.10903446283902031,                5.0,                  5.0
             5.0,        9, 0.02941813641764198,                5.0,                  5.0
             3.0,        2, 0.20709185399440197,  4.868545493072215,                  5.0
             5.0,        4, 0.35867138581187047,                0.0,    0.943028120411538
             7.0,        0,         -1,                  0,                    0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             3.0,        6, 0.02064912361820925,                5.0,                  5.0
             4.0,        7, 0.01718192661286979,                5.0,                  5.0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             8.0,       10, 0.10300771024480562,                5.0,                  5.0
             6.0,        7, 0.016241844142549446,                5.0,                  5.0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             7.0,       10, 0.08402322086746822,                5.0,                  5.0
             4.0,        4, 0.012414049915045902,                5.0,                  5.0
             2.0,        2, 0.20323845383009145,  4.868545493072215,                  5.0
             6.0,        4, 0.36199447671205043,                0.0,    0.943028120411538
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             4.0,        6, 0.03171223696591901,                5.0,                  5.0
             3.0,        5, 0.008844930044986798,                5.0,                  5.0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             5.0,        8, 0.05215632969497812,                5.0,                  5.0
             3.0,        5, 0.009692630431048717,                5.0,                  5.0
             4.0,        5, 0.007554767980070667,                5.0,                  5.0
             5.0,        5, 0.2807491594297018, 0.058405739911953525,   4.9430281204115385
             5.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             8.0,       10, 0.10300771024480562,                5.0,                  5.0
             2.0,        2, 0.012835292155164355,                5.0,                  5.0
             3.0,        5, 0.09795443931665049,                5.0,                  5.0
             2.0,        3, 0.4524143189796611,                0.0,                  0.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
