#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             7.0,       10, 0.10544271502660184,                5.0,                  5.0
             7.0,        7, 0.024978726488076093,                5.0,                  5.0
             7.0,        5, 0.2979355709212171,  3.868545493072215,                  5.0
             7.0,        0,         -1,                  0,                    0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             7.0,       10, 0.08402322086746822,                5.0,                  5.0
             5.0,        5, 0.013786208619476313,                5.0,                  5.0
             8.0,        5, 0.3002814765180564,  2.868545493072215,                  5.0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             7.0,       10, 0.08402322086746822,                5.0,                  5.0
             8.0,        8, 0.0400985854469911,                5.0,                  5.0
             6.0,        2, 0.5993220790458024,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             7.0,       10, 0.07678458326917094,                5.0,                  5.0
             8.0,        7, 0.028298093590234635,                5.0,                  5.0
             6.0,        3, 0.9996750557662321,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             7.0,       10, 0.07678458326917094,                5.0,                  5.0
             8.0,        7, 0.028298093590234635,                5.0,                  5.0
             4.0,        3, 0.45747900309646633,                0.0,                  0.0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             6.0,        8, 0.06923275138147297,                5.0,                  5.0
             8.0,        8, 0.02726450633292697,                5.0,                  5.0
             6.0,        4, 0.36782271478710915, 1.8685454930722152,   3.3913274627127126
             8.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             7.0,       10, 0.09159717247299991,                5.0,                  5.0
             6.0,        7, 0.02272799950902806,                5.0,                  5.0
             5.0,        5, 0.2871340474128382,  3.868545493072215,                  5.0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             6.0,        8, 0.06923275138147297,                5.0,                  5.0
             8.0,        8, 0.02726450633292697,                5.0,                  5.0
             7.0,        4, 0.37305760342043315, 1.8685454930722152,   3.3913274627127126
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             8.0,       10, 0.11427623129876145,                5.0,                  5.0
             8.0,        8, 0.04575054475537218,                5.0,                  5.0
             5.0,        4, 0.36484107278995137, 1.8685454930722152,   3.3913274627127126
             6.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             7.0,       10, 0.07678458326917094,                5.0,                  5.0
             6.0,        5, 0.01589195560517247,                5.0,                  5.0
             4.0,        4, 0.28021905790838636,  3.868545493072215,                  5.0
             8.0,        1, 0.7662027817133528,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             2.0,        6, 0.012103011168699038,                5.0,                  5.0
             4.0,        9, 0.025275468022694123,                5.0,                  5.0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             7.0,       10, 0.10544271502660184,                5.0,                  5.0
             6.0,        7, 0.022889092274355694,                5.0,                  5.0
             7.0,        5, 0.297029965369473,  3.868545493072215,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             5.0,        8, 0.051855223697194544,                5.0,                  5.0
             6.0,        7, 0.01622522683463538,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             7.0,       10, 0.09159717247299991,                5.0,                  5.0
             8.0,        8, 0.04040911634650236,                5.0,                  5.0
             9.0,        4, 0.38156660719001934, 1.8685454930722152,   3.3913274627127126
             7.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             6.0,        8, 0.0625892730259569,                5.0,                  5.0
             7.0,        7, 0.020169093287596734,                5.0,                  5.0
             5.0,        5, 0.2852814205335416,  3.868545493072215,                  5.0
             7.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             7.0,       10, 0.09159717247299991,                5.0,                  5.0
             6.0,        7, 0.02272799950902806,                5.0,                  5.0
             7.0,        5, 0.2990163346115003,  3.868545493072215,                  5.0
             7.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             8.0,       10, 0.08967697716493787,                5.0,                  5.0
             8.0,        8, 0.041645744897238435,                5.0,                  5.0
             6.0,        2, 0.6008131804518586,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             5.0,        8, 0.051855223697194544,                5.0,                  5.0
             6.0,        7, 0.01622522683463538,                5.0,                  5.0
