#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             0.0,        5, 0.0037546387288424463,                5.0,                  5.0
             3.0,        5, 0.011684480694538936,                5.0,                  5.0
             3.0,        9, 0.011589450134432322,                5.0,                  5.0
             0.0,        2, 0.2016108679948198, 1.0584057399119535,                  5.0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             2.0,        6, 0.012103011168699038,                5.0,                  5.0
             2.0,        5, 0.006702006685877354,                5.0,                  5.0
             1.0,        2, 0.0036460196173953383,                5.0,                  5.0
             3.0,        5, 0.006669516990845128,                5.0,                  5.0
             3.0,        2, 0.1705445620833614,                5.0,                  5.0
             2.0,        5, 0.27769644014978045,   4.15010092653058,                  5.0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             3.0,        6, 0.02064912361820925,                5.0,                  5.0
             1.0,        5, 0.00392297451269615,                5.0,                  5.0
             3.0,        5, 0.005963137995897741,                5.0,                  5.0
             1.0,        2, 0.14202503718746326, 3.0584057399119535,                  5.0
             3.0,        2, 0.2701503104293609,                5.0,                  5.0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             2.0,        6, 0.012103011168699038,                5.0,                  5.0
             1.0,        5, 0.004032936597842587,                5.0,                  5.0
             4.0,        9, 0.012703163188448467,                5.0,                  5.0
             2.0,        2, 0.27142446716281005, 0.058405739911953525,   4.9430281204115385
             1.0,        5, 0.009919706224955676,                5.0,                  5.0
             1.0,        5, 0.0055605768939014895,                5.0,                  5.0
             3.0,        9, 0.013707995132032547,                5.0,                  5.0
             3.0,        4, 0.006553152128558831,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             3.0,        7, 0.028355995898631112,                5.0,                  5.0
             5.0,        9, 0.03718499782425019,                5.0,                  5.0
             1.0,        2, 0.04942007952131868,                5.0,                  5.0
             1.0,        2, 0.14460644950230372, 3.0584057399119535,                  5.0
             1.0,        1, 0.2668568680917254,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             4.0,        8, 0.04849789707312524,                5.0,                  5.0
             2.0,        5, 0.006798494096916511,                5.0,                  5.0
             1.0,        2, 0.0037021734734564707,                5.0,                  5.0
             1.0,        5, 0.009919706224955676,                5.0,                  5.0
             3.0,        7, 0.018962040675777968,                5.0,                  5.0
