#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             2.0,        8, 0.09205398488360028,                5.0,                  5.0
             0.0,        1, 0.12122864474952216,                5.0,                  5.0
             3.0,        6, 0.08020245609834976,                5.0,                  5.0
             3.0,        8, 0.1067660802398095,                5.0,                  5.0
             0.0,        1, 0.12122864474952216,                5.0,                  5.0
             2.0,       10, 0.07884963950743752,                5.0,                  5.0
             2.0,        8, 0.09205398488360028,                5.0,                  5.0
             2.0,        8, 0.0724410406450689,                5.0,                  5.0
             1.0,        2, 0.15879375417164981,                5.0,                  5.0
             3.0,        8, 0.1067660802398095,                5.0,                  5.0
             3.0,        8, 0.06996792901244438,                5.0,                  5.0
             2.0,       10, 0.24222446699028383,  4.751775555552621,                  5.0
             4.0,       10, 0.09052245818538077,                5.0,                  5.0
             3.0,       10, 0.08087220659731525,                5.0,                  5.0
             1.0,        2, 0.1682070867143072,                5.0,                  5.0
             3.0,        8, 0.1067660802398095,                5.0,                  5.0
             1.0,       10, 0.10140859307697608,                5.0,                  5.0
             3.0,        5, 0.04759382199800226,                5.0,                  5.0
             2.0,        8, 0.09205398488360028,                5.0,                  5.0
             2.0,        8, 0.0724410406450689,                5.0,                  5.0
             1.0,        2, 0.15879375417164981,                5.0,                  5.0
             4.0,       10, 0.09052245818538077,                5.0,                  5.0
             2.0,       10, 0.08688184872025259,                5.0,                  5.0
             1.0,        2, 0.1682070867143072,                5.0,                  5.0
             1.0,        8, 0.06263711192266001,                5.0,                  5.0
             3.0,        8, 0.06996792901244438,                5.0,                  5.0
             3.0,        9, 0.11154135891058937,                5.0,                  5.0
             3.0,        8, 0.1067660802398095,                5.0,                  5.0
             3.0,        8, 0.06996792901244438,                5.0,                  5.0
             5.0,       10, 0.13251746854284682,                5.0,                  5.0
             1.0,        8, 0.06263711192266001,                5.0,                  5.0
             1.0,       10, 0.10140859307697608,                5.0,                  5.0
             1.0,        7, 0.1870998280495217,                5.0,                  5.0
             3.0,        8, 0.1067660802398095,                5.0,                  5.0
             4.0,        9, 0.08060489877423661,                5.0,                  5.0
             2.0,        8, 0.19748666622020064,                5.0,                  5.0
             1.0,        8, 0.06263711192266001,                5.0,                  5.0
             1.0,       10, 0.10140859307697608,                5.0,                  5.0
             3.0,        5, 0.04759382199800226,                5.0,                  5.0
             3.0,        8, 0.1067660802398095,                5.0,                  5.0
             3.0,        8, 0.06996792901244438,                5.0,                  5.0
             1.0,        2, 0.15879375417164981,                5.0,                  5.0
             2.0,        8, 0.09205398488360028,                5.0,                  5.0
             2.0,        8, 0.0724410406450689,                5.0,                  5.0
             2.0,       10, 0.24222446699028383,  4.751775555552621,                  5.0
             3.0,        8, 0.1067660802398095,                5.0,                  5.0
             2.0,        8, 0.0724410406450689,                5.0,                  5.0
             3.0,        9, 0.11154135891058937,                5.0,                  5.0
