#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             7.0,        9, 0.13936934710756257,                5.0,                  5.0
             7.0,        9, 0.12980712279040765,                5.0,                  5.0
             7.0,        1, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             7.0,        1, 0.5418282394614383,                0.0,                  0.0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             7.0,       10, 0.16137385590909975,  4.615531741237645,                  5.0
             5.0,        5, 0.06307790622434661,                5.0,                  5.0
             8.0,        5, 0.2527640571908685,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             7.0,       10, 0.16137385590909975,  4.615531741237645,                  5.0
             8.0,       10, 0.0892724831764191,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             7.0,       10, 0.15260410130268692,                5.0,                  5.0
             8.0,        9, 0.07981612365972511,  3.033943088848889,                  5.0
             6.0,        1, 0.710924272578675,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             7.0,       10, 0.15260410130268692,                5.0,                  5.0
             8.0,        9, 0.07981612365972511,  3.033943088848889,                  5.0
             4.0,        1, 0.710924272578675,                0.0,                  0.0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             6.0,        9, 0.10977586219017034,                5.0,                  5.0
             8.0,       10, 0.0725689337062957,                5.0,                  5.0
             6.0,        1, 0.710924272578675,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             7.0,        9, 0.14575652340203912,                5.0,                  5.0
             6.0,        6, 0.06605556050449887,                5.0,                  5.0
             5.0,        6, 0.039743884401395695,                5.0,                  5.0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             6.0,        9, 0.10977586219017034,                5.0,                  5.0
             8.0,       10, 0.0725689337062957,                5.0,                  5.0
             7.0,        1, 0.710924272578675,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             8.0,       10, 0.14246823588251353,                5.0,                  5.0
             8.0,        9, 0.10035368818195853,                5.0,                  5.0
             5.0,        1, 0.5418282394614383,                0.0,                  0.0
             6.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             7.0,       10, 0.15260410130268692,                5.0,                  5.0
             6.0,        5, 0.07030986432823051,  4.229634668850305,                  5.0
             4.0,        1, 0.2527640571908685,                5.0,                  5.0
             8.0,        3, 0.32879662555420736, 3.9781254639162005,                  5.0
             8.0,        1, 0.710924272578675,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        5, 0.0810408057166199,                5.0,                  5.0
             2.0,        6, 0.06806134007677374,                5.0,                  5.0
             4.0,        9, 0.07650840002448989,                5.0,                  5.0
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             7.0,        9, 0.13936934710756257,                5.0,                  5.0
             6.0,        6, 0.07434651122497282,                5.0,                  5.0
             7.0,        6, 0.1884802072396213,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             5.0,        6, 0.053660970318240936,                5.0,                  5.0
             6.0,        6, 0.07062125571396131,                5.0,                  5.0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             7.0,        9, 0.14575652340203912,                5.0,                  5.0
             8.0,       10, 0.05952736898753334, 1.1007129421211914,                  5.0
             9.0,        1, 0.2527640571908685,                5.0,                  5.0
             7.0,        1, 0.32879662555420736, 3.9781254639162005,                  5.0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             6.0,        9, 0.0966236081032177,                5.0,                  5.0
             7.0,        9, 0.17384239982640887,                5.0,                  5.0
             5.0,        1, 0.5418282394614383,                0.0,                  0.0
             7.0,        0,         -1,                0.0,                  0.0
             6.0,        1, 0.710924272578675,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             7.0,        9, 0.14575652340203912,                5.0,                  5.0
             6.0,        6, 0.06605556050449887,                5.0,                  5.0
             7.0,        8, 0.039743884401395695,                5.0,                  5.0
             7.0,        1, 0.710924272578675,                0.0,                  0.0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             8.0,       10, 0.1398288527225841,                5.0,                  5.0
             8.0,        9, 0.12440539891584677, 3.2338997294674114,                  5.0
             6.0,        1, 0.710924272578675,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             5.0,        6, 0.053660970318240936,                5.0,                  5.0
             6.0,        6, 0.07062125571396131,                5.0,                  5.0
             6.0,        8, 0.08367943073019185,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             5.0,        6, 0.05993022039293319,  4.847763403724203,                  5.0
             7.0,        9, 0.1339991207680347,                5.0,                  5.0
             5.0,        5, 0.2527640571908685,                5.0,                  5.0
             7.0,        0,         -1,                  0,                    0
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             5.0,        6, 0.06232058693563256,                5.0,                  5.0
             7.0,        8, 0.1808814441435153,                5.0,                  5.0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             7.0,       10, 0.16137385590909975,  4.615531741237645,                  5.0
             8.0,       10, 0.0892724831764191,                5.0,                  5.0
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             7.0,        9, 0.13936934710756257,                5.0,                  5.0
             5.0,        5, 0.07083029734143399,                5.0,                  5.0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             7.0,       10, 0.15260410130268692,                5.0,                  5.0
             8.0,        9, 0.07981612365972511,  3.033943088848889,                  5.0
             5.0,        1, 0.710924272578675,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             6.0,        9, 0.10977586219017034,                5.0,                  5.0
             6.0,        9, 0.06905209952119169,                5.0,                  5.0
             4.0,        1, 0.5418282394614383,                0.0,                  0.0
             6.0,        0,         -1,                0.0,                  0.0
             7.0,        1, 0.710924272578675,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             4.0,        1, 0.0821263334557213,                5.0,                  5.0
             6.0,       10, 0.08842894197014214,                5.0,                  5.0
             7.0,        9, 0.039743884401395695,                5.0,                  5.0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             8.0,       10, 0.1398288527225841,                5.0,                  5.0
             6.0,        5, 0.06923260727666512,                5.0,                  5.0
             5.0,        1, 0.2527640571908685,                5.0,                  5.0
             6.0,        3, 0.32879662555420736, 3.9781254639162005,                  5.0
             5.0,        1, 0.710924272578675,                0.0,                  0.0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             7.0,        9, 0.14575652340203912,                5.0,                  5.0
             8.0,       10, 0.05952736898753334, 1.1007129421211914,                  5.0
             8.0,        1, 0.2527640571908685,                5.0,                  5.0
             8.0,        1, 0.3287966944766035, 3.9781254639162005,                  5.0
             6.0,        1, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             8.0,       10, 0.14246823588251353,                5.0,                  5.0
             9.0,        8, 0.04938785068036486,                5.0,                  5.0
             8.0,        1, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             5.0,        1, 0.5418282394614383,                0.0,                  0.0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             6.0,        9, 0.0966236081032177,                5.0,                  5.0
             8.0,        9, 0.0723297040693166,                5.0,                  5.0
             8.0,        1, 0.5418282394614383,                0.0,                  0.0
             7.0,        1, 0.710924272578675,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             8.0,       10, 0.11455693988754974,   3.53979406216277,                  5.0
             4.0,        3, 0.07618894471841148,                5.0,                  5.0
             7.0,        6, 0.13279587357633738, 3.9565692460611386,                  5.0
             4.0,        1, 0.710924272578675,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             8.0,       10, 0.12237308422106054, 1.1077580678462553,                  5.0
             6.0,        6, 0.0660077972839784, 2.9381659980402937,                  5.0
             5.0,        6, 0.08367943073019185,                5.0,                  5.0
             6.0,        1, 0.5418282394614383,                0.0,                  0.0
             8.0,        1, 0.710924272578675,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             8.0,       10, 0.11455693988754974,   3.53979406216277,                  5.0
             6.0,        5, 0.055173334456596626, 0.3458995710729127,                  5.0
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             6.0,        9, 0.08906102926508176,                5.0,                  5.0
             9.0,        0,         -1,                5.0,                  5.0
             5.0,        5, 0.13824570528339938,                5.0,                  5.0
             5.0,        1, 0.13279587357633738, 3.9565692460611386,                  5.0
             7.0,        6, 0.18848027616201743,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             4.0,        5, 0.1061905191433097,                5.0,                  5.0
             6.0,        6, 0.06779702268760206,                5.0,                  5.0
             3.0,        6, 0.039743884401395695,                5.0,                  5.0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             7.0,        9, 0.14575652340203912,                5.0,                  5.0
             7.0,        9, 0.11851301650321207,                5.0,                  5.0
             3.0,        3, 0.1884802072396213,                5.0,                  5.0
             7.0,        1, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             5.0,        0,         -1,                0.0,                  0.0
             4.0,        5, 0.05203846819086403,                5.0,                  5.0
             7.0,        9, 0.17368008758351464,                5.0,                  5.0
             7.0,        9, 0.08159108212734914,                5.0,                  5.0
             9.0,        6, 0.13279587357633738, 3.9565692460611386,                  5.0
             6.0,        1, 0.710924272578675,                0.0,                  0.0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             8.0,       10, 0.12237308422106054, 1.1077580678462553,                  5.0
             7.0,        9, 0.09055120039188248, 3.9289011927778716,                  5.0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             6.0,        9, 0.10977586219017034,                5.0,                  5.0
             8.0,       10, 0.0725689337062957,                5.0,                  5.0
             4.0,        1, 0.710924272578675,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             8.0,       10, 0.1398288527225841,                5.0,                  5.0
             7.0,        9, 0.11451613782903876, 1.5862272248166356,                  5.0
             6.0,        1, 0.710924272578675,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             7.0,        9, 0.13936934710756257,                5.0,                  5.0
             8.0,        9, 0.0696850138848849,                5.0,                  5.0
             7.0,        1, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             7.0,        9, 0.14575652340203912,                5.0,                  5.0
             6.0,        6, 0.06605556050449887,                5.0,                  5.0
             8.0,        8, 0.039743884401395695,                5.0,                  5.0
