#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             2.0,        5, 0.0810408057166199,                5.0,                  5.0
             3.0,        7, 0.06624489032667738,                5.0,                  5.0
             4.0,        9, 0.07394365981957296,                5.0,                  5.0
             3.0,        6, 0.039743953323791825,                5.0,                  5.0
             4.0,        1, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             4.0,        5, 0.05203846819086403,                5.0,                  5.0
             3.0,        7, 0.0660747898530201,                5.0,                  5.0
             1.0,        5, 0.08177675906253258,                5.0,                  5.0
             3.0,        5, 0.07361765688586187,                5.0,                  5.0
             5.0,        3, 0.08367949965258797,                5.0,                  5.0
             1.0,        1, 0.2527640571908685,                5.0,                  5.0
             3.0,        0,         -1, 3.9781254639162005,                  5.0
             4.0,        5, 0.05203846819086403,                5.0,                  5.0
             2.0,        6, 0.06430996297762767,                5.0,                  5.0
             3.0,        7, 0.07608328668513893,                5.0,                  5.0
             2.0,        3, 0.08238775610425537,                5.0,                  5.0
             1.0,        7, 0.039743953323791825,                5.0,                  5.0
             1.0,        2, 0.5418282394614383,                0.0,                  0.0
             3.0,        5, 0.059923534920508253,  4.825237882941892,                  5.0
             3.0,        7, 0.06359689186723128,                5.0,                  5.0
             3.0,        7, 0.07540185095456778,                5.0,                  5.0
             1.0,        2, 0.08800699906101332,                5.0,                  5.0
             4.0,        7, 0.039743953323791825,                5.0,                  5.0
             1.0,        5, 0.06152267235559593,                5.0,                  5.0
             3.0,        7, 0.06931703721192856, 0.17173643208561806,                  5.0
             3.0,        9, 0.0781595738686583,  2.873917127888685,                  5.0
             1.0,        7, 0.039743953323791825,                5.0,                  5.0
             4.0,        5, 0.05203846819086403,                5.0,                  5.0
             2.0,        6, 0.06430996297762767,                5.0,                  5.0
             6.0,        9, 0.07181671467489553,                5.0,                  5.0
             2.0,       10, 0.07231722911561646,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             1.0,        5, 0.06152267235559593,                5.0,                  5.0
             5.0,        9, 0.07009551567625558,                5.0,                  5.0
             0.0,        5, 0.07484413092505612,                5.0,                  5.0
             1.0,        6, 0.07352757531411548,                5.0,                  5.0
             4.0,        5, 0.05203846819086403,                5.0,                  5.0
             2.0,        6, 0.06430996297762767,                5.0,                  5.0
             2.0,        5, 0.08926490171284442,  4.910591522265803,                  5.0
             4.0,        9, 0.052376325776710066, 3.3969608586793925,                  5.0
             4.0,        3, 0.2527640571908685,                5.0,                  5.0
             2.0,        1, 0.5418282050002402,                0.0,                  0.0
             0.0,        0,         -1,                0.0,                  0.0
             1.0,        0,         -1,                0.0,                  0.0
             2.0,        5, 0.0810408057166199,                5.0,                  5.0
             4.0,        7, 0.06655469649729712,                5.0,                  5.0
             5.0,        7, 0.07145094351861546,                5.0,                  5.0
             1.0,        1, 0.1117302945773258, 1.1395944247336836,                  5.0
             2.0,        6, 0.12713031476937778,                5.0,                  5.0
             5.0,        3, 0.32879662555420736, 3.9781254639162005,                  5.0
             2.0,        1, 0.710924272578675,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             3.0,        5, 0.059923534920508253,  4.825237882941892,                  5.0
             3.0,        7, 0.06359689186723128,                5.0,                  5.0
