#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             2.0,        0,         -1,                0.0,                  0.0
             1.0,        0,         -1,                0.0,                  0.0
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             6.0,        9, 0.08906102926508176,                5.0,                  5.0
             9.0,        0,         -1,                5.0,                  5.0
             1.0,        6, 0.11264565292037379, 4.4034709149762365,                  5.0
             5.0,        1, 0.1884802072396213,                5.0,                  5.0
             1.0,        0,         -1,                5.0,                  5.0
             5.0,        3, 0.25276398826847235, 1.7137717340645953,                  5.0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             3.0,        4, 0.06993072222710056,                5.0,                  5.0
             6.0,        9, 0.07320019393248173,                5.0,                  5.0
             1.0,        7, 0.13279587357633738, 3.9565692460611386,                  5.0
             1.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             3.0,        6, 0.06882596513947793,                5.0,                  5.0
             6.0,        9, 0.09596215986752524,                5.0,                  5.0
             2.0,        7, 0.039743884401395695,                5.0,                  5.0
             7.0,        0,         -1,                0.0,                  0.0
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             4.0,        6, 0.05955397303244084,                5.0,                  5.0
             3.0,        5, 0.06550025275885188,                5.0,                  5.0
             3.0,        7, 0.06132541645786207,                5.0,                  5.0
             1.0,        5, 0.06152267235559593,                5.0,                  5.0
             2.0,        5, 0.07867993795946564,                5.0,                  5.0
             4.0,        9, 0.07884100959922945,                5.0,                  5.0
             3.0,        9, 0.07824359026954493, 2.9084251317374825,                  5.0
             6.0,        1, 0.5418282394614383,                0.0,                  0.0
             4.0,        1, 0.710924272578675,                0.0,                  0.0
             2.0,        5, 0.0810408057166199,                5.0,                  5.0
             3.0,        7, 0.06624489032667738,                5.0,                  5.0
             4.0,        9, 0.07394365981957296,                5.0,                  5.0
             2.0,        6, 0.039743884401395695,                5.0,                  5.0
