#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             6.0,        9, 0.07021792185178853,                5.0,                  5.0
             5.0,        7, 0.06749872655713661,                5.0,                  5.0
             5.0,        5, 0.1884802072396213,                5.0,                  5.0
             0.0,        0,         -1,                0.0,                  0.0
             5.0,        1, 0.710924272578675,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             4.0,        9, 0.06396783220322136,                5.0,                  5.0
             9.0,       10, 0.08071742183396187,                5.0,                  5.0
             2.0,        4, 0.3287966944766035, 3.9781254639162005,                  5.0
             2.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             0.0,        4, 0.08416443763178275,                5.0,                  5.0
             8.0,        8, 0.07186523604177347,                5.0,                  5.0
             2.0,        6, 0.08367949965258797,                5.0,                  5.0
             9.0,        2, 0.5418282394614383,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             7.0,       10, 0.07217242316134014,  4.442911097054962,                  5.0
             9.0,       10, 0.07812380314506505,                5.0,                  5.0
             6.0,        2, 0.5418282050002402,                0.0,                  0.0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             4.0,        8, 0.0650243436135506,                5.0,                  5.0
             4.0,        9, 0.06547923142803119,                5.0,                  5.0
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             3.0,        7, 0.0625883504446109,                5.0,                  5.0
             1.0,        2, 0.07116836169446843, 1.7239412138494838,                  5.0
             3.0,        5, 0.08037894394655064,                5.0,                  5.0
             0.0,        1, 0.1884802072396213,                5.0,                  5.0
