#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             3.0,        7, 0.06284687835250738,                5.0,                  5.0
             7.0,       10, 0.07918389851999322,                5.0,                  5.0
             8.0,        5, 0.2527640571908685,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             6.0,       10, 0.07094395037265801,                5.0,                  5.0
             7.0,        7, 0.11997320638769476,                5.0,                  5.0
             3.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             2.0,        1, 0.710924272578675,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.07094712080288014,                5.0,                  5.0
             6.0,        8, 0.06836756228279453,                5.0,                  5.0
             2.0,        4, 0.0679272170938981,                5.0,                  5.0
             2.0,        2, 0.08367949965258797,                5.0,                  5.0
             5.0,        6, 0.1884802072396213,                5.0,                  5.0
             1.0,        0,         -1,                  0,                    0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             8.0,       10, 0.0758254480012038,                5.0,                  5.0
             7.0,        7, 0.07613098098326326,                5.0,                  5.0
             1.0,        4, 0.2527640571908685,                5.0,                  5.0
             6.0,        0,         -1,                0.0,                  0.0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             7.0,       10, 0.07415973153145124,                5.0,                  5.0
             3.0,        5, 0.10515247893514422,                5.0,                  5.0
             3.0,        5, 0.13279587357633738, 3.9565692460611386,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             3.0,        7, 0.06082821029215556,                5.0,                  5.0
             7.0,       10, 0.0777304630303316,                5.0,                  5.0
             8.0,        6, 0.18848027616201743,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             2.0,        6, 0.057852141227114365,                5.0,                  5.0
             3.0,        7, 0.06210313677583161,                5.0,                  5.0
             0.0,        7, 0.06934329664485539,                5.0,                  5.0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             0.0,        6, 0.05618263402557447,                5.0,                  5.0
             8.0,       10, 0.07393842171746683,                5.0,                  5.0
             2.0,        5, 0.039743953323791825,                5.0,                  5.0
             8.0,        4, 0.3287966944766035, 3.9781254639162005,                  5.0
             7.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,       10, 0.07094712080288014,                5.0,                  5.0
             2.0,        5, 0.061088805871936026,                5.0,                  5.0
             2.0,        4, 0.06850251233442377,                5.0,                  5.0
             9.0,       10, 0.09322380414674822,                5.0,                  5.0
             2.0,        0,         -1,                0.0,                  0.0
             3.0,        1, 0.710924272578675,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.07094712080288014,                5.0,                  5.0
             8.0,       10, 0.07170747267702406,                5.0,                  5.0
             8.0,        7, 0.0699145254640092, 3.9150045626657697,                  5.0
             3.0,        3, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             8.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             6.0,        9, 0.07064972066356442,  4.007674685352774,                  5.0
             9.0,       10, 0.08125784234204404,                5.0,                  5.0
