#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             7.0,       10, 0.07094712080288014,                5.0,                  5.0
             5.0,        7, 0.06548757103796334,                5.0,                  5.0
             8.0,        7, 0.07620493471431443,                5.0,                  5.0
             8.0,        6, 0.1884802072396213,                5.0,                  5.0
             4.0,        0,         -1,                  0,                    0
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             7.0,       10, 0.07217242316134014,  4.442911097054962,                  5.0
             7.0,        7, 0.06996270221890646,                5.0,                  5.0
             7.0,        5, 0.25276398826847235, 1.7137717340645953,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.07094712080288014,                5.0,                  5.0
             9.0,       10, 0.07419501979827155,  4.598515439974013,                  5.0
             8.0,        7, 0.07259078210587,                5.0,                  5.0
             6.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             8.0,        1, 0.710924272578675,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             7.0,       10, 0.07291140909268269,                5.0,                  5.0
             7.0,        7, 0.07823442359085919, 1.6988383098133202,                  5.0
             6.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             7.0,       10, 0.07094712080288014,                5.0,                  5.0
             6.0,        8, 0.06836756228279453,                5.0,                  5.0
             6.0,        7, 0.07354894125691686,                5.0,                  5.0
             8.0,        5, 0.2527640571908685,                5.0,                  5.0
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             8.0,       10, 0.07494916865676346,                5.0,                  5.0
             8.0,        8, 0.07195504192393531,                5.0,                  5.0
             6.0,        2, 0.5418282394614383,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             9.0,       10, 0.07723339470941736,                5.0,                  5.0
             7.0,        7, 0.07384875368009723,                5.0,                  5.0
             6.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             8.0,       10, 0.0758254480012038,                5.0,                  5.0
             8.0,        7, 0.07722705384897309,                5.0,                  5.0
             8.0,        5, 0.2527640571908685,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             7.0,       10, 0.07291140909268269,                5.0,                  5.0
             8.0,        7, 0.06933736931878792,  4.406140088400186,                  5.0
             7.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             7.0,        1, 0.710924272578675,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             6.0,       10, 0.07204684655558503,  4.564371391639369,                  5.0
             7.0,        7, 0.0677234824909277,                5.0,                  5.0
             6.0,        5, 0.2527640571908685,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             8.0,       10, 0.07494916865676346,                5.0,                  5.0
             8.0,        8, 0.07195504192393531,                5.0,                  5.0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             6.0,       10, 0.07204684655558503,  4.564371391639369,                  5.0
             8.0,        7, 0.07266549398327864,                5.0,                  5.0
             7.0,        5, 0.25276398826847235, 1.7137717340645953,                  5.0
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             6.0,        9, 0.07021792185178853,                5.0,                  5.0
             8.0,       10, 0.07464687502732227,                5.0,                  5.0
             7.0,       10, 0.07094712080288014,                5.0,                  5.0
