#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             0.0,        5, 0.05631227705270144,                5.0,                  5.0
             3.0,        7, 0.06254920252360713,  2.693641015515693,                  5.0
             3.0,        9, 0.0702710610192074,                5.0,                  5.0
             0.0,        2, 0.5418282394614383,                0.0,                  0.0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             2.0,        6, 0.057852141227114365,                5.0,                  5.0
             2.0,        7, 0.059812638785129574,                5.0,                  5.0
             1.0,        9, 0.07196076248281438,                5.0,                  5.0
             3.0,        1, 0.710924272578675,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             3.0,        7, 0.06190229691349882,                5.0,                  5.0
             1.0,        5, 0.06009142987748927,                5.0,                  5.0
             3.0,        9, 0.0838711039138389,                5.0,                  5.0
             1.0,        2, 0.5418282394614383,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             2.0,        6, 0.057852141227114365,                5.0,                  5.0
             1.0,        7, 0.05842440388221017, 2.1041289481794045,                  5.0
             4.0,        9, 0.08350746935183896,                5.0,                  5.0
             2.0,        1, 0.710924272578675,                0.0,                  0.0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             1.0,        6, 0.058561490528119556, 2.8614405326520895,                  5.0
             3.0,        7, 0.06241066850737894,                5.0,                  5.0
             3.0,        9, 0.07255976702760997,                5.0,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             3.0,        7, 0.06082821029215556,                5.0,                  5.0
             5.0,        9, 0.06866937345546278,                5.0,                  5.0
             1.0,        5, 0.13279587357633738, 3.9565692460611386,                  5.0
             1.0,        2, 0.5418282394614383,                0.0,                  0.0
             1.0,        0,         -1,                  0,                    0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             4.0,        9, 0.06396783220322136,                5.0,                  5.0
             2.0,        5, 0.058425230950963775,                5.0,                  5.0
             1.0,        7, 0.039743953323791825,                5.0,                  5.0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             3.0,        7, 0.06264279913755631,                5.0,                  5.0
             3.0,        9, 0.062419559496480155,                5.0,                  5.0
             3.0,        9, 0.039743953323791825,                5.0,                  5.0
             1.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             2.0,        6, 0.05858781888344252,                5.0,                  5.0
             3.0,        7, 0.06262570638331522,                5.0,                  5.0
             2.0,        9, 0.07344493736115151,                5.0,                  5.0
             2.0,        1, 0.710924272578675,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             2.0,        6, 0.060760046042379605,                5.0,                  5.0
             4.0,        9, 0.06592329842631883,                5.0,                  5.0
             1.0,        6, 0.06336207326360471,  2.179165236483742,                  5.0
             3.0,        2, 0.3287966944766035, 3.9781254639162005,                  5.0
             1.0,        1, 0.5418282394614383,                0.0,                  0.0
             2.0,        1, 0.710924272578675,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             3.0,        7, 0.06082821029215556,                5.0,                  5.0
             1.0,        5, 0.057964071198435045,                5.0,                  5.0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             3.0,        7, 0.06264279913755631,                5.0,                  5.0
             2.0,        7, 0.05980092197778689,                5.0,                  5.0
             0.0,        5, 0.07007842292201448,  3.704336909653742,                  5.0
             0.0,        2, 0.1884802072396213,                5.0,                  5.0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             3.0,        7, 0.06264279913755631,                5.0,                  5.0
             2.0,        7, 0.05980092197778689,                5.0,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             1.0,        6, 0.05717070549654322,                5.0,                  5.0
             2.0,        7, 0.06005076566377055,                5.0,                  5.0
             3.0,        9, 0.07414126032928749,                5.0,                  5.0
             2.0,        1, 0.710924272578675,                0.0,                  0.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             1.0,        6, 0.05717070549654322,                5.0,                  5.0
             1.0,        5, 0.05893670405266991,                5.0,                  5.0
             1.0,        9, 0.0634587713853799,  4.472472590492384,                  5.0
             0.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             3.0,        1, 0.710924272578675,                0.0,                  0.0
