#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,       10, 0.1024597838620104,                5.0,                  5.0
             6.0,        6, 0.09820814727134772,                5.0,                  5.0
             5.0,        2, 0.09522563962630755,                5.0,                  5.0
             5.0,       10, 0.07318098869967467,                5.0,                  5.0
             0.0,        2, 0.5418282154015283,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             3.0,       10, 0.08896463054053791,                5.0,                  5.0
             4.0,        9, 0.22216139892473924,  4.167835392456803,                  5.0
             9.0,        0,         -1,                5.0,                  5.0
             2.0,        9, 0.09330732263110536,                5.0,                  5.0
             2.0,        2, 0.5418282154015284,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             8.0,       10, 0.08772068471488424,                5.0,                  5.0
             0.0,        0,         -1,                5.0,                  5.0
             8.0,       10, 0.0873616503248947,                5.0,                  5.0
             2.0,        2, 0.06780752980014897,                5.0,                  5.0
             9.0,        3, 0.08367947819256258, 4.0584057399119535,                  5.0
             2.0,        3, 0.25276401915165864,                5.0,                  5.0
             4.0,        2, 0.5418282154015286, 0.15010092653058063,                  0.0
             6.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,       10, 0.1024597838620104,                5.0,                  5.0
             7.0,       10, 0.057102867418061774,                5.0,                  5.0
             9.0,        1, 0.09031812327785432,                5.0,                  5.0
             6.0,        9, 0.03974396054987639,                5.0,                  5.0
             4.0,       10, 0.10199127859935386,                5.0,                  5.0
             4.0,        9, 0.22216139892473924,  4.167835392456803,                  5.0
             4.0,        5, 0.25220453081310995, 3.7517755555526207,                  5.0
             8.0,       10, 0.08772068471488424,                5.0,                  5.0
             3.0,        9, 0.0959600680667985,                5.0,                  5.0
             1.0,        2, 0.10588416625020927,                5.0,                  5.0
             3.0,        9, 0.03974396054987613,                5.0,                  5.0
             0.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,       10, 0.10168214108041884,                5.0,                  5.0
             4.0,        9, 0.22216139892473924,  4.167835392456803,                  5.0
             7.0,       10, 0.2602133393297988, 3.7517755555526207,                  5.0
             1.0,        1, 0.7109242800553771,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             6.0,       10, 0.10168214108041884,                5.0,                  5.0
             4.0,        9, 0.22216139892473924,  4.167835392456803,                  5.0
             4.0,        5, 0.25220453081310995, 3.7517755555526207,                  5.0
             1.0,        2, 0.18848025029978394,                5.0,                  5.0
