#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             0.0,        4, 0.2129846801435382,                5.0,                  5.0
             7.0,       10, 0.07742461532660526,                5.0,                  5.0
             6.0,        9, 0.059650866050381134,                5.0,                  5.0
             4.0,        7, 0.13279588755563745,                5.0,                  5.0
             4.0,        0,         -1,                  0,                    0
             8.0,       10, 0.08772068471488424,                5.0,                  5.0
             0.0,        0,         -1,                5.0,                  5.0
             6.0,       10, 0.10276289783515404,                5.0,                  5.0
             2.0,        2, 0.06780752980014897,                5.0,                  5.0
             0.0,        2, 0.0836794781925627, 4.0584057399119535,                  5.0
             5.0,        5, 0.18848025029978407,                5.0,                  5.0
             9.0,        0,         -1,                0.0,                  0.0
             7.0,       10, 0.12636211437308892,                5.0,                  5.0
             7.0,       10, 0.057102867418061774,                5.0,                  5.0
             7.0,        9, 0.2600708289517953, 3.7517755555526207,                  5.0
             7.0,        0,         -1,                0.0,                  0.0
             5.0,        0,         -1,                0.0,                  0.0
             1.0,        1, 0.7109242800553771,                0.0,                  0.0
             8.0,       10, 0.08772068471488424,                5.0,                  5.0
             4.0,        9, 0.22216139892473924,  4.167835392456803,                  5.0
             5.0,        9, 0.26468062270120923, 3.7517755555526207,                  5.0
             3.0,        0,         -1,                0.0,                  0.0
             1.0,        0,         -1,                0.0,                  0.0
             9.0,        6, 0.127303250154034,                5.0,                  5.0
             7.0,        8, 0.05488088392135971,                5.0,                  5.0
             6.0,        9, 0.059650866050381134,                5.0,                  5.0
             4.0,        7, 0.13279588755563745,                5.0,                  5.0
             8.0,       10, 0.08772068471488424,                5.0,                  5.0
             5.0,        6, 0.06863567701935556,                5.0,                  5.0
             4.0,        9, 0.22766453646330176,  4.751775555552621,                  5.0
             4.0,        5, 0.2527640191516585,  3.868545493072215,                  5.0
             2.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             5.0,       10, 0.1024597838620104,                5.0,                  5.0
             8.0,       10, 0.08007731456870765,                5.0,                  5.0
             0.0,        1, 0.1480146384246215,                5.0,                  5.0
             8.0,        7, 0.03974396054987639,                5.0,                  5.0
             8.0,       10, 0.08772068471488424,                5.0,                  5.0
             2.0,        9, 0.09011330116995199,                5.0,                  5.0
             6.0,        7, 0.14093409222694295,                5.0,                  5.0
             1.0,        4, 0.32879663310499313,  2.868545493072215,                  5.0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             9.0,        6, 0.127303250154034,                5.0,                  5.0
             4.0,       10, 0.06553013404077844,                5.0,                  5.0
             8.0,       10, 0.10219955700501418,                5.0,                  5.0
             6.0,        3, 0.3287966331049933,  2.868545493072215,                  5.0
             7.0,        1, 0.7109242800553771,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,       10, 0.10199127859935386,                5.0,                  5.0
             4.0,        9, 0.22216139892473924,  4.167835392456803,                  5.0
             0.0,        0,         -1,                5.0,                  5.0
             5.0,        9, 0.17441832089614176,                5.0,                  5.0
             1.0,        0,         -1,                0.0,                  0.0
