#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             5.0,        6, 0.1162549511188045,  1.938898413594445,                  5.0
             5.0,        7, 0.13279588755563745,                5.0,                  5.0
             0.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             9.0,        2, 0.08463800045407932,                5.0,                  5.0
             2.0,        7, 0.1217965209309789,                5.0,                  5.0
             2.0,        4, 0.3287966331049933,   4.49127266214027,                  5.0
             4.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             0.0,        6, 0.10570642356899443,                5.0,                  5.0
             8.0,        8, 0.4067736130855376, 1.7525800822228415,   2.2797921619166996
             2.0,        5, 0.18848025029978407,  3.545939844720053,                  5.0
             9.0,        0,         -1, 0.15446426158179882,                  0.0
             2.0,        1, 0.7109242800553771,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833,  2.073602224832829,                  5.0
             7.0,        9, 0.17247382631651098,  4.713710101334767,                  5.0
             9.0,        2, 0.08463800045407932,                5.0,                  5.0
             6.0,        9, 0.17943254566215322, 2.5995233091304355,                  5.0
             4.0,        8, 0.22986576699302957, 3.1636872167612893,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             3.0,        8, 0.15498686897492434,                5.0,                  5.0
             1.0,        6, 0.09367907128701186,                5.0,                  5.0
             3.0,        6, 0.18848025029978394, 3.2736341873988004,                  5.0
             0.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             7.0,        7, 0.14412769661009775, 3.3058758195409483,                  5.0
             1.0,        0,         -1,                5.0,                  5.0
             9.0,        3, 0.18848025029978394,                5.0,                  5.0
             5.0,        3, 0.42185432195813083, 0.25745421757667253,   1.4839754235296623
             9.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105, 1.7024101085749823,                  5.0
             4.0,        9, 0.11145756046504351, 3.3305998805599586,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             1.0,        0,         -1, 0.6589962825141953,                  5.0
             3.0,        6, 0.18848025029978407,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             9.0,        9, 0.11005988923197864,                5.0,                  5.0
             0.0,        3, 0.13030197911948102,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             1.0,        8, 0.07958248617528285,  4.761400224493852,                  5.0
             3.0,        9, 0.0839732905343581,                5.0,                  5.0
             9.0,        0,         -1, 1.3928661550137575,                  5.0
             3.0,        5, 0.2527640191516585, 0.7911688015761804,    4.461614193023086
             9.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105,  2.726319180725155,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             7.0,        9, 0.20213177535037025,                5.0,                  5.0
             9.0,        7, 0.09415682992535392,                5.0,                  5.0
             2.0,        3, 0.06280108510979192, 2.5102111020950035,                  5.0
             7.0,        8, 0.044444984161167815,                5.0,                  5.0
             2.0,        3, 0.42185432195813083,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             4.0,        8, 0.22986576699302957,  0.908813657897352,                  5.0
             7.0,        9, 0.17247382631651098,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             0.0,        2, 0.13279588755563732,  2.370347144321137,                  5.0
             0.0,        3, 0.2527640191516585, 4.8418318053422915,                  5.0
             4.0,        2, 0.5418282154015285,                0.0,   0.4553665361147665
             9.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             7.0,        9, 0.07677356545655448,                5.0,                  5.0
             3.0,        9, 0.10754003622979472,                5.0,                  5.0
             8.0,        2, 0.5418282154015284,                0.0,                  0.0
             5.0,        8, 0.16742784894897833,  4.981785830675889,                  5.0
             5.0,        9, 0.17336086930523503,                0.0,    4.666995589513811
             1.0,        0,         -1,                5.0,                  5.0
             4.0,        7, 0.1181711955755896,                5.0,                  5.0
