#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             5.0,        6, 0.18848025029978394,  4.242937906415196,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,       10, 0.19839795230648477,  1.251569634105878,                  5.0
             2.0,        7, 0.17568124081579797,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,                5.0,                  5.0
             2.0,        4, 0.3287966331049933,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105,  4.897429716616618,                  5.0
             3.0,        9, 0.1397852214326741,  2.638234199278129,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             6.0,        0,         -1,  4.130561830935618,    4.482576977893397
             2.0,        3, 0.42185432195813083,                0.0,    0.599470028732809
             5.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,                5.0,                  5.0
             6.0,        4, 0.3287966331049933,  4.651787642824759,                  5.0
             5.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             5.0,        9, 0.17336086930523503,                5.0,                  5.0
             7.0,        7, 0.14412769661009775, 3.0019622649160533,                  5.0
             4.0,        6, 0.18848025029978407,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             8.0,       10, 0.14595162809406764,                5.0,                  5.0
             8.0,        3, 0.42185432195813083,  3.771238939079251,    4.142272470197205
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        9, 0.20213177535037025,  4.336638400321261,                  5.0
             4.0,        8, 0.1523300920482727,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             6.0,        7, 0.13279588755563745, 3.4906376419391965,                  5.0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,  4.982544611301131,                  5.0
             3.0,        9, 0.19102736496277054,                5.0,                  5.0
             4.0,        4, 0.3287966331049933, 3.9338602316512525,                  5.0
             5.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833, 3.9606211292472144,                  5.0
             6.0,        9, 0.1310906214856014,                0.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             5.0,        6, 0.18848025029978394, 3.4746173056528806,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632, 2.7917708218543016,                  5.0
             5.0,        7, 0.09769935649668839, 0.7249887970913091,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             5.0,        7, 0.13279588755563745,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             5.0,        7, 0.09769935649668839,  4.244485838539357,                  5.0
             3.0,        9, 0.19102736496277054,                5.0,                  5.0
             4.0,        8, 0.22986576699302957,                5.0,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             5.0,        3, 0.42185432195813083,  4.540205097829076,    4.606464371535415
             3.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             7.0,        9, 0.17247382631651098,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,  4.639582127652812,                  5.0
             8.0,       10, 0.14595162809406764,  3.473941879894716,                  5.0
             8.0,        3, 0.42185432195813083,  4.367096331017595,    4.309053084759082
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.19839795230648477, 3.8946199378088275,                  5.0
             7.0,        9, 0.07677356545655448,                5.0,                  5.0
             4.0,        6, 0.11514287675902747,                5.0,                  5.0
             2.0,        4, 0.2527640191516585,  3.120740864960672,    4.908411907958492
             6.0,        1, 0.7109242800553772,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        8, 0.22986576699302957, 3.9256611465565427,                  5.0
             5.0,        9, 0.17336086930523503,  4.861045209117058,                  5.0
             3.0,        9, 0.19102736496277054,  4.663925136103944,                  5.0
             4.0,        4, 0.3287966331049933,  1.132880759891634,                  5.0
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,  4.907634947798334,                  5.0
             5.0,        6, 0.18848025029978394,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632,                0.0,   2.5568693981946264
             3.0,        8, 0.15498686897492434, 3.9164637382744765,                  5.0
             2.0,        6, 0.13384015607946892,                5.0,                  5.0
