#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             6.0,        8, 0.07323705187024508,                5.0,                  5.0
             5.0,        7, 0.024356598108726812,                5.0,                  5.0
             5.0,        6, 0.15891405524255478,                5.0,                  5.0
             0.0,        1, 0.7387994857592108,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             4.0,        8, 0.04849789707312524,                5.0,                  5.0
             9.0,       10, 0.10395863156785339,                5.0,                  5.0
             2.0,        2, 0.14677640538165543,                5.0,                  5.0
             2.0,        5, 0.2730644882049568, 0.058405739911953525,   4.9430281204115385
             4.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             0.0,        4, 0.009705391699291906,                5.0,                  5.0
             8.0,       10, 0.02735122453656991,                5.0,                  5.0
             2.0,        6, 0.21047946487190547,  4.868545493072215,                  5.0
             9.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             7.0,       10, 0.09159717247299991,                5.0,                  5.0
             9.0,       10, 0.05528745348164022,                5.0,                  5.0
             6.0,        2, 0.5994817177091782,                0.0,                  0.0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             4.0,        6, 0.0330390139580687,                5.0,                  5.0
             4.0,        7, 0.020065294906915086,                5.0,                  5.0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             3.0,        5, 0.01604953537520644,                5.0,                  5.0
             1.0,        2, 0.007525330009395038,                5.0,                  5.0
             3.0,        6, 0.006492503395500799,                5.0,                  5.0
             0.0,        2, 0.14515130276365887, 3.0584057399119535,                  5.0
             1.0,        2, 0.27424648205006646,                5.0,                  5.0
             0.0,        2, 0.44708996902296205, 1.1501009265305806,   1.7454235119296897
             7.0,        1, 0.7944276001531178,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             4.0,        6, 0.03876599748079454,                5.0,                  5.0
             7.0,       10, 0.05910100886856206,                5.0,                  5.0
             1.0,        2, 0.20108639665207612,  4.868545493072215,                  5.0
             9.0,        4, 0.35886181727441546,                0.0,    0.943028120411538
             5.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             4.0,        6, 0.03876599748079454,                5.0,                  5.0
             4.0,        7, 0.014736896300131726,                5.0,                  5.0
             1.0,        2, 0.05004380997918742,                5.0,                  5.0
             3.0,        2, 0.14751243751737503, 3.0584057399119535,                  5.0
             2.0,        2, 0.26765320925065506,                5.0,                  5.0
             3.0,        2, 0.4411406203188606, 1.1501009265305806,   1.7454235119296897
             6.0,        1, 0.7815222158654008,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             9.0,       10, 0.1893430828194622,                5.0,                  5.0
             0.0,        5, 0.01348861042174512,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             1.0,        6, 0.0074356315765447606,                5.0,                  5.0
             3.0,        6, 0.01154295180209633,                5.0,                  5.0
             9.0,       10, 0.06420070092513087,                5.0,                  5.0
             3.0,        1, 0.4510270320050637,                0.0,                  0.0
             9.0,        2, 0.5883245180427761, 1.6439541266225897,    2.353527190275538
             4.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             4.0,        6, 0.03876599748079454,                5.0,                  5.0
             2.0,        5, 0.005605797705424221,                5.0,                  5.0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             9.0,       10, 0.11966900173218505,                5.0,                  5.0
             2.0,        2, 0.009802020129751902,                5.0,                  5.0
             7.0,        8, 0.12930647995683345,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             7.0,       10, 0.10746310601270523,                5.0,                  5.0
             2.0,        4, 0.010124706381761984,                5.0,                  5.0
             0.0,        2, 0.053292286216235704,                5.0,                  5.0
             0.0,        2, 0.14265966855711487, 3.0584057399119535,                  5.0
             4.0,        5, 0.2813988275198238,                5.0,                  5.0
             9.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             7.0,       10, 0.12404306307256567,                5.0,                  5.0
             3.0,        5, 0.01372211311504734,                5.0,                  5.0
             8.0,        9, 0.019364205761601996,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             5.0,        7, 0.04947612524728104,                5.0,                  5.0
             1.0,        5, 0.005832620637550447,                5.0,                  5.0
             4.0,        5, 0.007146132640118432,                5.0,                  5.0
