#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             5.0,        7, 0.04287148822019409,                5.0,                  5.0
             8.0,        8, 0.023624323350854907,                5.0,                  5.0
             8.0,        5, 0.3086189709706597,  2.868545493072215,                  5.0
             4.0,        0,         -1,                  0,                    0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             7.0,       10, 0.09159717247299991,                5.0,                  5.0
             7.0,        7, 0.0293011981679647,                5.0,                  5.0
             7.0,        5, 0.29886887129242207,  3.868545493072215,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             9.0,       10, 0.11966900173218505,                5.0,                  5.0
             8.0,        8, 0.045423043263323054,                5.0,                  5.0
             6.0,        2, 0.6030101197514465,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             7.0,       10, 0.08402322086746822,                5.0,                  5.0
             7.0,        7, 0.02093422015811013,                5.0,                  5.0
             6.0,        3, 0.46859502110330303,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             6.0,        8, 0.0625892730259569,                5.0,                  5.0
             6.0,        7, 0.017813466258045182,                5.0,                  5.0
             8.0,        5, 0.29985827205723053,  3.868545493072215,                  5.0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             8.0,       10, 0.10300771024480562,                5.0,                  5.0
             8.0,        8, 0.05145754276310605,                5.0,                  5.0
             6.0,        2, 0.6016602873057858,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             9.0,       10, 0.1399379549302679,                5.0,                  5.0
             7.0,        7, 0.03253876067696101,                5.0,                  5.0
             6.0,        3, 0.47053133347838405,                0.0,                  0.0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             8.0,       10, 0.11427623129876145,                5.0,                  5.0
             8.0,        8, 0.04575054475537218,                5.0,                  5.0
             8.0,        4, 0.381217527723137, 1.8685454930722152,   3.3913274627127126
             6.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             7.0,       10, 0.08402322086746822,                5.0,                  5.0
             8.0,        8, 0.0400985854469911,                5.0,                  5.0
             7.0,        2, 0.6056840531574723,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             6.0,        9, 0.08921187114423523,                5.0,                  5.0
             7.0,        7, 0.024476897722584216,                5.0,                  5.0
             6.0,        6, 0.22726280496821052,  4.868545493072215,                  5.0
             8.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
