#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             2.0,        5, 0.012606551373706983,                5.0,                  5.0
             6.0,        9, 0.03249292118071539,                5.0,                  5.0
             6.0,        8, 0.12385898937471555,                5.0,                  5.0
             1.0,        0,         -1,                  0,                    0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             5.0,        9, 0.060964898305223156,                5.0,                  5.0
             4.0,        7, 0.019834309712595897,                5.0,                  5.0
             4.0,        5, 0.05556457307092235,                5.0,                  5.0
             3.0,        2, 0.35251541812524617,                0.0,    0.943028120411538
             6.0,        2, 0.5988442820889478, 1.6439541266225897,    2.353527190275538
             6.0,        0,         -1,                  0,                    0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             7.0,       10, 0.09159717247299991,                5.0,                  5.0
             5.0,        5, 0.01656172608645143,                5.0,                  5.0
             3.0,        5, 0.15021779002819427,                5.0,                  5.0
             5.0,        2, 0.5905975203989909,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             4.0,        6, 0.03876599748079454,                5.0,                  5.0
             4.0,        7, 0.014736896300131726,                5.0,                  5.0
             3.0,        5, 0.05300477678264978,                5.0,                  5.0
             7.0,        4, 0.3631504580326711,                0.0,    0.943028120411538
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             4.0,        6, 0.0330390139580687,                5.0,                  5.0
             4.0,        7, 0.020065294906915086,                5.0,                  5.0
             6.0,        9, 0.017059342423828342,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             5.0,        7, 0.04947612524728104,                5.0,                  5.0
             5.0,        7, 0.02457335550612548,                5.0,                  5.0
             9.0,        8, 0.17516177495270227,                5.0,                  5.0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             6.0,       10, 0.10903446283902031,                5.0,                  5.0
             7.0,        9, 0.05415333059711641,                5.0,                  5.0
             4.0,        5, 0.21065487185845175,  4.868545493072215,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             3.0,        7, 0.028355995898631112,                5.0,                  5.0
             6.0,        9, 0.05682704849853124,                5.0,                  5.0
             6.0,        9, 0.07013831061758957,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             6.0,        8, 0.07323705187024508,                5.0,                  5.0
             5.0,        7, 0.024356598108726812,                5.0,                  5.0
             6.0,        6, 0.16527014869294548,                5.0,                  5.0
             5.0,        1, 0.7801180731899181,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             4.0,        6, 0.0330390139580687,                5.0,                  5.0
             3.0,        5, 0.011141743270137928,                5.0,                  5.0
             4.0,        7, 0.00909035602866266,                5.0,                  5.0
             7.0,        5, 0.2842274262744882, 0.058405739911953525,   4.9430281204115385
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             5.0,        8, 0.05215632969497812,                5.0,                  5.0
             6.0,        9, 0.034547208735201514,                5.0,                  5.0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             6.0,        9, 0.08921187114423523,                5.0,                  5.0
             4.0,        5, 0.012941292443926106,                5.0,                  5.0
             4.0,        5, 0.10239631889697727,                5.0,                  5.0
             6.0,        3, 0.4637054135142514,                0.0,                  0.0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             2.0,        5, 0.012862904826842422,                5.0,                  5.0
             2.0,        5, 0.00548536775079292,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             5.0,        9, 0.07711117154043771,                5.0,                  5.0
             5.0,        9, 0.03214201546956309,                5.0,                  5.0
             6.0,        6, 0.1589730856283272,                5.0,                  5.0
             4.0,        1, 0.7673191465071578,                0.0,                  0.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             6.0,        8, 0.07323705187024508,                5.0,                  5.0
             4.0,        5, 0.013861981804736944,                5.0,                  5.0
             5.0,        6, 0.06081945280665323,                5.0,                  5.0
             3.0,        2, 0.45182612736540745,                0.0,                  0.0
             4.0,        1, 0.7954529491296695,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             4.0,        6, 0.03171223696591901,                5.0,                  5.0
             5.0,        9, 0.02514866963360493,                5.0,                  5.0
             5.0,        6, 0.15620059601151315,                5.0,                  5.0
             5.0,        1, 0.7748261679415506,                0.0,                  0.0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             4.0,        6, 0.03876599748079454,                5.0,                  5.0
             4.0,        7, 0.014736896300131726,                5.0,                  5.0
             4.0,        6, 0.05800545485272703,                5.0,                  5.0
             1.0,        1, 0.4448524207441245,                0.0,                  0.0
             2.0,        1, 0.5895180706192249, 1.6439541266225897,    2.353527190275538
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             3.0,        6, 0.02257223696122076,                5.0,                  5.0
             5.0,        9, 0.045105288787892835,                5.0,                  5.0
             3.0,        5, 0.006683507077272337,                5.0,                  5.0
             4.0,        4, 0.2748291948097665, 0.058405739911953525,   4.9430281204115385
             7.0,        1, 0.7806588948650105,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             4.0,        8, 0.04849789707312524,                5.0,                  5.0
             6.0,        9, 0.05293500062002543,                5.0,                  5.0
             1.0,        2, 0.09389387349554934,                5.0,                  5.0
             5.0,        6, 0.2168250378692336, 1.0584057399119535,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             3.0,        5, 0.0197027729337328,                5.0,                  5.0
             2.0,        5, 0.0053146410582873,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             3.0,        5, 0.0197027729337328,                5.0,                  5.0
             5.0,        9, 0.02532266176083012,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             8.0,       10, 0.09694401530391528,                5.0,                  5.0
             4.0,        5, 0.013107271897036681,                5.0,                  5.0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             5.0,        9, 0.060964898305223156,                5.0,                  5.0
             5.0,        7, 0.03001883104430747,                5.0,                  5.0
             7.0,        9, 0.07340838519319896,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             3.0,        7, 0.028355995898631112,                5.0,                  5.0
             4.0,        9, 0.023471774326510257,                5.0,                  5.0
             2.0,        2, 0.050170960185303905,                5.0,                  5.0
             6.0,        7, 0.16260318489562237, 2.0584057399119535,                  5.0
             4.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             5.0,        9, 0.060964898305223156,                5.0,                  5.0
             6.0,        9, 0.04146594526219638,                5.0,                  5.0
             8.0,        7, 0.1958087973838281,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             3.0,        5, 0.0197027729337328,                5.0,                  5.0
             0.0,        2, 0.0040220365405516795,                5.0,                  5.0
             5.0,        9, 0.018789275770481433,                5.0,                  5.0
             3.0,        5, 0.20749104289302409, 1.0584057399119535,                  5.0
             4.0,        1, 0.7837929555006415,                0.0,                  0.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             4.0,        8, 0.04849789707312524,                5.0,                  5.0
             7.0,       10, 0.07327487659077458,                5.0,                  5.0
             5.0,        6, 0.15621599210921858,                5.0,                  5.0
             4.0,        1, 0.7692178517973053,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             1.0,        5, 0.009919706224955676,                5.0,                  5.0
             4.0,        7, 0.0330688379290545,                5.0,                  5.0
             4.0,        7, 0.02483771985266517,                5.0,                  5.0
             8.0,        9, 0.04671379927228189,                5.0,                  5.0
             5.0,        2, 0.584621833975014,                0.0,                  0.0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             4.0,        6, 0.03876599748079454,                5.0,                  5.0
             2.0,        5, 0.005605797705424221,                5.0,                  5.0
             3.0,        5, 0.005883420837370464,                5.0,                  5.0
             3.0,        4, 0.20623624381818773, 1.0584057399119535,                  5.0
             9.0,        2, 0.5674926784534267, 1.6439541266225897,    2.353527190275538
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             6.0,       10, 0.10903446283902031,                5.0,                  5.0
             3.0,        5, 0.011628333560920969,                5.0,                  5.0
             6.0,        7, 0.011242162904395742,                5.0,                  5.0
             5.0,        3, 0.4596286965795382,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             4.0,        6, 0.03171223696591901,                5.0,                  5.0
             2.0,        5, 0.005718516497197784,                5.0,                  5.0
             2.0,        2, 0.004077093953354014,                5.0,                  5.0
             5.0,        7, 0.07046727066065331, 4.0584057399119535,                  5.0
             8.0,        2, 0.5919747985593915, 1.6439541266225897,    2.353527190275538
             5.0,        0,         -1,                  0,                    0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             5.0,        8, 0.05215632969497812,                5.0,                  5.0
             7.0,        9, 0.046737435347313006,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             4.0,        6, 0.03171223696591901,                5.0,                  5.0
             7.0,       10, 0.05654243694124056,                5.0,                  5.0
             5.0,        6, 0.21788787451555763,  4.868545493072215,                  5.0
             8.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             8.0,       10, 0.16004209527410385,                5.0,                  5.0
             8.0,       10, 0.09415278435989217,                5.0,                  5.0
             4.0,        4, 0.2769784639281609,  3.868545493072215,                  5.0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             7.0,       10, 0.10746310601270523,                5.0,                  5.0
             2.0,        4, 0.010124706381761984,                5.0,                  5.0
             3.0,        5, 0.052140709799718424,                5.0,                  5.0
             6.0,        4, 0.36144980132117965,                0.0,    0.943028120411538
             4.0,        0,         -1,                  0,                    0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             4.0,        6, 0.0330390139580687,                5.0,                  5.0
             5.0,        9, 0.033264959862980295,                5.0,                  5.0
             7.0,        8, 0.11751912882488108,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             0.0,        5, 0.007158970733151699,                5.0,                  5.0
             4.0,        7, 0.010575778909693181,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             2.0,        6, 0.015187532294619183,                5.0,                  5.0
             3.0,        9, 0.013305963528411421,                5.0,                  5.0
             4.0,        5, 0.009006552922297338,                5.0,                  5.0
             6.0,        5, 0.2810387082469618, 0.058405739911953525,   4.9430281204115385
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             7.0,       10, 0.10544271502660184,                5.0,                  5.0
             4.0,        5, 0.012454651840835902,                5.0,                  5.0
             3.0,        5, 0.148311792192686,                5.0,                  5.0
             4.0,        2, 0.5850493291770508,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             2.0,        5, 0.012606551373706983,                5.0,                  5.0
             5.0,        7, 0.021002666939289632,                5.0,                  5.0
             5.0,        9, 0.025751848103096282,                5.0,                  5.0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             3.0,        5, 0.01604953537520644,                5.0,                  5.0
             4.0,        5, 0.00912308613924496,                5.0,                  5.0
             2.0,        2, 0.004819452705443154,                5.0,                  5.0
             3.0,        3, 0.09818852713377861, 4.0584057399119535,                  5.0
             5.0,        5, 0.30599596421736697,                5.0,                  5.0
             7.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             0.0,        5, 0.006564636557054669,                5.0,                  5.0
             4.0,        7, 0.027918770750031175,                5.0,                  5.0
             2.0,        6, 0.00822218982529799,                5.0,                  5.0
             3.0,        5, 0.00600780904456775,                5.0,                  5.0
             3.0,        7, 0.15060677630766928, 2.0584057399119535,                  5.0
             4.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             9.0,       10, 0.17507731604453364,                5.0,                  5.0
             2.0,        5, 0.009182946591741207,                5.0,                  5.0
             2.0,        5, 0.0033770863898116964,                5.0,                  5.0
             8.0,        5, 0.29513725129124385, 0.058405739911953525,   4.9430281204115385
             2.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             8.0,       10, 0.09694401530391528,                5.0,                  5.0
             3.0,        4, 0.010759710752757787,                5.0,                  5.0
             4.0,        5, 0.10265149128589471,                5.0,                  5.0
             6.0,        3, 0.46180110299662375,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             4.0,        6, 0.0330390139580687,                5.0,                  5.0
             2.0,        5, 0.0061558101662425695,                5.0,                  5.0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             4.0,        6, 0.0330390139580687,                5.0,                  5.0
             5.0,        9, 0.033264959862980295,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             5.0,        9, 0.07711117154043771,                5.0,                  5.0
             7.0,        9, 0.06330739258269513,                5.0,                  5.0
             5.0,        5, 0.15575791377894052,                5.0,                  5.0
             5.0,        2, 0.5911450370157877,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             5.0,        9, 0.07711117154043771,                5.0,                  5.0
             4.0,        7, 0.020069438021492955,                5.0,                  5.0
             9.0,       10, 0.17697853166504726,                5.0,                  5.0
             8.0,       10, 0.12793049442885943,                5.0,                  5.0
             5.0,        5, 0.013296767662680262,                5.0,                  5.0
             3.0,        3, 0.27467926795902375,  3.868545493072215,                  5.0
             2.0,        2, 0.5890170769466425,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             5.0,        8, 0.06126040780121782,                5.0,                  5.0
             2.0,        4, 0.007606088887759894,                5.0,                  5.0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             5.0,        8, 0.05215632969497812,                5.0,                  5.0
             5.0,        7, 0.024141373709070164,                5.0,                  5.0
             4.0,        6, 0.10279615466759683,                5.0,                  5.0
             4.0,        2, 0.5857249817183867,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             7.0,       10, 0.09159717247299991,                5.0,                  5.0
             4.0,        5, 0.012442904766896686,                5.0,                  5.0
             5.0,        5, 0.15540534388130978,                5.0,                  5.0
             5.0,        2, 0.5917997479635392,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             1.0,        5, 0.009919706224955676,                5.0,                  5.0
             5.0,        8, 0.053098040078053334,                5.0,                  5.0
             8.0,       10, 0.0816827562194657,                5.0,                  5.0
             1.0,        1, 0.14382435461548193,                5.0,                  5.0
             6.0,        3, 0.9998143115692748,                0.0,                  0.0
             4.0,        3, 0.4634624243833146, 2.6439541266225897,    4.353527190275538
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             2.0,        5, 0.012862904826842422,                5.0,                  5.0
             4.0,        7, 0.0185303600188939,                5.0,                  5.0
             7.0,       10, 0.044009049266954425,                5.0,                  5.0
             6.0,        1, 0.7736316627281487,                0.0,                  0.0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             7.0,       10, 0.08402322086746822,                5.0,                  5.0
             5.0,        5, 0.013786208619476313,                5.0,                  5.0
             8.0,        5, 0.3002814765180564,  2.868545493072215,                  5.0
             5.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             5.0,        8, 0.05215632969497812,                5.0,                  5.0
             3.0,        5, 0.009692630431048717,                5.0,                  5.0
             6.0,        7, 0.013858501347932112,                5.0,                  5.0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             6.0,        9, 0.08992084575822357,                5.0,                  5.0
             4.0,        7, 0.02252692508788502,                5.0,                  5.0
             7.0,        9, 0.06790227372337279,                5.0,                  5.0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             8.0,       10, 0.11427623129876145,                5.0,                  5.0
             6.0,        7, 0.027005445074536866,                5.0,                  5.0
             1.0,        2, 0.2673650439013816,  3.868545493072215,                  5.0
             4.0,        3, 0.45972112469412724,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             3.0,        6, 0.021608884323593553,                5.0,                  5.0
             2.0,        4, 0.005416080295041049,                5.0,                  5.0
             5.0,        9, 0.013939854086683972,                5.0,                  5.0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             3.0,        6, 0.02257223696122076,                5.0,                  5.0
             5.0,        9, 0.045105288787892835,                5.0,                  5.0
             7.0,        9, 0.02634819781255185,                5.0,                  5.0
             6.0,        1, 0.7653261291037567,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             8.0,       10, 0.09694401530391528,                5.0,                  5.0
             0.0,        2, 0.01785812350925983,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             6.0,       10, 0.10903446283902031,                5.0,                  5.0
             1.0,        5, 0.006671199933283036,                5.0,                  5.0
             7.0,       10, 0.01747265974638318,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             3.0,        6, 0.021608884323593553,                5.0,                  5.0
             6.0,        9, 0.03121966393016208,                5.0,                  5.0
             7.0,        7, 0.18161387447447896,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             5.0,        7, 0.04947612524728104,                5.0,                  5.0
             5.0,        7, 0.02457335550612548,                5.0,                  5.0
             3.0,        5, 0.0995381761538557,                5.0,                  5.0
             4.0,        2, 0.4556732801937535,                0.0,                  0.0
             4.0,        1, 0.7908558051523299,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
