#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             0.0,        5, 0.006564636557054669,                5.0,                  5.0
             7.0,        9, 0.09401549527936515,                5.0,                  5.0
             6.0,        9, 0.038165695462341505,                5.0,                  5.0
             4.0,        5, 0.15350115059150685,                5.0,                  5.0
             4.0,        2, 0.5774312283951807,                0.0,                  0.0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             0.0,        4, 0.009705391699291906,                5.0,                  5.0
             6.0,       10, 0.02348324624927584,                5.0,                  5.0
             2.0,        6, 0.2099306398681429,  4.868545493072215,                  5.0
             0.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             7.0,       10, 0.07678458326917094,                5.0,                  5.0
             7.0,        7, 0.018958080701960128,                5.0,                  5.0
             7.0,        3, 0.9996750557662321,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             4.0,        7, 0.029679498500346353,                5.0,                  5.0
             5.0,        5, 0.01262332353166447,                5.0,                  5.0
             3.0,        5, 0.10061397482568823,                5.0,                  5.0
             1.0,        2, 0.4394535049652731,                0.0,                  0.0
             9.0,       10, 0.17697853166504726,                5.0,                  5.0
             7.0,       10, 0.0945082826654867,                5.0,                  5.0
             6.0,        7, 0.017047780596833487,                5.0,                  5.0
             4.0,        3, 0.4604639453729911,                0.0,                  0.0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             5.0,        8, 0.051855223697194544,                5.0,                  5.0
             4.0,        5, 0.010796259628260835,                5.0,                  5.0
             4.0,        5, 0.15382797699703415,                5.0,                  5.0
             2.0,        2, 0.5723279483224977,                0.0,                  0.0
             0.0,        0,         -1,                  0,                    0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             8.0,       10, 0.09694401530391528,                5.0,                  5.0
             0.0,        2, 0.01785812350925983,                5.0,                  5.0
             8.0,        9, 0.022561671801234348,                5.0,                  5.0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             2.0,        4, 0.011141992080368441,                5.0,                  5.0
             6.0,        7, 0.024331938579101015,                5.0,                  5.0
             1.0,        7, 0.049052029687915784,                5.0,                  5.0
             7.0,        2, 0.5905959233676007,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             9.0,       10, 0.17697853166504726,                5.0,                  5.0
             4.0,        7, 0.031548067529822234,                5.0,                  5.0
             8.0,        8, 0.021644206083963134,                5.0,                  5.0
             6.0,        5, 0.28646083924186466,  3.868545493072215,                  5.0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             4.0,        6, 0.0330390139580687,                5.0,                  5.0
             0.0,        5, 0.0036356641228038706,                5.0,                  5.0
             5.0,        9, 0.013023944901968135,                5.0,                  5.0
             1.0,        2, 0.4472864740082994,                0.0,                  0.0
             7.0,        1, 0.77467582447008,                0.0,                  0.0
