#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             9.0,       10, 0.17697853166504726,                5.0,                  5.0
             9.0,       10, 0.1541526010735251,                5.0,                  5.0
             9.0,       10, 0.08587966999121487,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             6.0,        9, 0.08921187114423523,                5.0,                  5.0
             9.0,       10, 0.03771439278071925,                5.0,                  5.0
             1.0,        2, 0.44242462764974183, 0.8685454930722153,   1.3913274627127126
             5.0,        1, 0.7668009034618287,                0.0,                  0.0
             1.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             3.0,        5, 0.01595075005310161,                5.0,                  5.0
             6.0,        7, 0.019629906058538177,                5.0,                  5.0
             1.0,        2, 0.09324776212106092,                5.0,                  5.0
             1.0,        2, 0.1976436864994901, 2.0584057399119535,                  5.0
             2.0,        4, 0.35391874964708575,   4.64395412662259,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             3.0,        5, 0.0197027729337328,                5.0,                  5.0
             6.0,        9, 0.041458745291461555,                5.0,                  5.0
             2.0,        5, 0.09585533019132536,                5.0,                  5.0
             7.0,        3, 0.4655349637077963,                0.0,                  0.0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             4.0,        6, 0.03876599748079454,                5.0,                  5.0
             3.0,        5, 0.00834539415850863,                5.0,                  5.0
             3.0,        5, 0.005825485495270484,                5.0,                  5.0
             1.0,        5, 0.009919706224955676,                5.0,                  5.0
             2.0,        6, 0.009922042230042174,                5.0,                  5.0
             4.0,        9, 0.023897238473664883,                5.0,                  5.0
             3.0,        5, 0.006346727133362383,                5.0,                  5.0
             6.0,        5, 0.2804984471496379, 0.058405739911953525,   4.9430281204115385
             4.0,        0,         -1,                  0,                    0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             3.0,        6, 0.02257223696122076,                5.0,                  5.0
             4.0,        9, 0.02876881915061783,                5.0,                  5.0
             2.0,        2, 0.004254271885387859,                5.0,                  5.0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             5.0,        9, 0.060964898305223156,                5.0,                  5.0
             2.0,        5, 0.008268237737040147,                5.0,                  5.0
             6.0,        7, 0.016174138356235268,                5.0,                  5.0
             6.0,        4, 0.3629351829812821,                0.0,    0.943028120411538
             5.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             5.0,        8, 0.06126040780121782,                5.0,                  5.0
             2.0,        4, 0.007606088887759894,                5.0,                  5.0
             2.0,        2, 0.004853654570199674,                5.0,                  5.0
             2.0,        2, 0.0961790452626515, 4.0584057399119535,                  5.0
             2.0,        6, 0.2054408596629683,                5.0,                  5.0
             0.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             9.0,       10, 0.13498276541984727,                5.0,                  5.0
             3.0,        5, 0.008830556582592899,                5.0,                  5.0
             2.0,        5, 0.1461220229364343,                5.0,                  5.0
             3.0,        2, 0.5863511229816915,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             7.0,       10, 0.10544271502660184,                5.0,                  5.0
             9.0,        8, 0.046526989348947535,                5.0,                  5.0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             7.0,       10, 0.08402322086746822,                5.0,                  5.0
             5.0,        5, 0.013786208619476313,                5.0,                  5.0
             4.0,        5, 0.28116816308378584,  3.868545493072215,                  5.0
             1.0,        0,         -1,                  0,                    0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             4.0,        6, 0.03171223696591901,                5.0,                  5.0
             7.0,       10, 0.05654243694124056,                5.0,                  5.0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             2.0,        4, 0.011141992080368441,                5.0,                  5.0
             1.0,        2, 0.00676181153126252,                5.0,                  5.0
             5.0,        9, 0.013316695821834352,                5.0,                  5.0
             9.0,        5, 0.3669067066976265,                0.0,    0.943028120411538
             4.0,        7, 0.04346192713297178,                5.0,                  5.0
             8.0,       10, 0.12198083153927508,                5.0,                  5.0
             4.0,        5, 0.015281758622520075,                5.0,                  5.0
             6.0,        7, 0.1131300449169183,                5.0,                  5.0
             2.0,        1, 0.7625866262954044,                0.0,                  0.0
