# trial_index,allocated_resources
0,8
1,9
2,3
3,6
4,0
5,3
6,0
7,1
8,0
9,0
10,5
11,7
12,10
13,6
14,2
15,0
16,0
17,0
18,0
19,0
20,10
21,4
22,10
23,6
24,0
25,0
26,0
27,0
28,0
29,0
30,8
31,9
32,0
33,10
34,5
35,7
36,7
37,10
38,4
39,5
40,2
41,2
42,7
43,0
44,0
45,0
46,9
47,6
48,6
49,7
50,0
51,0
52,1
53,0
54,1
55,9
56,6
57,5
58,7
59,2
60,0
61,0
62,0
63,0
64,0
65,5
66,10
67,5
68,5
69,5
70,8
71,2
72,0
73,6
74,4
75,9
76,6
77,5
78,10
79,10
80,0
81,10
82,0
83,0
84,0
85,5
86,9
87,5
88,0
89,2
90,9
91,0
92,0
93,0
94,0
95,5
96,9
97,5
98,4
99,8
100,6
101,5
102,9
103,1
104,0
105,0
106,0
107,10
108,9
109,3
110,5
111,9
112,5
113,8
114,5
115,9
116,8
117,5
118,9
119,5
120,1
121,6
122,4
123,0
124,5
125,7
126,6
127,6
128,9
129,5
130,7
131,9
132,0
133,0
134,0
135,0
136,10
137,5
138,6
139,6
140,9
141,6
142,5
143,0
144,6
145,4
146,0
147,0
148,0
149,0
150,5
151,2
152,2
153,4
154,5
155,4
156,7
157,1
158,5
159,9
160,5
161,5
162,1
163,5
164,10
165,5
166,9
167,8
168,9
169,3
170,7
171,3
172,5
173,10
174,5
175,10
176,6
177,5
178,5
179,9
180,5
181,7
182,3
183,0
184,5
185,5
186,9
187,2
188,10
189,10
190,8
191,1
192,1
193,0
194,0
195,0
196,10
197,7
198,0
199,2
200,2
201,7
202,8
203,5
204,7
205,9
206,5
207,9
208,10
209,4
210,0
211,10
212,10
213,3
214,3
215,4
216,10
217,7
218,9
219,4
220,5
221,5
222,9
223,4
224,5
225,9
226,10
227,6
228,0
229,0
230,5
231,9
232,2
233,0
234,5
235,10
236,5
237,7
238,3
239,0
240,0
241,0
242,5
243,9
244,5
245,7
246,4
247,0
248,0
249,0
250,0
251,5
252,5
253,2
254,4
255,1
256,6
257,3
258,5
259,9
260,2
261,5
262,9
263,5
264,6
265,5
266,0
267,0
268,0
269,5
270,5
271,9
272,2
273,5
274,1
275,0
276,1
277,1
278,5
279,6
280,10
281,1
282,6
283,2
284,0
285,0
286,5
287,9
288,2
289,1
290,5
291,9
292,2
293,5
294,10
295,6
296,6
297,5
298,9
299,2
300,0
301,10
302,5
303,10
304,10
305,4
306,9
307,5
308,9
309,2
310,0
311,0
312,9
313,1
314,0
315,5
316,9
317,6
318,4
319,6
320,0
321,0
322,0
323,0
324,0
325,5
326,9
327,5
328,1
329,1
330,10
331,4
332,10
333,6
334,10
335,5
336,5
337,9
338,5
339,9
340,5
341,10
342,10
343,10
344,3
345,5
346,9
347,10
348,6
349,0
350,0
351,0
352,5
353,10
354,5
355,9
356,1
357,0
358,0
359,0
360,0
361,9
362,10
363,9
364,1
365,1
366,0
367,0
368,0
369,0
370,10
371,1
372,6
373,9
374,2
375,0
376,0
377,1
378,0
379,1
