# trial_index,allocated_resources
0,8
1,9
2,3
3,8
4,9
5,9
6,5
7,7
8,9
9,8
10,5
11,7
12,9
13,5
14,9
15,9
16,5
17,7
18,5
19,7
20,7
21,9
22,6
23,5
24,8
25,9
26,3
27,5
28,7
29,10
30,10
31,9
32,10
33,10
34,5
35,5
36,9
37,6
38,6
39,5
40,7
41,7
42,5
43,7
44,7
45,8
46,9
47,3
48,8
49,9
50,9
51,5
52,7
53,9
54,8
55,5
56,7
57,9
58,5
59,9
60,9
61,5
62,7
63,5
64,7
65,7
66,9
67,6
68,5
69,8
70,9
71,3
72,5
73,7
74,10
75,10
76,9
77,10
78,10
79,5
80,5
81,9
82,6
83,6
84,5
85,7
86,7
87,5
88,7
89,7
90,8
91,9
92,3
93,8
94,9
95,9
96,5
97,7
98,9
99,8
100,5
101,7
102,9
103,5
104,9
105,9
106,5
107,7
108,5
109,7
110,7
111,9
112,6
113,5
114,8
115,9
116,3
117,5
118,7
119,10
120,10
121,9
122,10
123,10
124,5
125,5
126,9
127,6
128,6
129,5
130,7
131,7
132,5
133,7
134,7
135,8
136,9
137,3
138,8
139,9
140,9
141,5
142,7
143,9
144,8
145,5
146,7
147,9
148,5
149,9
150,9
151,5
152,7
153,5
154,7
155,7
156,9
157,6
158,5
159,8
160,9
161,3
162,5
163,7
164,10
165,10
166,9
167,10
168,10
169,5
170,5
171,9
172,6
173,6
174,5
175,7
176,7
177,5
178,7
179,7
180,8
181,9
182,3
183,8
184,9
185,9
186,5
187,7
188,9
189,8
190,5
191,7
