# trial_index,allocated_resources
0,8
1,9
2,3
3,3
4,6
5,0
6,0
7,1
8,5
9,9
10,5
11,9
12,1
13,1
14,0
15,9
16,5
17,7
18,7
19,0
20,2
21,0
22,8
23,5
24,7
25,10
26,5
27,5
28,7
29,3
30,0
31,9
32,10
33,9
34,5
35,6
36,9
37,9
38,1
39,0
40,0
41,0
42,5
43,7
44,7
45,8
46,9
47,3
48,3
49,6
50,0
51,0
52,5
53,6
54,9
55,9
56,1
57,0
58,0
59,0
60,9
61,5
62,7
63,7
64,0
65,5
66,9
67,9
68,7
69,0
70,0
71,5
72,7
73,7
74,10
75,10
76,5
77,10
78,10
79,3
80,0
81,7
82,8
83,6
84,7
85,5
86,9
87,9
88,7
89,0
90,0
91,0
92,0
93,0
94,10
95,10
96,0
97,7
98,3
99,8
100,5
101,7
102,9
103,1
104,0
105,0
106,5
107,9
108,5
109,5
110,7
111,10
112,8
113,5
114,7
115,9
116,5
117,7
118,7
119,2
120,5
121,4
122,10
123,10
124,3
125,0
126,7
127,8
128,6
129,7
130,5
131,9
132,9
133,7
134,0
135,8
136,9
137,3
138,3
139,10
140,10
141,0
142,7
143,3
144,0
145,0
146,8
147,9
148,3
149,9
150,9
151,1
152,7
153,3
154,1
155,0
156,0
157,0
158,0
159,8
160,9
161,3
162,7
163,5
164,9
165,10
166,1
167,5
168,10
169,5
170,5
171,9
172,1
173,5
174,7
175,7
176,8
177,5
178,7
179,9
180,1
181,0
182,0
183,8
184,9
185,9
186,3
187,5
188,6
189,9
190,9
191,8
192,9
193,3
194,9
195,9
196,1
197,7
198,3
199,1
200,0
201,9
202,6
203,5
204,6
205,4
206,5
207,7
208,7
209,2
210,5
211,4
212,0
213,0
214,5
215,6
216,9
217,9
218,5
219,7
220,7
221,9
222,5
223,7
224,7
225,8
226,9
227,3
228,8
229,9
230,9
231,5
232,7
233,9
234,9
235,0
236,0
237,0
238,5
239,9
240,5
241,5
242,9
243,5
244,5
245,7
246,10
247,8
248,5
249,7
250,9
251,1
252,0
253,0
254,0
255,0
256,9
257,10
258,9
259,1
260,1
261,0
262,0
263,5
264,7
265,7
266,9
267,5
268,7
269,7
270,6
271,1
272,2
273,0
274,10
275,10
276,0
277,7
278,3
279,0
280,0
281,0
282,9
283,5
284,9
285,6
286,5
287,9
288,5
289,9
290,1
291,9
292,6
293,5
294,6
295,4
296,0
297,5
298,7
299,10
300,8
301,0
302,0
303,10
304,5
305,5
306,9
307,1
308,5
309,7
310,7
311,9
312,0
313,5
314,9
315,6
316,9
317,1
318,8
319,9
320,9
321,3
322,1
323,0
324,0
325,0
326,8
327,9
328,3
329,3
330,7
331,0
332,0
