# trial_index,allocated_resources
0,9
1,9
2,9
3,1
4,1
5,10
6,10
7,5
8,5
9,0
10,0
11,0
12,10
13,10
14,10
15,0
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,10
24,10
25,9
26,1
27,10
28,9
29,10
30,1
31,0
32,0
33,8
34,9
35,6
36,6
37,10
38,9
39,10
40,1
41,0
42,0
43,0
44,0
45,9
46,10
47,9
48,1
49,1
50,0
51,0
52,0
53,10
54,10
55,5
56,1
57,2
58,1
59,1
60,0
61,5
62,6
63,9
64,9
65,9
66,6
67,6
68,0
69,10
70,6
71,6
72,8
73,9
74,8
75,1
76,1
77,10
78,9
79,9
80,1
81,0
82,1
83,0
84,0
85,8
86,9
87,6
88,6
89,1
90,10
91,10
92,9
93,1
94,0
95,0
96,10
97,6
98,6
99,8
100,0
101,0
102,0
103,0
104,0
105,0
106,10
107,6
108,9
109,5
110,0
111,9
112,6
113,8
114,10
115,10
116,10
117,9
118,9
119,5
120,10
121,10
122,9
123,1
124,0
125,0
126,0
127,0
128,10
129,9
130,9
131,1
132,0
133,1
134,0
135,10
136,1
137,10
138,9
139,10
140,10
141,5
142,1
143,2
144,1
145,8
146,9
147,8
148,1
149,1
150,3
151,9
152,10
153,8
154,1
155,1
156,10
157,9
158,9
159,2
160,0
161,0
162,10
163,10
164,3
165,6
166,1
167,0
168,0
169,0
170,8
171,9
172,6
173,7
174,0
175,0
176,0
177,10
178,10
179,5
180,9
181,9
182,0
183,10
184,1
185,0
186,1
187,10
188,5
189,6
190,6
191,8
192,9
193,9
194,3
195,1
196,0
197,5
198,9
199,10
200,6
201,0
202,8
203,9
204,9
205,10
206,9
207,10
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,10
216,10
217,9
218,1
219,0
220,0
221,9
222,9
223,9
224,1
225,8
226,9
227,6
228,6
229,1
230,0
231,0
232,0
233,0
234,10
235,5
236,6
237,9
238,0
239,0
240,0
241,10
242,10
243,10
244,0
245,0
246,0
247,0
248,8
249,9
250,9
251,1
252,1
253,1
254,10
255,10
256,6
257,5
258,9
259,6
260,10
261,10
262,9
263,1
264,0
265,0
266,0
267,5
268,9
269,5
270,9
271,9
272,3
273,9
274,0
275,0
276,0
277,0
278,0
279,9
280,10
281,9
282,10
283,6
284,6
285,8
286,0
287,0
288,9
289,9
290,0
291,10
292,2
293,0
294,10
295,9
296,9
297,2
298,0
299,0
300,10
301,9
302,9
303,2
304,0
305,5
306,9
307,2
308,0
309,6
310,0
311,10
312,10
313,3
314,7
315,10
316,10
317,5
318,5
319,10
320,10
321,3
322,6
323,1
324,0
325,0
326,0
327,5
328,9
329,5
330,5
331,10
332,10
333,9
334,1
335,0
336,0
337,0
338,9
339,9
340,9
341,9
342,6
343,6
344,6
345,1
346,5
347,10
348,5
349,4
350,10
351,10
352,6
353,1
354,2
355,1
356,0
357,0
358,0
359,0
