# trial_index,allocated_resources
0,9
1,5
2,9
3,1
4,5
5,10
6,9
7,9
8,1
9,1
10,0
11,0
12,10
13,9
14,3
15,0
16,8
17,0
18,9
19,10
20,9
21,0
22,0
23,9
24,9
25,3
26,5
27,5
28,7
29,10
30,8
31,0
32,0
33,5
34,6
35,9
36,2
37,5
38,2
39,2
40,5
41,6
42,5
43,1
44,3
45,10
46,4
47,7
48,9
49,0
50,0
51,0
52,0
53,10
54,10
55,9
56,1
57,0
58,0
59,0
60,0
61,5
62,9
63,2
64,10
65,10
66,7
67,1
68,2
69,5
70,7
71,9
72,10
73,4
74,7
75,2
76,5
77,10
78,10
79,9
80,1
81,0
82,0
83,0
84,0
85,5
86,10
87,5
88,7
89,3
90,5
91,9
92,5
93,6
94,5
95,0
96,5
97,7
98,9
99,2
100,5
101,1
102,0
103,1
104,0
105,0
106,5
107,7
108,7
109,10
110,0
111,5
112,5
113,10
114,5
115,10
116,5
117,8
118,5
119,9
120,10
121,10
122,3
123,3
124,3
125,0
126,0
127,0
128,5
129,9
130,5
131,4
132,2
133,4
134,1
135,5
136,10
137,5
138,7
139,5
140,5
141,2
142,10
143,5
144,3
145,5
146,6
147,2
148,9
149,1
150,5
151,10
152,5
153,10
154,5
155,0
156,5
157,9
158,5
159,10
160,0
161,1
162,5
163,5
164,2
165,1
166,6
167,1
168,9
169,1
170,5
171,9
172,5
173,7
174,3
175,0
176,0
177,9
178,9
179,9
180,10
181,10
182,3
183,3
184,3
185,1
186,0
187,5
188,9
189,5
190,9
191,5
192,5
193,9
194,2
195,7
196,2
197,10
198,7
199,0
200,10
201,3
202,10
203,4
204,7
205,5
206,6
207,10
208,6
209,3
210,0
211,0
212,0
213,0
214,0
215,9
216,5
217,7
218,9
219,0
220,0
221,5
222,9
223,5
224,7
225,10
226,4
227,10
228,5
229,0
230,0
231,1
232,0
233,0
234,10
235,10
236,0
237,10
238,0
239,0
240,0
241,5
242,6
243,7
244,9
245,1
246,1
247,0
248,5
249,5
250,2
251,2
252,1
253,3
254,5
255,9
256,5
257,5
258,5
259,2
260,5
261,9
262,5
263,5
264,5
265,0
266,0
267,5
268,5
269,2
270,5
271,6
272,2
273,5
274,10
275,1
276,0
277,0
278,1
279,10
280,4
281,7
282,5
283,2
284,2
285,5
286,1
287,7
288,10
289,4
290,9
291,7
292,0
293,0
294,10
295,9
296,9
297,2
298,0
299,0
300,10
301,4
302,10
303,6
304,0
305,5
306,9
307,6
308,9
309,0
310,0
311,5
312,7
313,9
314,2
315,5
316,5
317,2
318,5
319,10
320,6
321,5
322,5
323,0
324,0
325,4
326,0
327,10
328,9
329,3
330,8
331,5
332,10
333,10
334,1
335,0
336,2
337,1
338,5
339,9
340,5
341,10
342,9
343,9
344,1
345,0
346,10
347,5
348,10
349,5
350,10
351,5
352,9
353,6
354,0
355,0
356,0
357,0
358,0
359,0
