# trial_index,allocated_resources
0,10
1,6
2,10
3,1
4,1
5,8
6,9
7,9
8,1
9,1
10,1
11,1
12,10
13,10
14,9
15,1
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,10
24,9
25,9
26,2
27,10
28,10
29,9
30,1
31,0
32,0
33,10
34,10
35,5
36,1
37,9
38,10
39,9
40,1
41,1
42,0
43,0
44,0
45,10
46,10
47,10
48,0
49,0
50,0
51,0
52,0
53,9
54,9
55,9
56,2
57,1
58,0
59,0
60,0
61,10
62,10
63,9
64,9
65,9
66,8
67,1
68,1
69,8
70,9
71,8
72,10
73,10
74,5
75,5
76,0
77,10
78,10
79,5
80,5
81,0
82,0
83,0
84,0
85,10
86,10
87,9
88,1
89,0
90,9
91,9
92,3
93,9
94,0
95,0
96,10
97,9
98,9
99,2
100,0
101,0
102,0
103,0
104,0
105,0
106,10
107,5
108,9
109,6
110,0
111,8
112,9
113,6
114,10
115,10
116,9
117,8
118,9
119,9
120,10
121,10
122,1
123,9
124,0
125,0
126,0
127,0
128,10
129,6
130,6
131,8
132,0
133,0
134,0
135,5
136,9
137,10
138,6
139,9
140,9
141,0
142,10
143,1
144,1
145,5
146,9
147,10
148,6
149,0
150,0
151,8
152,9
153,6
154,6
155,1
156,9
157,10
158,9
159,1
160,1
161,0
162,10
163,9
164,6
165,3
166,0
167,1
168,1
169,0
170,10
171,10
172,6
173,1
174,1
175,1
176,1
177,8
178,9
179,6
180,8
181,9
182,8
183,1
184,1
185,2
186,1
187,10
188,10
189,3
190,6
191,9
192,6
193,6
194,9
195,0
196,0
197,10
198,9
199,9
200,2
201,0
202,10
203,9
204,9
205,10
206,10
207,5
208,5
209,0
210,0
211,0
212,0
213,0
214,0
215,10
216,10
217,9
218,1
219,0
220,0
221,9
222,9
223,9
224,3
225,8
226,6
227,6
228,6
229,1
230,0
231,2
232,0
233,0
234,10
235,9
236,9
237,1
238,0
239,1
240,0
241,9
242,10
243,8
244,1
245,1
246,1
247,0
248,9
249,9
250,9
251,1
252,1
253,1
254,10
255,10
256,10
257,5
258,9
259,10
260,8
261,9
262,8
263,1
264,1
265,2
266,1
267,10
268,4
269,9
270,10
271,10
272,5
273,1
274,3
275,1
276,0
277,0
278,0
279,8
280,9
281,0
282,10
283,10
284,9
285,1
286,0
287,0
288,10
289,9
290,9
291,1
292,0
293,1
294,10
295,10
296,10
297,0
298,0
299,0
300,9
301,10
302,5
303,5
304,1
305,8
306,9
307,8
308,5
309,0
310,0
311,10
312,10
313,9
314,1
315,9
316,10
317,5
318,6
319,10
320,9
321,10
322,1
323,0
324,0
325,0
326,0
327,10
328,10
329,9
330,1
331,8
332,9
333,6
334,6
335,1
336,0
337,0
338,10
339,10
340,10
341,10
342,10
343,3
344,5
345,2
346,10
347,5
348,6
349,6
350,9
351,10
352,9
353,1
354,1
355,0
356,0
357,0
358,0
359,0
