# trial_index,allocated_resources
0,5
1,5
2,2
3,4
4,2
5,5
6,6
7,9
8,1
9,9
10,0
11,0
12,5
13,7
14,5
15,9
16,4
17,0
18,5
19,6
20,2
21,3
22,1
23,5
24,5
25,9
26,1
27,5
28,7
29,7
30,6
31,1
32,0
33,5
34,7
35,7
36,2
37,5
38,7
39,9
40,7
41,1
42,1
43,0
44,0
45,5
46,6
47,9
48,2
49,7
50,0
51,1
52,0
53,5
54,5
55,9
56,5
57,2
58,2
59,2
60,0
61,5
62,7
63,5
64,5
65,7
66,9
67,1
68,8
69,5
70,7
71,9
72,5
73,5
74,2
75,9
76,9
77,5
78,5
79,2
80,2
81,8
82,2
83,4
84,2
85,5
86,7
87,9
88,7
89,1
90,5
91,5
92,2
93,9
94,9
95,0
96,5
97,6
98,9
99,0
100,7
101,2
102,0
103,1
104,0
105,0
106,5
107,5
108,8
109,9
110,1
111,5
112,6
113,2
114,5
115,6
116,9
117,5
118,7
119,9
120,5
121,5
122,2
123,9
124,8
125,1
126,0
127,0
128,5
129,9
130,6
131,4
132,0
133,2
134,2
135,5
136,5
137,2
138,4
139,5
140,6
141,2
142,2
143,8
144,2
145,5
146,7
147,9
148,2
149,4
150,2
151,8
152,5
153,7
154,2
155,4
156,5
157,6
158,9
159,2
160,3
161,5
162,5
163,2
164,2
165,4
166,2
167,2
168,2
169,8
170,5
171,5
172,9
173,9
174,2
175,0
176,0
177,5
178,9
179,5
180,5
181,9
182,6
183,1
184,9
185,0
186,0
187,5
188,7
189,9
190,9
191,5
192,6
193,2
194,2
195,8
196,2
197,5
198,5
199,2
200,2
201,4
202,5
203,7
204,7
205,5
206,5
207,2
208,4
209,4
210,2
211,8
212,0
213,0
214,0
215,5
216,5
217,8
218,9
219,1
220,2
221,5
222,5
223,8
224,9
225,5
226,5
227,9
228,5
229,1
230,4
231,1
232,0
233,0
234,5
235,9
236,5
237,7
238,2
239,1
240,0
241,5
242,6
243,9
244,2
245,8
246,0
247,0
248,5
249,7
250,9
251,7
252,2
253,0
254,5
255,9
256,5
257,5
258,5
259,2
260,5
261,6
262,7
263,3
264,7
265,2
266,0
267,5
268,6
269,9
270,5
271,6
272,9
273,9
274,1
275,0
276,0
277,0
278,0
279,8
280,5
281,7
282,5
283,5
284,2
285,4
286,3
287,9
288,5
289,7
290,7
291,7
292,3
293,1
294,5
295,5
296,9
297,2
298,9
299,0
300,5
301,7
302,7
303,7
304,2
305,5
306,5
307,9
308,9
309,1
310,1
311,5
312,5
313,2
314,9
315,5
316,7
317,7
318,7
319,5
320,7
321,7
322,9
323,1
324,1
325,0
326,0
327,5
328,7
329,7
330,7
331,5
332,5
333,2
334,4
335,4
336,2
337,2
338,5
339,9
340,6
341,5
342,5
343,9
344,3
345,5
346,5
347,7
348,9
349,9
350,5
351,9
352,6
353,9
354,1
355,0
356,0
357,0
358,0
359,0
