# trial_index,allocated_resources
0,10
1,10
2,10
3,0
4,0
5,9
6,9
7,0
8,6
9,1
10,0
11,3
12,10
13,4
14,9
15,7
16,0
17,0
18,8
19,5
20,9
21,5
22,3
23,9
24,6
25,5
26,9
27,5
28,5
29,9
30,9
31,1
32,1
33,5
34,7
35,9
36,9
37,5
38,9
39,5
40,9
41,1
42,0
43,0
44,0
45,9
46,6
47,5
48,9
49,0
50,1
51,0
52,0
53,9
54,10
55,3
56,7
57,1
58,0
59,0
60,0
61,9
62,9
63,0
64,10
65,10
66,5
67,5
68,0
69,8
70,6
71,10
72,10
73,4
74,6
75,9
76,1
77,5
78,9
79,5
80,9
81,2
82,0
83,0
84,0
85,5
86,9
87,5
88,0
89,7
90,5
91,10
92,5
93,5
94,0
95,5
96,5
97,5
98,9
99,2
100,1
101,6
102,0
103,1
104,1
105,0
106,8
107,5
108,7
109,5
110,0
111,5
112,6
113,9
114,5
115,7
116,10
117,10
118,9
119,3
120,9
121,5
122,7
123,6
124,2
125,1
126,0
127,0
128,5
129,10
130,5
131,3
132,5
133,0
134,0
135,5
136,10
137,5
138,3
139,5
140,9
141,5
142,7
143,3
144,1
145,5
146,7
147,7
148,9
149,2
150,0
151,10
152,1
153,10
154,7
155,1
156,5
157,7
158,10
159,7
160,1
161,0
162,8
163,5
164,7
165,9
166,1
167,0
168,0
169,0
170,5
171,10
172,5
173,9
174,1
175,0
176,0
177,9
178,6
179,6
180,8
181,6
182,0
183,10
184,3
185,2
186,1
187,5
188,10
189,6
190,7
191,8
192,5
193,7
194,6
195,2
196,1
197,5
198,7
199,10
200,6
201,0
202,5
203,7
204,4
205,10
206,4
207,9
208,5
209,2
210,0
211,0
212,0
213,0
214,0
215,5
216,6
217,9
218,6
219,1
220,0
221,8
222,6
223,6
224,7
225,10
226,9
227,3
228,0
229,8
230,0
231,0
232,0
233,0
234,5
235,10
236,5
237,0
238,10
239,0
240,0
241,10
242,10
243,3
244,6
245,1
246,0
247,0
248,9
249,10
250,8
251,0
252,2
253,0
254,10
255,4
256,7
257,5
258,5
259,8
260,5
261,5
262,2
263,10
264,6
265,0
266,2
267,5
268,5
269,2
270,10
271,4
272,7
273,9
274,0
275,0
276,0
277,0
278,0
279,5
280,5
281,2
282,5
283,6
284,9
285,2
286,0
287,2
288,5
289,10
290,5
291,0
292,9
293,0
294,10
295,10
296,10
297,0
298,0
299,0
300,5
301,9
302,5
303,9
304,0
305,8
306,5
307,7
308,9
309,0
310,1
311,8
312,9
313,3
314,5
315,5
316,9
317,5
318,9
319,5
320,7
321,9
322,9
323,0
324,0
325,0
326,0
327,9
328,6
329,5
330,9
331,5
332,9
333,5
334,10
335,1
336,0
337,0
338,10
339,1
340,10
341,8
342,6
343,10
344,6
345,0
346,5
347,10
348,5
349,5
350,5
351,9
352,9
353,1
354,1
355,0
356,5
357,0
358,0
359,0
