# trial_index,allocated_resources
0,8
1,9
2,3
3,3
4,6
5,10
6,4
7,7
8,2
9,4
10,2
11,0
12,9
13,5
14,9
15,6
16,0
17,1
18,5
19,7
20,7
21,9
22,1
23,5
24,9
25,10
26,1
27,5
28,7
29,10
30,8
31,0
32,0
33,10
34,5
35,5
36,9
37,8
38,6
39,7
40,9
41,0
42,0
43,0
44,0
45,8
46,9
47,3
48,3
49,6
50,0
51,0
52,1
53,5
54,9
55,5
56,9
57,1
58,1
59,0
60,0
61,5
62,9
63,5
64,5
65,7
66,10
67,6
68,2
69,8
70,9
71,3
72,5
73,7
74,10
75,8
76,0
77,10
78,10
79,3
80,0
81,7
82,0
83,0
84,0
85,5
86,9
87,9
88,7
89,0
90,8
91,9
92,3
93,3
94,6
95,0
96,5
97,7
98,9
99,9
100,0
101,0
102,0
103,0
104,0
105,0
106,5
107,9
108,5
109,9
110,1
111,9
112,6
113,5
114,8
115,9
116,3
117,5
118,7
119,10
120,10
121,9
122,10
123,1
124,0
125,0
126,0
127,0
128,5
129,7
130,7
131,9
132,0
133,1
134,0
135,8
136,9
137,3
138,3
139,10
140,10
141,0
142,7
143,3
144,0
145,5
146,9
147,9
148,3
149,1
150,2
151,5
152,9
153,5
154,9
155,1
156,9
157,6
158,5
159,6
160,4
161,0
162,5
163,7
164,10
165,8
166,0
167,0
168,0
169,0
170,5
171,9
172,5
173,5
174,0
175,6
176,0
177,5
178,7
179,7
180,8
181,9
182,3
183,3
184,6
185,0
186,0
187,5
188,6
189,9
190,9
191,8
192,9
193,3
194,3
195,7
196,0
197,8
198,5
199,7
200,7
201,3
202,8
203,5
204,7
205,10
206,5
207,5
208,7
209,3
210,0
211,0
212,0
213,0
214,0
215,5
216,9
217,5
218,5
219,0
220,6
221,8
222,5
223,7
224,9
225,8
226,9
227,3
228,3
229,6
230,0
231,0
232,1
233,0
234,8
235,5
236,7
237,9
238,1
239,0
240,0
241,5
242,9
243,5
244,9
245,1
246,1
247,0
248,5
249,9
250,10
251,1
252,0
253,5
254,10
255,10
256,5
257,10
258,10
259,3
260,5
261,9
262,5
263,5
264,0
265,6
266,0
267,5
268,7
269,7
270,8
271,9
272,3
273,3
274,6
275,0
276,0
277,1
278,0
279,8
280,5
281,7
282,9
283,5
284,9
285,6
286,0
287,1
288,5
289,7
290,7
291,9
292,1
293,1
294,8
295,9
296,3
297,7
298,3
299,0
300,10
301,9
302,10
303,1
304,0
305,5
306,9
307,5
308,5
309,0
310,6
311,8
312,5
313,7
314,9
315,8
316,9
317,3
318,3
319,10
320,10
321,0
322,7
323,3
324,0
325,0
326,0
327,9
328,5
329,9
330,6
331,5
332,9
333,5
334,9
335,1
336,1
337,0
338,5
339,9
340,10
341,5
342,7
343,7
344,2
345,5
346,9
347,10
348,9
349,1
350,5
351,9
352,5
353,5
354,0
355,6
356,0
357,0
358,0
359,0
