# trial_index,allocated_resources
0,9
1,9
2,9
3,3
4,0
5,0
6,0
7,0
8,0
9,0
10,9
11,9
12,9
13,3
14,0
15,0
16,0
17,0
18,0
19,0
20,9
21,9
22,9
23,3
24,0
25,0
26,0
27,0
28,0
29,0
30,9
31,9
32,9
33,3
34,0
35,0
36,0
37,0
38,0
39,0
40,9
41,9
42,9
43,3
44,0
45,0
46,0
47,0
48,0
49,0
50,9
51,9
52,9
53,3
54,0
55,0
56,0
57,0
58,0
59,0
60,9
61,9
62,9
63,3
64,0
65,0
66,0
67,0
68,0
69,0
70,9
71,9
72,9
73,3
74,0
75,0
76,0
77,0
78,0
79,0
80,9
81,9
82,9
83,3
84,0
85,0
86,0
87,0
88,0
89,0
90,9
91,9
92,9
93,3
94,0
95,0
96,0
97,0
98,0
99,0
100,9
101,9
102,9
103,3
104,0
105,0
106,0
107,0
108,0
109,0
110,9
111,9
112,9
113,3
114,0
115,0
116,0
117,0
118,0
119,0
120,9
121,9
122,9
123,3
124,0
125,0
126,0
127,0
128,0
129,0
130,8
131,9
132,9
133,3
134,1
135,0
136,0
137,0
138,0
139,0
140,9
141,9
142,9
143,3
144,0
145,0
146,0
147,0
148,0
149,0
150,9
151,9
152,9
153,3
154,0
155,0
156,0
157,0
158,0
159,0
160,9
161,9
162,9
163,3
164,0
165,0
166,0
167,0
168,0
169,0
170,9
171,9
172,9
173,3
174,0
175,0
176,0
177,0
178,0
179,0
180,8
181,9
182,9
183,3
184,1
185,0
186,0
187,0
188,0
189,0
190,9
191,9
192,9
193,3
194,0
195,0
196,0
197,0
198,0
199,0
200,9
201,9
202,9
203,3
204,0
205,0
206,0
207,0
208,0
209,0
210,9
211,9
212,9
213,3
214,0
215,0
216,0
217,0
218,0
219,0
220,8
221,9
222,9
223,4
224,0
225,0
226,0
227,0
228,0
229,0
230,9
231,9
232,9
233,3
234,0
235,0
236,0
237,0
238,0
239,0
240,9
241,9
242,9
243,3
244,0
245,0
246,0
247,0
248,0
249,0
250,9
251,9
252,9
253,3
254,0
255,0
256,0
257,0
258,0
259,0
260,8
261,9
262,9
263,3
264,1
265,0
266,0
267,0
268,0
269,0
270,9
271,9
272,9
273,3
274,0
275,0
276,0
277,0
278,0
279,0
280,9
281,9
282,9
283,3
284,0
285,0
286,0
287,0
288,0
289,0
290,9
291,9
292,9
293,3
294,0
295,0
296,0
297,0
298,0
299,0
300,9
301,9
302,9
303,3
304,0
305,0
306,0
307,0
308,0
309,0
310,9
311,9
312,9
313,3
314,0
315,0
316,0
317,0
318,0
319,0
320,9
321,9
322,9
323,3
324,0
325,0
326,0
327,0
328,0
329,0
330,9
331,9
332,9
333,3
334,0
335,0
336,0
337,0
338,0
339,0
340,9
341,9
342,9
343,3
344,0
345,0
346,0
347,0
348,0
349,0
350,9
351,9
352,9
353,3
354,0
355,0
356,0
357,0
358,0
359,0
360,9
361,9
362,9
363,3
364,0
365,0
366,0
367,0
368,0
369,0
370,9
371,9
372,9
373,3
374,0
375,0
376,0
377,0
378,0
379,0
380,9
381,9
382,9
383,3
384,0
385,0
386,0
387,0
388,0
389,0
390,9
391,9
392,9
393,3
394,0
395,0
396,0
397,0
398,0
399,0
400,8
401,9
402,9
403,3
404,1
405,0
406,0
407,0
408,0
409,0
410,9
411,9
412,9
413,3
414,0
415,0
416,0
417,0
418,0
419,0
420,9
421,9
422,9
423,3
424,0
425,0
426,0
427,0
428,0
429,0
430,9
431,9
432,9
433,3
434,0
435,0
436,0
437,0
438,0
439,0
440,9
441,9
442,9
443,3
444,0
445,0
446,0
447,0
448,0
449,0
450,9
451,9
452,9
453,3
454,0
455,0
456,0
457,0
458,0
459,0
460,8
461,9
462,9
463,4
464,0
465,0
466,0
467,0
468,0
469,0
470,9
471,9
472,9
473,3
474,0
475,0
476,0
477,0
478,0
479,0
480,9
481,9
482,9
483,3
484,0
485,0
486,0
487,0
488,0
489,0
490,9
491,9
492,9
493,3
494,0
495,0
496,0
497,0
498,0
499,0
500,9
501,9
502,9
503,3
504,0
505,0
506,0
507,0
508,0
509,0
510,9
511,9
512,9
513,3
514,0
515,0
516,0
517,0
518,0
519,0
520,8
521,9
522,9
523,4
524,0
525,0
526,0
527,0
528,0
529,0
530,8
531,9
532,9
533,4
534,0
535,0
536,0
537,0
538,0
539,0
540,8
541,9
542,9
543,4
544,0
545,0
546,0
547,0
548,0
549,0
550,9
551,9
552,9
553,3
554,0
555,0
556,0
557,0
558,0
559,0
560,9
561,9
562,9
563,3
564,0
565,0
566,0
567,0
568,0
569,0
570,9
571,9
572,9
573,3
574,0
575,0
576,0
577,0
578,0
579,0
580,9
581,9
582,9
583,3
584,0
585,0
586,0
587,0
588,0
589,0
590,9
591,9
592,9
593,3
594,0
595,0
596,0
597,0
598,0
599,0
600,9
601,9
602,9
603,3
604,0
605,0
606,0
607,0
608,0
609,0
610,9
611,9
612,9
613,3
614,0
615,0
616,0
617,0
618,0
619,0
620,9
621,9
622,9
623,3
624,0
625,0
626,0
627,0
628,0
629,0
630,9
631,9
632,9
633,3
634,0
635,0
636,0
637,0
638,0
639,0
