# trial_index,allocated_resources
0,9
1,5
2,9
3,9
4,5
5,9
6,9
7,9
8,9
9,9
10,9
11,5
12,9
13,9
14,5
15,9
16,5
17,9
18,9
19,9
20,9
21,9
22,5
23,9
24,9
25,9
26,9
27,9
28,9
29,9
30,9
31,5
32,9
33,9
34,9
35,5
36,9
37,5
38,9
39,9
40,9
41,5
42,9
43,9
44,9
45,9
46,5
47,9
48,9
49,9
50,9
51,9
52,5
53,9
54,9
55,9
56,5
57,9
58,5
59,9
60,9
61,9
62,9
63,9
64,5
65,9
66,9
67,5
68,9
69,9
70,9
71,5
72,9
73,5
74,9
75,9
76,5
77,9
78,9
79,5
80,9
81,9
82,9
83,5
84,9
85,9
86,9
87,9
88,5
89,9
90,9
91,5
92,9
93,9
94,5
95,9
96,9
97,5
98,9
99,9
100,9
101,9
102,9
103,9
104,9
105,9
106,5
107,9
108,9
109,9
110,9
111,9
112,5
113,5
114,9
115,9
116,9
117,9
118,9
119,9
120,9
121,5
122,9
123,9
124,9
125,5
126,9
127,9
128,9
129,8
130,9
131,9
132,9
133,9
134,9
135,9
136,5
137,9
138,9
139,5
140,9
141,9
142,5
143,9
144,8
145,9
146,9
147,9
148,5
149,9
150,9
151,9
152,5
153,9
154,5
155,9
156,9
157,5
158,9
159,9
160,9
161,5
162,9
163,9
164,5
165,9
166,5
167,9
168,9
169,9
170,5
171,9
172,9
173,9
174,9
175,5
176,5
177,9
178,9
179,5
180,9
181,9
182,5
183,9
184,9
185,5
186,9
187,9
188,9
189,9
190,5
191,9
