# trial_index,allocated_resources
0,8
1,9
2,9
3,3
4,1
5,0
6,0
7,0
8,0
9,0
10,9
11,9
12,9
13,3
14,0
15,0
16,0
17,0
18,0
19,0
20,9
21,5
22,9
23,5
24,1
25,1
26,0
27,0
28,0
29,0
30,8
31,9
32,9
33,4
34,9
35,9
36,9
37,9
38,9
39,5
40,5
41,2
42,0
43,0
44,0
45,0
46,9
47,9
48,9
49,3
50,0
51,0
52,0
53,0
54,0
55,9
56,9
57,9
58,3
59,0
60,0
61,0
62,0
63,0
64,0
65,9
66,9
67,5
68,9
69,5
70,9
71,5
72,0
73,1
74,1
75,9
76,9
77,5
78,9
79,9
80,5
81,5
82,2
83,0
84,0
85,9
86,9
87,5
88,3
89,3
90,1
91,0
92,0
93,0
94,0
95,9
96,9
97,9
98,3
99,8
100,9
101,5
102,5
103,3
104,0
105,0
106,0
107,9
108,9
109,9
110,9
111,9
112,5
113,8
114,5
115,9
116,5
117,9
118,9
119,9
120,3
121,0
122,0
123,0
124,9
125,9
126,9
127,3
128,9
129,5
130,9
131,5
132,2
133,0
134,0
135,0
136,9
137,9
138,9
139,3
140,9
141,9
142,9
143,2
144,1
145,0
146,0
147,0
148,0
149,0
150,9
151,9
152,5
153,5
154,1
155,1
156,0
157,0
158,9
159,9
160,9
161,3
162,0
163,9
164,9
165,9
166,3
167,8
168,9
169,9
170,3
171,0
172,9
173,9
174,5
175,9
176,9
177,5
178,9
179,9
180,9
181,3
182,0
183,0
184,9
185,9
186,9
187,3
188,9
189,9
190,9
191,3
192,0
193,0
194,0
195,0
196,9
197,9
198,9
199,2
200,1
201,0
202,8
203,9
204,9
205,4
206,9
207,9
208,9
209,3
210,0
211,9
212,9
213,5
214,3
215,3
216,9
217,9
218,9
219,3
220,9
221,5
222,9
223,5
224,9
225,9
226,9
227,3
228,0
229,0
230,9
231,9
232,9
233,3
234,9
235,9
236,5
237,5
238,2
239,0
240,0
241,0
242,9
243,9
244,9
245,3
246,0
247,0
248,0
249,0
250,0
251,9
252,5
253,9
254,5
255,1
256,1
257,0
258,9
259,9
260,9
261,9
262,9
263,5
264,5
265,1
266,1
267,0
268,0
269,9
270,9
271,9
272,3
273,0
274,0
275,0
276,0
277,0
278,9
279,5
280,9
281,5
282,2
283,0
284,0
285,0
286,9
287,9
288,9
289,3
290,9
291,9
292,9
293,3
294,9
295,9
296,9
297,9
298,9
299,9
300,3
301,9
302,5
303,9
304,9
305,9
306,9
307,9
308,9
309,9
310,2
311,1
312,0
313,0
314,0
315,9
316,9
317,9
318,3
319,0
320,0
321,0
322,0
323,0
324,0
325,9
326,9
327,9
328,3
329,0
330,9
331,9
332,9
333,3
334,9
335,9
336,5
337,5
338,9
339,9
340,5
341,5
342,9
343,9
344,9
345,9
346,9
347,9
348,3
349,0
350,0
351,0
352,9
353,9
354,5
355,3
356,3
357,1
358,0
359,0
360,0
361,9
362,9
363,9
364,3
365,0
366,0
367,0
368,0
369,0
370,9
371,9
372,5
373,5
374,2
375,0
376,0
377,0
378,0
379,0
