# trial_index,allocated_resources
0,8
1,9
2,9
3,3
4,1
5,0
6,0
7,0
8,0
9,0
10,9
11,9
12,9
13,3
14,0
15,0
16,0
17,0
18,0
19,0
20,9
21,9
22,9
23,3
24,0
25,0
26,0
27,0
28,0
29,0
30,9
31,9
32,9
33,3
34,9
35,5
36,9
37,8
38,9
39,9
40,4
41,0
42,0
43,0
44,0
45,0
46,9
47,9
48,9
49,3
50,0
51,0
52,0
53,0
54,0
55,9
56,9
57,9
58,3
59,0
60,0
61,0
62,0
63,0
64,0
65,9
66,9
67,9
68,9
69,9
70,9
71,3
72,0
73,0
74,0
75,9
76,9
77,9
78,9
79,9
80,5
81,5
82,1
83,1
84,0
85,9
86,9
87,9
88,3
89,0
90,0
91,0
92,0
93,0
94,0
95,9
96,9
97,9
98,3
99,8
100,9
101,9
102,4
103,0
104,0
105,0
106,0
107,8
108,9
109,9
110,9
111,9
112,9
113,9
114,9
115,9
116,3
117,9
118,9
119,9
120,3
121,0
122,0
123,0
124,9
125,5
126,9
127,5
128,9
129,9
130,9
131,3
132,0
133,0
134,0
135,0
136,9
137,9
138,9
139,3
140,9
141,9
142,9
143,3
144,0
145,0
146,0
147,0
148,0
149,0
150,9
151,9
152,9
153,3
154,0
155,0
156,0
157,0
158,9
159,9
160,9
161,3
162,0
163,9
164,9
165,9
166,3
167,9
168,9
169,9
170,3
171,0
172,8
173,9
174,9
175,9
176,9
177,9
178,9
179,9
180,9
181,3
182,0
183,0
184,9
185,9
186,9
187,3
188,9
189,9
190,5
191,3
192,3
193,1
194,0
195,0
196,9
197,9
198,9
199,3
200,0
201,0
202,8
203,9
204,9
205,4
206,9
207,9
208,9
209,3
210,0
211,9
212,9
213,9
214,3
215,0
216,9
217,9
218,9
219,3
220,9
221,9
222,9
223,3
224,8
225,9
226,9
227,3
228,1
229,0
230,9
231,9
232,9
233,3
234,8
235,9
236,9
237,4
238,0
239,0
240,0
241,0
242,8
243,9
244,9
245,4
246,0
247,0
248,0
249,0
250,0
251,9
252,9
253,9
254,3
255,0
256,0
257,0
258,9
259,9
260,5
261,9
262,9
263,9
264,3
265,0
266,0
267,0
268,0
269,8
270,9
271,9
272,3
273,1
274,0
275,0
276,0
277,0
278,9
279,9
280,5
281,3
282,3
283,1
284,0
285,0
286,9
287,9
288,9
289,3
290,9
291,9
292,9
293,3
294,8
295,9
296,9
297,9
298,9
299,9
300,3
301,9
302,9
303,9
304,9
305,5
306,9
307,8
308,9
309,9
310,4
311,0
312,0
313,0
314,0
315,8
316,9
317,9
318,3
319,1
320,0
321,0
322,0
323,0
324,0
325,9
326,9
327,9
328,3
329,0
330,9
331,9
332,9
333,3
334,9
335,9
336,9
337,3
338,9
339,9
340,9
341,3
342,9
343,9
344,9
345,9
346,9
347,9
348,3
349,0
350,0
351,0
352,8
353,9
354,9
355,4
356,0
357,0
358,0
359,0
360,0
361,9
362,9
363,9
364,3
365,0
366,0
367,0
368,0
369,0
370,9
371,9
372,9
373,3
374,0
375,0
376,0
377,0
378,0
379,0
