# trial_index,allocated_resources
0,9
1,9
2,9
3,3
4,0
5,9
6,9
7,5
8,5
9,1
10,1
11,0
12,9
13,5
14,9
15,5
16,2
17,0
18,9
19,9
20,9
21,2
22,1
23,9
24,9
25,9
26,3
27,9
28,5
29,9
30,5
31,2
32,0
33,9
34,9
35,5
36,5
37,9
38,5
39,9
40,5
41,1
42,1
43,0
44,0
45,9
46,9
47,9
48,3
49,0
50,0
51,0
52,0
53,9
54,9
55,5
56,5
57,1
58,1
59,0
60,0
61,9
62,9
63,5
64,9
65,9
66,9
67,3
68,0
69,8
70,9
71,9
72,9
73,9
74,9
75,3
76,0
77,9
78,5
79,9
80,5
81,2
82,0
83,0
84,0
85,9
86,9
87,9
88,3
89,0
90,9
91,9
92,9
93,3
94,0
95,0
96,9
97,5
98,9
99,5
100,1
101,1
102,0
103,0
104,0
105,0
106,9
107,9
108,9
109,3
110,0
111,9
112,9
113,9
114,9
115,9
116,9
117,9
118,5
119,9
120,9
121,9
122,9
123,3
124,0
125,0
126,0
127,0
128,9
129,5
130,9
131,5
132,1
133,1
134,0
135,9
136,5
137,9
138,5
139,9
140,9
141,5
142,5
143,1
144,1
145,9
146,9
147,5
148,5
149,2
150,0
151,9
152,9
153,9
154,3
155,0
156,9
157,5
158,9
159,5
160,2
161,0
162,9
163,9
164,5
165,5
166,1
167,1
168,0
169,0
170,9
171,5
172,9
173,5
174,1
175,1
176,0
177,9
178,5
179,9
180,9
181,9
182,5
183,5
184,1
185,1
186,0
187,9
188,5
189,9
190,5
191,9
192,9
193,9
194,3
195,0
196,0
197,9
198,9
199,9
200,3
201,0
202,8
203,9
204,9
205,9
206,9
207,9
208,3
209,0
210,0
211,0
212,0
213,0
214,0
215,9
216,9
217,9
218,3
219,0
220,0
221,9
222,9
223,5
224,5
225,9
226,9
227,9
228,3
229,0
230,0
231,0
232,0
233,0
234,9
235,9
236,9
237,3
238,0
239,0
240,0
241,9
242,5
243,9
244,3
245,3
246,1
247,0
248,9
249,9
250,9
251,3
252,0
253,0
254,9
255,5
256,9
257,9
258,9
259,5
260,9
261,5
262,9
263,5
264,2
265,0
266,0
267,9
268,9
269,9
270,8
271,9
272,9
273,4
274,0
275,0
276,0
277,0
278,0
279,9
280,9
281,5
282,9
283,9
284,5
285,5
286,1
287,1
288,9
289,9
290,5
291,5
292,2
293,0
294,9
295,5
296,9
297,5
298,1
299,1
300,9
301,5
302,9
303,5
304,2
305,9
306,9
307,9
308,3
309,0
310,0
311,9
312,9
313,5
314,5
315,9
316,9
317,9
318,3
319,9
320,5
321,9
322,5
323,2
324,0
325,0
326,0
327,9
328,9
329,9
330,3
331,8
332,5
333,9
334,5
335,3
336,0
337,0
338,9
339,9
340,9
341,9
342,9
343,9
344,3
345,0
346,9
347,9
348,5
349,5
350,8
351,5
352,9
353,5
354,3
355,0
356,0
357,0
358,0
359,0
