# trial_index,allocated_resources
0,9
1,9
2,9
3,3
4,0
5,9
6,9
7,9
8,3
9,0
10,0
11,0
12,9
13,9
14,5
15,3
16,3
17,1
18,9
19,9
20,9
21,3
22,0
23,9
24,9
25,9
26,3
27,9
28,9
29,9
30,3
31,0
32,0
33,9
34,9
35,9
36,2
37,9
38,5
39,9
40,5
41,1
42,1
43,0
44,0
45,9
46,9
47,9
48,3
49,0
50,0
51,0
52,0
53,9
54,9
55,9
56,3
57,0
58,0
59,0
60,0
61,9
62,9
63,9
64,9
65,9
66,9
67,3
68,0
69,9
70,9
71,9
72,9
73,9
74,5
75,5
76,2
77,9
78,9
79,9
80,3
81,0
82,0
83,0
84,0
85,9
86,9
87,5
88,5
89,2
90,9
91,9
92,5
93,5
94,2
95,0
96,9
97,9
98,5
99,5
100,2
101,0
102,0
103,0
104,0
105,0
106,9
107,9
108,5
109,5
110,2
111,9
112,9
113,9
114,9
115,9
116,9
117,8
118,5
119,9
120,9
121,9
122,9
123,3
124,0
125,0
126,0
127,0
128,9
129,9
130,9
131,3
132,0
133,0
134,0
135,9
136,9
137,9
138,3
139,9
140,5
141,9
142,5
143,2
144,0
145,9
146,9
147,9
148,3
149,0
150,0
151,9
152,5
153,9
154,5
155,1
156,9
157,9
158,9
159,3
160,0
161,0
162,9
163,9
164,9
165,3
166,0
167,0
168,0
169,0
170,9
171,9
172,9
173,3
174,0
175,0
176,0
177,9
178,9
179,9
180,9
181,9
182,9
183,3
184,0
185,0
186,0
187,9
188,9
189,9
190,3
191,9
192,5
193,9
194,5
195,2
196,0
197,9
198,9
199,9
200,3
201,0
202,9
203,9
204,5
205,9
206,5
207,9
208,5
209,2
210,0
211,0
212,0
213,0
214,0
215,9
216,9
217,5
218,5
219,1
220,1
221,9
222,9
223,9
224,3
225,9
226,9
227,9
228,3
229,0
230,0
231,0
232,0
233,0
234,9
235,9
236,5
237,5
238,2
239,0
240,0
241,9
242,5
243,9
244,5
245,2
246,0
247,0
248,9
249,9
250,9
251,3
252,0
253,0
254,9
255,9
256,9
257,9
258,5
259,9
260,9
261,9
262,5
263,5
264,2
265,0
266,0
267,9
268,5
269,9
270,9
271,5
272,9
273,5
274,2
275,0
276,0
277,0
278,0
279,9
280,9
281,9
282,9
283,5
284,9
285,7
286,0
287,0
288,9
289,9
290,9
291,3
292,0
293,0
294,9
295,9
296,9
297,3
298,0
299,0
300,9
301,5
302,9
303,5
304,2
305,9
306,9
307,9
308,3
309,0
310,0
311,9
312,9
313,5
314,5
315,9
316,5
317,9
318,5
319,9
320,9
321,5
322,3
323,3
324,0
325,1
326,0
327,9
328,9
329,5
330,3
331,9
332,9
333,9
334,3
335,0
336,0
337,0
338,9
339,9
340,9
341,9
342,9
343,9
344,3
345,0
346,9
347,5
348,9
349,7
350,9
351,9
352,9
353,3
354,0
355,0
356,0
357,0
358,0
359,0
