# trial_index,allocated_resources
0,10
1,9
2,5
3,3
4,3
5,10
6,9
7,9
8,2
9,0
10,0
11,0
12,10
13,9
14,5
15,5
16,1
17,0
18,10
19,9
20,5
21,5
22,1
23,10
24,9
25,5
26,5
27,10
28,9
29,5
30,5
31,1
32,0
33,10
34,9
35,5
36,6
37,10
38,9
39,5
40,6
41,0
42,0
43,0
44,0
45,10
46,9
47,5
48,5
49,1
50,0
51,0
52,0
53,10
54,9
55,5
56,6
57,0
58,0
59,0
60,0
61,10
62,9
63,5
64,10
65,10
66,5
67,5
68,0
69,10
70,9
71,5
72,10
73,10
74,5
75,5
76,0
77,10
78,9
79,5
80,5
81,1
82,0
83,0
84,0
85,10
86,9
87,5
88,6
89,0
90,10
91,9
92,5
93,5
94,1
95,0
96,10
97,9
98,5
99,5
100,1
101,0
102,0
103,0
104,0
105,0
106,10
107,9
108,5
109,5
110,1
111,10
112,9
113,5
114,10
115,9
116,5
117,10
118,10
119,5
120,10
121,9
122,5
123,3
124,3
125,0
126,0
127,0
128,10
129,9
130,5
131,6
132,0
133,0
134,0
135,10
136,9
137,5
138,3
139,10
140,9
141,5
142,5
143,1
144,0
145,10
146,9
147,5
148,6
149,0
150,0
151,10
152,9
153,5
154,3
155,3
156,10
157,9
158,5
159,3
160,3
161,0
162,10
163,9
164,5
165,5
166,1
167,0
168,0
169,0
170,10
171,10
172,9
173,1
174,0
175,0
176,0
177,10
178,9
179,5
180,10
181,9
182,5
183,6
184,0
185,0
186,0
187,10
188,10
189,5
190,5
191,10
192,9
193,5
194,5
195,1
196,0
197,10
198,9
199,5
200,5
201,1
202,10
203,9
204,5
205,10
206,9
207,5
208,5
209,1
210,0
211,0
212,0
213,0
214,0
215,10
216,10
217,5
218,5
219,0
220,0
221,10
222,9
223,5
224,6
225,10
226,9
227,5
228,3
229,3
230,0
231,0
232,0
233,0
234,10
235,9
236,5
237,3
238,3
239,0
240,0
241,10
242,10
243,5
244,5
245,0
246,0
247,0
248,10
249,9
250,5
251,6
252,0
253,0
254,10
255,10
256,5
257,10
258,10
259,5
260,10
261,9
262,5
263,6
264,0
265,0
266,0
267,10
268,9
269,5
270,10
271,10
272,5
273,5
274,0
275,0
276,0
277,0
278,0
279,10
280,10
281,5
282,10
283,9
284,5
285,5
286,1
287,0
288,10
289,9
290,5
291,6
292,0
293,0
294,10
295,9
296,5
297,5
298,1
299,0
300,10
301,9
302,5
303,6
304,0
305,10
306,10
307,5
308,5
309,0
310,0
311,10
312,9
313,5
314,6
315,10
316,9
317,5
318,5
319,10
320,9
321,5
322,6
323,0
324,0
325,0
326,0
327,10
328,10
329,5
330,5
331,10
332,10
333,5
334,5
335,0
336,0
337,0
338,10
339,9
340,5
341,10
342,9
343,5
344,3
345,3
346,10
347,9
348,5
349,5
350,10
351,10
352,5
353,5
354,0
355,0
356,0
357,0
358,0
359,0
