# trial_index,allocated_resources
0,9
1,5
2,9
3,3
4,2
5,9
6,5
7,9
8,3
9,3
10,1
11,0
12,9
13,9
14,9
15,3
16,0
17,0
18,9
19,5
20,9
21,5
22,2
23,5
24,9
25,9
26,3
27,9
28,9
29,9
30,3
31,0
32,0
33,9
34,9
35,9
36,3
37,5
38,9
39,9
40,3
41,3
42,1
43,0
44,0
45,9
46,5
47,9
48,3
49,3
50,1
51,0
52,0
53,5
54,9
55,9
56,3
57,3
58,0
59,0
60,1
61,9
62,9
63,9
64,5
65,9
66,9
67,3
68,3
69,5
70,9
71,9
72,9
73,5
74,9
75,3
76,3
77,9
78,5
79,9
80,3
81,3
82,1
83,0
84,0
85,9
86,9
87,9
88,3
89,0
90,9
91,5
92,9
93,3
94,3
95,1
96,9
97,5
98,9
99,3
100,3
101,1
102,0
103,0
104,0
105,0
106,5
107,9
108,9
109,3
110,3
111,9
112,5
113,9
114,9
115,5
116,9
117,9
118,9
119,9
120,9
121,5
122,9
123,3
124,3
125,1
126,0
127,0
128,9
129,9
130,9
131,3
132,0
133,0
134,0
135,5
136,9
137,9
138,3
139,9
140,5
141,9
142,3
143,4
144,0
145,9
146,9
147,9
148,2
149,0
150,1
151,9
152,5
153,9
154,3
155,3
156,9
157,5
158,9
159,3
160,3
161,1
162,9
163,9
164,9
165,3
166,0
167,0
168,0
169,0
170,9
171,5
172,9
173,3
174,3
175,1
176,0
177,9
178,9
179,9
180,5
181,9
182,9
183,3
184,4
185,0
186,0
187,9
188,9
189,9
190,3
191,9
192,5
193,9
194,3
195,3
196,0
197,9
198,5
199,9
200,3
201,3
202,9
203,9
204,9
205,9
206,5
207,9
208,3
209,3
210,0
211,0
212,0
213,0
214,0
215,5
216,9
217,9
218,3
219,3
220,1
221,5
222,9
223,9
224,3
225,5
226,9
227,9
228,3
229,3
230,0
231,0
232,1
233,0
234,9
235,9
236,5
237,3
238,3
239,0
240,0
241,9
242,5
243,9
244,3
245,3
246,1
247,0
248,9
249,9
250,9
251,3
252,0
253,0
254,9
255,9
256,9
257,9
258,5
259,9
260,9
261,5
262,9
263,3
264,3
265,1
266,0
267,9
268,5
269,9
270,9
271,5
272,9
273,5
274,2
275,0
276,0
277,0
278,0
279,9
280,9
281,9
282,9
283,5
284,9
285,3
286,3
287,1
288,9
289,9
290,9
291,3
292,0
293,0
294,9
295,5
296,9
297,3
298,3
299,0
300,9
301,9
302,9
303,3
304,0
305,9
306,5
307,9
308,3
309,3
310,1
311,9
312,5
313,9
314,3
315,9
316,9
317,9
318,3
319,9
320,9
321,9
322,3
323,0
324,0
325,0
326,0
327,9
328,9
329,9
330,3
331,9
332,5
333,9
334,3
335,3
336,1
337,0
338,9
339,9
340,9
341,5
342,9
343,9
344,3
345,3
346,9
347,9
348,9
349,3
350,9
351,9
352,9
353,3
354,0
355,0
356,0
357,0
358,0
359,0
