# trial_index,allocated_resources
0,9
1,9
2,9
3,3
4,0
5,9
6,5
7,9
8,5
9,2
10,0
11,0
12,9
13,9
14,9
15,3
16,0
17,0
18,9
19,9
20,9
21,3
22,0
23,9
24,9
25,9
26,3
27,9
28,9
29,9
30,3
31,0
32,0
33,8
34,9
35,5
36,5
37,9
38,9
39,9
40,3
41,0
42,0
43,0
44,0
45,9
46,9
47,9
48,3
49,0
50,0
51,0
52,0
53,9
54,9
55,5
56,5
57,2
58,0
59,0
60,0
61,9
62,9
63,9
64,9
65,9
66,9
67,3
68,0
69,9
70,9
71,5
72,9
73,5
74,9
75,5
76,1
77,9
78,9
79,9
80,3
81,0
82,0
83,0
84,0
85,9
86,5
87,9
88,5
89,2
90,9
91,9
92,9
93,3
94,0
95,0
96,9
97,9
98,9
99,3
100,0
101,0
102,0
103,0
104,0
105,0
106,9
107,9
108,9
109,3
110,0
111,9
112,9
113,9
114,8
115,9
116,5
117,9
118,9
119,9
120,9
121,9
122,9
123,3
124,0
125,0
126,0
127,0
128,8
129,9
130,9
131,3
132,1
133,0
134,0
135,9
136,9
137,5
138,5
139,9
140,9
141,5
142,5
143,1
144,1
145,9
146,5
147,9
148,5
149,2
150,0
151,9
152,9
153,5
154,3
155,3
156,9
157,9
158,9
159,3
160,0
161,0
162,9
163,9
164,9
165,3
166,0
167,0
168,0
169,0
170,9
171,5
172,9
173,5
174,1
175,1
176,0
177,9
178,9
179,9
180,9
181,9
182,9
183,3
184,0
185,0
186,0
187,9
188,5
189,9
190,5
191,9
192,9
193,9
194,3
195,0
196,0
197,9
198,9
199,9
200,3
201,0
202,9
203,9
204,9
205,9
206,9
207,9
208,3
209,0
210,0
211,0
212,0
213,0
214,0
215,9
216,5
217,9
218,3
219,3
220,0
221,9
222,9
223,5
224,5
225,9
226,9
227,9
228,3
229,0
230,0
231,0
232,0
233,0
234,9
235,9
236,9
237,3
238,0
239,0
240,0
241,8
242,5
243,9
244,5
245,3
246,0
247,0
248,9
249,5
250,9
251,5
252,2
253,0
254,9
255,5
256,9
257,9
258,5
259,9
260,9
261,9
262,9
263,3
264,0
265,0
266,0
267,9
268,9
269,9
270,9
271,5
272,9
273,5
274,2
275,0
276,0
277,0
278,0
279,9
280,9
281,9
282,9
283,9
284,9
285,3
286,0
287,0
288,8
289,9
290,9
291,4
292,0
293,0
294,8
295,9
296,9
297,3
298,1
299,0
300,9
301,9
302,5
303,5
304,2
305,9
306,9
307,9
308,3
309,0
310,0
311,9
312,5
313,9
314,5
315,9
316,9
317,9
318,3
319,9
320,9
321,5
322,5
323,2
324,0
325,0
326,0
327,9
328,5
329,9
330,5
331,9
332,9
333,9
334,3
335,0
336,0
337,0
338,9
339,9
340,9
341,9
342,9
343,9
344,3
345,0
346,9
347,9
348,5
349,5
350,8
351,5
352,9
353,5
354,3
355,0
356,0
357,0
358,0
359,0
