# trial_index,allocated_resources
0,10
1,6
2,9
3,5
4,0
5,0
6,0
7,0
8,0
9,0
10,10
11,10
12,7
13,3
14,0
15,0
16,0
17,0
18,0
19,0
20,10
21,9
22,8
23,3
24,0
25,0
26,0
27,0
28,0
29,0
30,9
31,9
32,7
33,5
34,0
35,0
36,0
37,0
38,0
39,0
40,10
41,9
42,9
43,2
44,0
45,0
46,0
47,0
48,0
49,0
50,10
51,9
52,9
53,2
54,0
55,0
56,0
57,0
58,0
59,0
60,10
61,10
62,9
63,1
64,0
65,0
66,0
67,0
68,0
69,0
70,9
71,10
72,9
73,2
74,0
75,0
76,0
77,0
78,0
79,0
80,9
81,9
82,5
83,6
84,1
85,0
86,0
87,0
88,0
89,0
90,9
91,9
92,3
93,9
94,0
95,0
96,0
97,0
98,0
99,0
100,9
101,10
102,5
103,5
104,1
105,0
106,0
107,0
108,0
109,0
110,9
111,6
112,9
113,6
114,0
115,0
116,0
117,0
118,0
119,0
120,10
121,10
122,5
123,5
124,0
125,0
126,0
127,0
128,0
129,0
130,8
131,9
132,9
133,4
134,0
135,0
136,0
137,0
138,0
139,0
140,10
141,10
142,5
143,5
144,0
145,0
146,0
147,0
148,0
149,0
150,9
151,6
152,9
153,6
154,0
155,0
156,0
157,0
158,0
159,0
160,10
161,9
162,9
163,2
164,0
165,0
166,0
167,0
168,0
169,0
170,10
171,10
172,6
173,4
174,0
175,0
176,0
177,0
178,0
179,0
180,8
181,9
182,8
183,5
184,0
185,0
186,0
187,0
188,0
189,0
190,10
191,9
192,5
193,5
194,1
195,0
196,0
197,0
198,0
199,0
200,10
201,10
202,7
203,3
204,0
205,0
206,0
207,0
208,0
209,0
210,9
211,9
212,5
213,5
214,2
215,0
216,0
217,0
218,0
219,0
220,8
221,9
222,6
223,6
224,1
225,0
226,0
227,0
228,0
229,0
230,10
231,9
232,9
233,2
234,0
235,0
236,0
237,0
238,0
239,0
240,10
241,9
242,9
243,2
244,0
245,0
246,0
247,0
248,0
249,0
250,10
251,10
252,5
253,5
254,0
255,0
256,0
257,0
258,0
259,0
260,8
261,9
262,9
263,4
264,0
265,0
266,0
267,0
268,0
269,0
270,10
271,9
272,5
273,5
274,1
275,0
276,0
277,0
278,0
279,0
280,9
281,10
282,9
283,2
284,0
285,0
286,0
287,0
288,0
289,0
290,10
291,9
292,9
293,2
294,0
295,0
296,0
297,0
298,0
299,0
300,9
301,10
302,5
303,5
304,1
305,0
306,0
307,0
308,0
309,0
310,5
311,9
312,9
313,6
314,1
315,0
316,0
317,0
318,0
319,0
320,9
321,10
322,9
323,2
324,0
325,0
326,0
327,0
328,0
329,0
330,10
331,9
332,9
333,2
334,0
335,0
336,0
337,0
338,0
339,0
340,10
341,10
342,7
343,3
344,0
345,0
346,0
347,0
348,0
349,0
350,9
351,10
352,9
353,2
354,0
355,0
356,0
357,0
358,0
359,0
360,10
361,10
362,7
363,3
364,0
365,0
366,0
367,0
368,0
369,0
370,10
371,9
372,7
373,4
374,0
375,0
376,0
377,0
378,0
379,0
380,10
381,10
382,9
383,1
384,0
385,0
386,0
387,0
388,0
389,0
390,10
391,9
392,9
393,2
394,0
395,0
396,0
397,0
398,0
399,0
400,8
401,9
402,8
403,5
404,0
405,0
406,0
407,0
408,0
409,0
410,10
411,10
412,9
413,1
414,0
415,0
416,0
417,0
418,0
419,0
420,10
421,9
422,5
423,5
424,1
425,0
426,0
427,0
428,0
429,0
430,10
431,9
432,9
433,2
434,0
435,0
436,0
437,0
438,0
439,0
440,10
441,10
442,7
443,3
444,0
445,0
446,0
447,0
448,0
449,0
450,10
451,10
452,7
453,3
454,0
455,0
456,0
457,0
458,0
459,0
460,8
461,5
462,9
463,8
464,0
465,0
466,0
467,0
468,0
469,0
470,10
471,10
472,9
473,1
474,0
475,0
476,0
477,0
478,0
479,0
480,10
481,9
482,7
483,3
484,1
485,0
486,0
487,0
488,0
489,0
490,9
491,6
492,9
493,6
494,0
495,0
496,0
497,0
498,0
499,0
500,10
501,10
502,9
503,1
504,0
505,0
506,0
507,0
508,0
509,0
510,10
511,10
512,7
513,3
514,0
515,0
516,0
517,0
518,0
519,0
520,8
521,9
522,9
523,4
524,0
525,0
526,0
527,0
528,0
529,0
530,8
531,9
532,9
533,4
534,0
535,0
536,0
537,0
538,0
539,0
540,8
541,9
542,6
543,6
544,1
545,0
546,0
547,0
548,0
549,0
550,9
551,10
552,9
553,2
554,0
555,0
556,0
557,0
558,0
559,0
560,9
561,6
562,9
563,6
564,0
565,0
566,0
567,0
568,0
569,0
570,9
571,9
572,5
573,5
574,2
575,0
576,0
577,0
578,0
579,0
580,10
581,10
582,5
583,5
584,0
585,0
586,0
587,0
588,0
589,0
590,9
591,9
592,5
593,6
594,1
595,0
596,0
597,0
598,0
599,0
600,10
601,9
602,7
603,4
604,0
605,0
606,0
607,0
608,0
609,0
610,10
611,9
612,5
613,6
614,0
615,0
616,0
617,0
618,0
619,0
620,10
621,10
622,9
623,1
624,0
625,0
626,0
627,0
628,0
629,0
630,5
631,9
632,9
633,3
634,4
635,0
636,0
637,0
638,0
639,0
