# trial_index,allocated_resources
0,5
1,5
2,9
3,5
4,5
5,9
6,5
7,9
8,5
9,5
10,9
11,9
12,5
13,9
14,7
15,5
16,9
17,9
18,5
19,9
20,5
21,5
22,9
23,5
24,5
25,9
26,9
27,5
28,9
29,9
30,5
31,5
32,2
33,5
34,9
35,9
36,5
37,5
38,9
39,5
40,9
41,7
42,5
43,9
44,9
45,5
46,9
47,9
48,5
49,9
50,9
51,5
52,5
53,2
54,5
55,9
56,6
57,5
58,9
59,9
60,5
61,9
62,9
63,5
64,5
65,9
66,5
67,5
68,2
69,5
70,9
71,9
72,5
73,9
74,9
75,5
76,9
77,9
78,5
79,5
80,2
81,5
82,9
83,6
84,5
85,9
86,9
87,5
88,9
89,5
90,5
91,5
92,2
93,5
94,9
95,5
96,5
97,9
98,9
99,5
100,5
101,9
102,5
103,9
104,9
105,5
106,5
107,9
108,5
109,5
110,9
111,5
112,9
113,5
114,5
115,9
116,9
117,5
118,9
119,9
120,5
121,9
122,8
123,5
124,9
125,9
126,5
127,5
128,9
129,8
130,9
131,3
132,5
133,5
134,9
135,5
136,5
137,9
138,5
139,9
140,9
141,5
142,9
143,9
144,8
145,5
146,9
147,5
148,2
149,9
150,5
151,9
152,5
153,5
154,9
155,9
156,5
157,9
158,9
159,5
160,9
161,6
162,5
163,2
164,9
165,5
166,9
167,9
168,5
169,9
170,9
171,5
172,9
173,9
174,5
175,9
176,5
177,5
178,9
179,9
180,5
181,9
182,6
183,5
184,9
185,6
186,5
187,9
188,9
189,5
190,9
191,9
