# trial_index,allocated_resources
0,8
1,9
2,9
3,4
4,0
5,0
6,0
7,0
8,0
9,0
10,5
11,9
12,9
13,5
14,1
15,1
16,0
17,0
18,0
19,0
20,10
21,5
22,9
23,5
24,1
25,0
26,0
27,0
28,0
29,0
30,8
31,9
32,9
33,4
34,5
35,9
36,9
37,10
38,9
39,5
40,5
41,1
42,0
43,0
44,0
45,0
46,9
47,6
48,9
49,5
50,1
51,0
52,0
53,0
54,0
55,9
56,6
57,9
58,5
59,1
60,0
61,0
62,0
63,0
64,0
65,5
66,10
67,5
68,5
69,9
70,9
71,4
72,3
73,0
74,0
75,9
76,6
77,9
78,10
79,10
80,5
81,5
82,0
83,0
84,0
85,5
86,9
87,9
88,5
89,2
90,0
91,0
92,0
93,0
94,0
95,5
96,9
97,9
98,5
99,8
100,6
101,5
102,9
103,1
104,1
105,0
106,0
107,10
108,9
109,3
110,5
111,9
112,5
113,8
114,5
115,9
116,5
117,5
118,9
119,5
120,9
121,2
122,0
123,0
124,5
125,9
126,9
127,5
128,9
129,5
130,7
131,9
132,0
133,0
134,0
135,0
136,10
137,9
138,5
139,5
140,9
141,6
142,5
143,5
144,2
145,3
146,0
147,0
148,0
149,0
150,5
151,2
152,9
153,9
154,5
155,0
156,0
157,0
158,5
159,9
160,9
161,5
162,2
163,5
164,10
165,9
166,5
167,8
168,9
169,9
170,1
171,3
172,5
173,9
174,5
175,10
176,9
177,5
178,5
179,9
180,9
181,5
182,2
183,0
184,5
185,5
186,9
187,9
188,10
189,9
190,8
191,3
192,0
193,0
194,0
195,0
196,10
197,8
198,2
199,2
200,1
201,7
202,8
203,5
204,9
205,8
206,5
207,9
208,10
209,5
210,1
211,10
212,10
213,3
214,5
215,2
216,10
217,8
218,7
219,5
220,5
221,5
222,9
223,5
224,5
225,9
226,9
227,7
228,0
229,0
230,5
231,9
232,9
233,4
234,5
235,9
236,5
237,9
238,2
239,0
240,0
241,0
242,5
243,9
244,9
245,5
246,2
247,0
248,0
249,0
250,0
251,5
252,5
253,9
254,9
255,1
256,1
257,0
258,5
259,9
260,9
261,5
262,9
263,5
264,9
265,2
266,0
267,0
268,0
269,5
270,5
271,9
272,9
273,2
274,0
275,0
276,0
277,0
278,5
279,9
280,9
281,1
282,6
283,0
284,0
285,0
286,5
287,9
288,9
289,1
290,5
291,9
292,9
293,5
294,10
295,6
296,9
297,5
298,9
299,9
300,7
301,10
302,5
303,9
304,10
305,4
306,9
307,5
308,9
309,9
310,5
311,2
312,0
313,0
314,0
315,5
316,9
317,9
318,5
319,2
320,0
321,0
322,0
323,0
324,0
325,5
326,9
327,9
328,1
329,5
330,10
331,4
332,9
333,7
334,10
335,5
336,5
337,9
338,5
339,9
340,5
341,9
342,10
343,10
344,3
345,5
346,9
347,9
348,6
349,1
350,0
351,0
352,5
353,9
354,5
355,9
356,2
357,0
358,0
359,0
360,0
361,9
362,10
363,9
364,2
365,0
366,0
367,0
368,0
369,0
370,10
371,9
372,5
373,5
374,1
375,0
376,0
377,0
378,0
379,0
