# trial_index,allocated_resources
0,8
1,9
2,3
3,9
4,1
5,0
6,0
7,0
8,0
9,0
10,5
11,9
12,9
13,5
14,2
15,0
16,0
17,0
18,0
19,0
20,5
21,9
22,9
23,5
24,1
25,1
26,0
27,0
28,0
29,0
30,10
31,9
32,7
33,4
34,0
35,0
36,0
37,0
38,0
39,0
40,5
41,9
42,9
43,5
44,2
45,0
46,0
47,0
48,0
49,0
50,10
51,4
52,9
53,5
54,2
55,0
56,0
57,0
58,0
59,0
60,9
61,5
62,9
63,5
64,2
65,0
66,0
67,0
68,0
69,0
70,10
71,5
72,9
73,5
74,1
75,0
76,0
77,0
78,0
79,0
80,5
81,9
82,9
83,5
84,2
85,0
86,0
87,0
88,0
89,0
90,8
91,9
92,3
93,9
94,1
95,0
96,0
97,0
98,0
99,0
100,5
101,9
102,9
103,5
104,2
105,0
106,0
107,0
108,0
109,0
110,5
111,9
112,9
113,5
114,1
115,1
116,0
117,0
118,0
119,0
120,10
121,9
122,7
123,4
124,0
125,0
126,0
127,0
128,0
129,0
130,5
131,9
132,9
133,5
134,2
135,0
136,0
137,0
138,0
139,0
140,10
141,4
142,9
143,5
144,2
145,0
146,0
147,0
148,0
149,0
150,9
151,5
152,9
153,5
154,2
155,0
156,0
157,0
158,0
159,0
160,10
161,5
162,9
163,5
164,1
165,0
166,0
167,0
168,0
169,0
170,5
171,9
172,9
173,5
174,2
175,0
176,0
177,0
178,0
179,0
180,8
181,9
182,3
183,9
184,1
185,0
186,0
187,0
188,0
189,0
190,5
191,9
192,9
193,5
194,2
195,0
196,0
197,0
198,0
199,0
200,5
201,9
202,9
203,5
204,1
205,1
206,0
207,0
208,0
209,0
210,10
211,9
212,7
213,4
214,0
215,0
216,0
217,0
218,0
219,0
220,5
221,9
222,9
223,5
224,2
225,0
226,0
227,0
228,0
229,0
230,10
231,4
232,9
233,5
234,2
235,0
236,0
237,0
238,0
239,0
240,9
241,5
242,9
243,5
244,2
245,0
246,0
247,0
248,0
249,0
250,10
251,5
252,9
253,5
254,1
255,0
256,0
257,0
258,0
259,0
260,5
261,9
262,9
263,5
264,2
265,0
266,0
267,0
268,0
269,0
270,8
271,9
272,3
273,9
274,1
275,0
276,0
277,0
278,0
279,0
280,5
281,9
282,9
283,5
284,2
285,0
286,0
287,0
288,0
289,0
290,5
291,9
292,9
293,5
294,1
295,1
296,0
297,0
298,0
299,0
300,10
301,9
302,7
303,4
304,0
305,0
306,0
307,0
308,0
309,0
310,5
311,9
312,9
313,5
314,2
315,0
316,0
317,0
318,0
319,0
320,10
321,4
322,9
323,5
324,2
325,0
326,0
327,0
328,0
329,0
330,9
331,5
332,9
333,5
334,2
335,0
336,0
337,0
338,0
339,0
340,10
341,5
342,9
343,5
344,1
345,0
346,0
347,0
348,0
349,0
350,5
351,9
352,9
353,5
354,2
355,0
356,0
357,0
358,0
359,0
360,8
361,9
362,3
363,9
364,1
365,0
366,0
367,0
368,0
369,0
370,5
371,9
372,9
373,5
374,2
375,0
376,0
377,0
378,0
379,0
380,5
381,9
382,9
383,5
384,1
385,1
386,0
387,0
388,0
389,0
390,10
391,9
392,7
393,4
394,0
395,0
396,0
397,0
398,0
399,0
400,5
401,9
402,9
403,5
404,2
405,0
406,0
407,0
408,0
409,0
410,10
411,4
412,9
413,5
414,2
415,0
416,0
417,0
418,0
419,0
420,9
421,5
422,9
423,5
424,2
425,0
426,0
427,0
428,0
429,0
430,10
431,5
432,9
433,5
434,1
435,0
436,0
437,0
438,0
439,0
440,5
441,9
442,9
443,5
444,2
445,0
446,0
447,0
448,0
449,0
450,8
451,9
452,3
453,9
454,1
455,0
456,0
457,0
458,0
459,0
460,5
461,9
462,9
463,5
464,2
465,0
466,0
467,0
468,0
469,0
470,5
471,9
472,9
473,5
474,1
475,1
476,0
477,0
478,0
479,0
480,10
481,9
482,7
483,4
484,0
485,0
486,0
487,0
488,0
489,0
490,5
491,9
492,9
493,5
494,2
495,0
496,0
497,0
498,0
499,0
500,10
501,4
502,9
503,5
504,2
505,0
506,0
507,0
508,0
509,0
510,9
511,5
512,9
513,5
514,2
515,0
516,0
517,0
518,0
519,0
520,10
521,5
522,9
523,5
524,1
525,0
526,0
527,0
528,0
529,0
530,5
531,9
532,9
533,5
534,2
535,0
536,0
537,0
538,0
539,0
540,8
541,9
542,3
543,9
544,1
545,0
546,0
547,0
548,0
549,0
550,5
551,9
552,9
553,5
554,2
555,0
556,0
557,0
558,0
559,0
560,5
561,9
562,9
563,5
564,1
565,1
566,0
567,0
568,0
569,0
570,10
571,9
572,7
573,4
574,0
575,0
576,0
577,0
578,0
579,0
580,5
581,9
582,9
583,5
584,2
585,0
586,0
587,0
588,0
589,0
590,10
591,4
592,9
593,5
594,2
595,0
596,0
597,0
598,0
599,0
600,9
601,5
602,9
603,5
604,2
605,0
606,0
607,0
608,0
609,0
610,10
611,5
612,9
613,5
614,1
615,0
616,0
617,0
618,0
619,0
620,5
621,9
622,9
623,5
624,2
625,0
626,0
627,0
628,0
629,0
630,8
631,9
632,3
633,9
634,1
635,0
636,0
637,0
638,0
639,0
