# trial_index,allocated_resources
0,8
1,9
2,3
3,8
4,9
5,9
6,5
7,9
8,9
9,8
10,5
11,9
12,9
13,5
14,9
15,9
16,5
17,9
18,5
19,9
20,9
21,9
22,6
23,9
24,8
25,9
26,3
27,5
28,9
29,9
30,10
31,9
32,7
33,10
34,5
35,9
36,9
37,6
38,9
39,5
40,9
41,9
42,5
43,9
44,9
45,8
46,9
47,3
48,8
49,9
50,9
51,5
52,9
53,9
54,8
55,5
56,9
57,9
58,5
59,9
60,9
61,5
62,9
63,5
64,9
65,9
66,9
67,6
68,9
69,8
70,9
71,3
72,5
73,9
74,9
75,10
76,9
77,7
78,10
79,5
80,9
81,9
82,6
83,9
84,5
85,9
86,9
87,5
88,9
89,9
90,8
91,9
92,3
93,8
94,9
95,9
96,5
97,9
98,9
99,8
100,5
101,9
102,9
103,5
104,9
105,9
106,5
107,9
108,5
109,9
110,9
111,9
112,6
113,9
114,8
115,9
116,3
117,5
118,9
119,9
120,10
121,9
122,7
123,10
124,5
125,9
126,9
127,6
128,9
129,5
130,9
131,9
132,5
133,9
134,9
135,8
136,9
137,3
138,8
139,9
140,9
141,5
142,9
143,9
144,8
145,5
146,9
147,9
148,5
149,9
150,9
151,5
152,9
153,5
154,9
155,9
156,9
157,6
158,9
159,8
160,9
161,3
162,5
163,9
164,9
165,10
166,9
167,7
168,10
169,5
170,9
171,9
172,6
173,9
174,5
175,9
176,9
177,5
178,9
179,9
180,8
181,9
182,3
183,8
184,9
185,9
186,5
187,9
188,9
189,8
190,5
191,9
