# trial_index,allocated_resources
0,8
1,9
2,3
3,9
4,1
5,0
6,0
7,0
8,0
9,0
10,5
11,9
12,9
13,5
14,2
15,0
16,0
17,0
18,0
19,0
20,5
21,9
22,9
23,5
24,1
25,1
26,0
27,0
28,0
29,0
30,10
31,9
32,7
33,4
34,5
35,9
36,9
37,8
38,6
39,9
40,5
41,1
42,1
43,0
44,0
45,0
46,9
47,6
48,9
49,6
50,0
51,0
52,0
53,0
54,0
55,5
56,9
57,9
58,5
59,2
60,0
61,0
62,0
63,0
64,0
65,5
66,9
67,9
68,5
69,9
70,9
71,5
72,2
73,0
74,0
75,10
76,9
77,7
78,10
79,5
80,9
81,5
82,1
83,0
84,0
85,5
86,9
87,9
88,5
89,2
90,0
91,0
92,0
93,0
94,0
95,10
96,4
97,9
98,5
99,8
100,5
101,9
102,5
103,3
104,0
105,0
106,0
107,8
108,5
109,9
110,5
111,9
112,9
113,5
114,9
115,9
116,5
117,5
118,9
119,9
120,7
121,0
122,0
123,0
124,5
125,9
126,9
127,5
128,5
129,9
130,9
131,5
132,1
133,1
134,0
135,0
136,9
137,6
138,9
139,6
140,10
141,4
142,9
143,5
144,2
145,0
146,0
147,0
148,0
149,0
150,9
151,5
152,9
153,5
154,2
155,0
156,0
157,0
158,5
159,9
160,9
161,5
162,2
163,5
164,9
165,9
166,5
167,10
168,10
169,3
170,5
171,2
172,8
173,6
174,9
175,5
176,9
177,9
178,5
179,9
180,9
181,5
182,2
183,0
184,10
185,10
186,5
187,5
188,5
189,9
190,9
191,5
192,2
193,0
194,0
195,0
196,5
197,9
198,9
199,5
200,1
201,1
202,8
203,5
204,9
205,8
206,5
207,9
208,9
209,7
210,0
211,9
212,10
213,9
214,2
215,0
216,9
217,6
218,9
219,5
220,5
221,9
222,9
223,5
224,8
225,6
226,9
227,5
228,2
229,0
230,10
231,4
232,9
233,5
234,8
235,5
236,9
237,5
238,3
239,0
240,0
241,0
242,8
243,5
244,9
245,5
246,3
247,0
248,0
249,0
250,0
251,5
252,9
253,9
254,7
255,0
256,0
257,0
258,10
259,5
260,9
261,9
262,6
263,9
264,5
265,1
266,0
267,0
268,0
269,8
270,6
271,9
272,5
273,2
274,0
275,0
276,0
277,0
278,5
279,9
280,9
281,5
282,2
283,0
284,0
285,0
286,5
287,9
288,9
289,5
290,5
291,9
292,9
293,5
294,8
295,9
296,3
297,5
298,9
299,9
300,7
301,9
302,10
303,9
304,5
305,9
306,9
307,8
308,6
309,9
310,5
311,1
312,1
313,0
314,0
315,8
316,9
317,3
318,9
319,1
320,0
321,0
322,0
323,0
324,0
325,5
326,9
327,9
328,5
329,2
330,9
331,5
332,9
333,5
334,5
335,9
336,9
337,5
338,5
339,9
340,9
341,5
342,5
343,9
344,9
345,10
346,9
347,7
348,4
349,0
350,0
351,0
352,8
353,6
354,9
355,5
356,1
357,1
358,0
359,0
360,0
361,9
362,6
363,9
364,6
365,0
366,0
367,0
368,0
369,0
370,5
371,9
372,9
373,5
374,2
375,0
376,0
377,0
378,0
379,0
