# trial_index,allocated_resources
0,8
1,9
2,3
3,9
4,1
5,0
6,0
7,0
8,5
9,9
10,9
11,5
12,2
13,0
14,0
15,9
16,5
17,9
18,5
19,2
20,0
21,0
22,8
23,5
24,9
25,10
26,5
27,9
28,5
29,1
30,0
31,9
32,10
33,9
34,5
35,9
36,9
37,5
38,2
39,0
40,0
41,0
42,5
43,9
44,9
45,8
46,9
47,3
48,9
49,1
50,0
51,0
52,5
53,9
54,9
55,5
56,2
57,0
58,0
59,0
60,9
61,5
62,9
63,5
64,2
65,5
66,9
67,9
68,5
69,1
70,1
71,5
72,9
73,9
74,10
75,10
76,5
77,10
78,10
79,3
80,5
81,2
82,8
83,6
84,9
85,5
86,9
87,9
88,5
89,2
90,0
91,0
92,0
93,0
94,10
95,10
96,5
97,5
98,0
99,8
100,5
101,9
102,5
103,3
104,0
105,0
106,5
107,9
108,9
109,5
110,9
111,9
112,8
113,5
114,9
115,8
116,5
117,9
118,9
119,7
120,0
121,0
122,10
123,10
124,3
125,5
126,2
127,8
128,6
129,9
130,5
131,9
132,9
133,5
134,2
135,8
136,9
137,3
138,9
139,10
140,10
141,5
142,5
143,0
144,0
145,0
146,8
147,9
148,3
149,9
150,9
151,5
152,5
153,1
154,1
155,0
156,0
157,0
158,0
159,8
160,9
161,3
162,9
163,5
164,9
165,9
166,5
167,2
168,10
169,5
170,9
171,5
172,1
173,5
174,9
175,9
176,8
177,5
178,9
179,5
180,3
181,0
182,0
183,8
184,9
185,9
186,3
187,5
188,9
189,9
190,5
191,8
192,9
193,3
194,9
195,9
196,5
197,5
198,1
199,1
200,0
201,9
202,6
203,9
204,5
205,1
206,5
207,9
208,9
209,7
210,0
211,0
212,0
213,0
214,5
215,9
216,9
217,5
218,5
219,9
220,9
221,5
222,5
223,9
224,9
225,8
226,9
227,3
228,8
229,9
230,9
231,5
232,9
233,9
234,5
235,1
236,1
237,0
238,5
239,9
240,9
241,5
242,9
243,9
244,5
245,9
246,9
247,8
248,5
249,9
250,8
251,0
252,0
253,0
254,0
255,0
256,9
257,10
258,9
259,2
260,0
261,0
262,0
263,5
264,9
265,9
266,5
267,5
268,9
269,9
270,5
271,2
272,0
273,0
274,10
275,10
276,5
277,5
278,0
279,0
280,0
281,0
282,9
283,5
284,9
285,6
286,5
287,9
288,9
289,5
290,1
291,9
292,6
293,9
294,5
295,1
296,0
297,5
298,9
299,9
300,7
301,0
302,0
303,10
304,5
305,9
306,5
307,1
308,5
309,9
310,9
311,5
312,1
313,5
314,9
315,9
316,5
317,2
318,8
319,9
320,9
321,3
322,1
323,0
324,0
325,0
326,8
327,9
328,3
329,9
330,1
331,0
332,0
