# trial_index,allocated_resources
0,8
1,9
2,3
3,9
4,1
5,10
6,4
7,9
8,5
9,2
10,0
11,0
12,9
13,5
14,9
15,6
16,1
17,0
18,5
19,9
20,9
21,5
22,2
23,5
24,9
25,9
26,5
27,5
28,9
29,9
30,7
31,0
32,0
33,10
34,5
35,9
36,5
37,8
38,6
39,9
40,5
41,1
42,1
43,0
44,0
45,8
46,9
47,3
48,9
49,1
50,0
51,0
52,0
53,5
54,9
55,9
56,5
57,2
58,0
59,0
60,0
61,5
62,9
63,9
64,5
65,9
66,9
67,5
68,1
69,8
70,9
71,3
72,5
73,9
74,9
75,7
76,0
77,10
78,10
79,3
80,5
81,2
82,0
83,0
84,0
85,5
86,9
87,9
88,5
89,2
90,8
91,9
92,3
93,9
94,1
95,0
96,5
97,9
98,9
99,5
100,1
101,1
102,0
103,0
104,0
105,0
106,5
107,9
108,9
109,5
110,1
111,9
112,6
113,9
114,8
115,9
116,3
117,5
118,9
119,9
120,10
121,9
122,7
123,4
124,0
125,0
126,0
127,0
128,5
129,9
130,9
131,5
132,1
133,1
134,0
135,8
136,9
137,3
138,9
139,10
140,10
141,5
142,5
143,0
144,0
145,5
146,9
147,9
148,5
149,2
150,0
151,5
152,9
153,9
154,5
155,1
156,9
157,6
158,9
159,5
160,1
161,0
162,5
163,9
164,9
165,7
166,0
167,0
168,0
169,0
170,5
171,9
172,9
173,5
174,2
175,0
176,0
177,5
178,9
179,9
180,8
181,9
182,3
183,9
184,1
185,0
186,0
187,5
188,9
189,9
190,5
191,8
192,9
193,3
194,9
195,1
196,0
197,8
198,5
199,9
200,5
201,3
202,8
203,5
204,9
205,10
206,5
207,9
208,5
209,1
210,0
211,0
212,0
213,0
214,0
215,5
216,9
217,9
218,5
219,2
220,0
221,8
222,5
223,9
224,5
225,8
226,9
227,3
228,9
229,1
230,0
231,0
232,0
233,0
234,8
235,5
236,9
237,5
238,3
239,0
240,0
241,5
242,9
243,9
244,5
245,1
246,1
247,0
248,5
249,9
250,9
251,5
252,2
253,0
254,10
255,10
256,5
257,10
258,10
259,3
260,5
261,9
262,9
263,5
264,2
265,0
266,0
267,5
268,9
269,9
270,8
271,9
272,3
273,9
274,1
275,0
276,0
277,0
278,0
279,8
280,5
281,9
282,9
283,5
284,9
285,6
286,1
287,0
288,5
289,9
290,9
291,5
292,2
293,0
294,8
295,9
296,3
297,9
298,1
299,0
300,10
301,9
302,7
303,4
304,0
305,5
306,9
307,9
308,5
309,2
310,0
311,8
312,5
313,9
314,5
315,8
316,9
317,3
318,9
319,10
320,10
321,5
322,5
323,0
324,0
325,0
326,0
327,9
328,5
329,9
330,6
331,5
332,9
333,9
334,5
335,1
336,1
337,0
338,5
339,9
340,9
341,5
342,9
343,9
344,7
345,0
346,9
347,10
348,9
349,2
350,5
351,9
352,9
353,5
354,2
355,0
356,0
357,0
358,0
359,0
