# trial_index,allocated_resources
0,9
1,9
2,9
3,3
4,0
5,10
6,10
7,5
8,5
9,0
10,0
11,0
12,10
13,10
14,8
15,2
16,0
17,0
18,10
19,9
20,7
21,4
22,0
23,10
24,9
25,7
26,4
27,10
28,9
29,7
30,4
31,0
32,0
33,8
34,9
35,9
36,4
37,10
38,9
39,7
40,4
41,0
42,0
43,0
44,0
45,9
46,10
47,9
48,2
49,0
50,0
51,0
52,0
53,10
54,9
55,5
56,5
57,1
58,0
59,0
60,0
61,5
62,9
63,9
64,9
65,9
66,7
67,5
68,0
69,10
70,9
71,9
72,8
73,9
74,9
75,4
76,0
77,10
78,9
79,9
80,2
81,0
82,0
83,0
84,0
85,8
86,9
87,9
88,4
89,0
90,10
91,10
92,9
93,1
94,0
95,0
96,10
97,9
98,9
99,2
100,0
101,0
102,0
103,0
104,0
105,0
106,10
107,6
108,9
109,5
110,0
111,9
112,6
113,9
114,10
115,10
116,8
117,9
118,9
119,5
120,10
121,9
122,7
123,4
124,0
125,0
126,0
127,0
128,10
129,9
130,9
131,2
132,0
133,0
134,0
135,10
136,9
137,5
138,6
139,10
140,10
141,5
142,5
143,0
144,0
145,8
146,9
147,9
148,4
149,0
150,0
151,9
152,10
153,9
154,2
155,0
156,10
157,9
158,9
159,2
160,0
161,0
162,10
163,10
164,3
165,7
166,0
167,0
168,0
169,0
170,8
171,9
172,9
173,4
174,0
175,0
176,0
177,10
178,10
179,5
180,9
181,9
182,9
183,3
184,0
185,0
186,0
187,10
188,9
189,9
190,2
191,8
192,9
193,9
194,3
195,1
196,0
197,5
198,9
199,9
200,6
201,1
202,8
203,9
204,9
205,10
206,9
207,7
208,4
209,0
210,0
211,0
212,0
213,0
214,0
215,10
216,10
217,7
218,3
219,0
220,0
221,9
222,9
223,9
224,3
225,8
226,9
227,9
228,4
229,0
230,0
231,0
232,0
233,0
234,10
235,5
236,9
237,6
238,0
239,0
240,0
241,10
242,10
243,8
244,2
245,0
246,0
247,0
248,8
249,9
250,9
251,4
252,0
253,0
254,10
255,10
256,5
257,5
258,9
259,9
260,10
261,10
262,9
263,1
264,0
265,0
266,0
267,5
268,9
269,9
270,9
271,9
272,3
273,9
274,0
275,0
276,0
277,0
278,0
279,9
280,10
281,9
282,10
283,6
284,9
285,5
286,0
287,0
288,9
289,9
290,9
291,3
292,0
293,0
294,10
295,9
296,9
297,2
298,0
299,0
300,10
301,9
302,9
303,2
304,0
305,5
306,9
307,9
308,4
309,3
310,0
311,10
312,10
313,5
314,5
315,10
316,9
317,5
318,5
319,10
320,10
321,5
322,5
323,0
324,0
325,0
326,0
327,5
328,9
329,9
330,5
331,10
332,10
333,9
334,1
335,0
336,0
337,0
338,9
339,9
340,7
341,9
342,6
343,9
344,5
345,1
346,5
347,9
348,9
349,5
350,10
351,10
352,5
353,5
354,0
355,0
356,0
357,0
358,0
359,0
