# trial_index,allocated_resources
0,5
1,9
2,9
3,5
4,2
5,5
6,9
7,7
8,9
9,0
10,0
11,0
12,5
13,9
14,9
15,5
16,2
17,0
18,5
19,9
20,9
21,5
22,1
23,5
24,9
25,9
26,5
27,5
28,9
29,9
30,5
31,2
32,0
33,5
34,9
35,5
36,5
37,5
38,9
39,9
40,5
41,2
42,0
43,0
44,0
45,5
46,9
47,9
48,5
49,1
50,1
51,0
52,0
53,5
54,9
55,9
56,5
57,2
58,0
59,0
60,0
61,5
62,2
63,9
64,5
65,9
66,9
67,5
68,2
69,8
70,5
71,9
72,5
73,5
74,9
75,9
76,2
77,5
78,9
79,9
80,5
81,2
82,0
83,0
84,0
85,5
86,9
87,9
88,5
89,2
90,5
91,9
92,5
93,1
94,9
95,1
96,5
97,5
98,9
99,9
100,2
101,0
102,0
103,0
104,0
105,0
106,5
107,9
108,9
109,5
110,2
111,5
112,9
113,9
114,5
115,5
116,9
117,5
118,5
119,9
120,5
121,9
122,9
123,5
124,2
125,0
126,0
127,0
128,9
129,5
130,9
131,5
132,1
133,1
134,0
135,5
136,2
137,9
138,9
139,5
140,9
141,7
142,9
143,0
144,0
145,5
146,9
147,9
148,5
149,2
150,0
151,5
152,9
153,5
154,1
155,9
156,5
157,9
158,9
159,2
160,5
161,0
162,5
163,5
164,9
165,9
166,1
167,1
168,0
169,0
170,5
171,9
172,9
173,5
174,2
175,0
176,0
177,5
178,5
179,2
180,5
181,9
182,9
183,5
184,2
185,0
186,0
187,5
188,9
189,9
190,5
191,9
192,5
193,9
194,5
195,1
196,1
197,5
198,9
199,9
200,5
201,2
202,8
203,5
204,9
205,5
206,9
207,9
208,5
209,2
210,0
211,0
212,0
213,0
214,0
215,5
216,5
217,9
218,9
219,2
220,0
221,5
222,9
223,6
224,9
225,5
226,9
227,9
228,5
229,2
230,0
231,0
232,0
233,0
234,5
235,9
236,9
237,5
238,1
239,1
240,0
241,5
242,5
243,2
244,9
245,8
246,1
247,0
248,5
249,5
250,9
251,9
252,2
253,0
254,5
255,5
256,9
257,9
258,5
259,9
260,5
261,9
262,9
263,5
264,2
265,0
266,0
267,5
268,9
269,9
270,8
271,5
272,9
273,5
274,3
275,0
276,0
277,0
278,0
279,5
280,9
281,9
282,5
283,9
284,5
285,9
286,1
287,1
288,5
289,9
290,9
291,5
292,1
293,1
294,5
295,5
296,9
297,9
298,1
299,1
300,9
301,5
302,9
303,2
304,2
305,5
306,9
307,9
308,5
309,2
310,0
311,9
312,5
313,7
314,9
315,5
316,9
317,9
318,5
319,5
320,9
321,9
322,5
323,2
324,0
325,0
326,0
327,9
328,6
329,9
330,5
331,8
332,5
333,5
334,2
335,9
336,1
337,0
338,5
339,9
340,9
341,5
342,9
343,9
344,5
345,1
346,10
347,4
348,9
349,5
350,8
351,5
352,9
353,2
354,5
355,1
356,0
357,0
358,0
359,0
