# trial_index,allocated_resources
0,9
1,5
2,9
3,7
4,0
5,10
6,9
7,9
8,2
9,0
10,0
11,0
12,10
13,9
14,3
15,5
16,3
17,0
18,9
19,10
20,9
21,2
22,0
23,9
24,9
25,3
26,5
27,5
28,9
29,9
30,7
31,0
32,0
33,5
34,9
35,9
36,2
37,5
38,2
39,9
40,9
41,5
42,0
43,0
44,0
45,10
46,4
47,9
48,7
49,0
50,0
51,0
52,0
53,10
54,10
55,9
56,1
57,0
58,0
59,0
60,0
61,5
62,9
63,9
64,10
65,10
66,7
67,3
68,0
69,5
70,9
71,9
72,10
73,4
74,9
75,2
76,5
77,10
78,10
79,9
80,1
81,0
82,0
83,0
84,0
85,5
86,9
87,5
88,9
89,2
90,5
91,9
92,5
93,9
94,1
95,1
96,5
97,9
98,9
99,5
100,2
101,0
102,0
103,0
104,0
105,0
106,5
107,9
108,9
109,5
110,2
111,5
112,5
113,9
114,5
115,9
116,9
117,8
118,5
119,9
120,10
121,9
122,3
123,5
124,3
125,0
126,0
127,0
128,5
129,9
130,9
131,5
132,2
133,0
134,0
135,5
136,10
137,9
138,6
139,5
140,5
141,9
142,9
143,2
144,0
145,5
146,9
147,9
148,5
149,2
150,0
151,10
152,5
153,9
154,5
155,1
156,5
157,9
158,9
159,5
160,2
161,0
162,5
163,5
164,9
165,9
166,2
167,0
168,0
169,0
170,5
171,9
172,9
173,5
174,2
175,0
176,0
177,9
178,9
179,7
180,10
181,10
182,3
183,5
184,2
185,0
186,0
187,5
188,9
189,9
190,5
191,5
192,5
193,9
194,2
195,7
196,2
197,10
198,8
199,2
200,9
201,1
202,10
203,4
204,9
205,5
206,9
207,9
208,5
209,2
210,0
211,0
212,0
213,0
214,0
215,9
216,5
217,7
218,9
219,0
220,0
221,5
222,9
223,9
224,7
225,10
226,4
227,9
228,5
229,2
230,0
231,0
232,0
233,0
234,10
235,10
236,5
237,5
238,0
239,0
240,0
241,5
242,9
243,9
244,5
245,2
246,0
247,0
248,5
249,5
250,9
251,9
252,1
253,1
254,5
255,9
256,9
257,5
258,5
259,9
260,5
261,9
262,5
263,9
264,2
265,0
266,0
267,5
268,5
269,2
270,5
271,9
272,5
273,9
274,2
275,0
276,0
277,0
278,0
279,10
280,4
281,9
282,5
283,2
284,9
285,9
286,5
287,0
288,10
289,4
290,9
291,7
292,0
293,0
294,10
295,9
296,9
297,2
298,0
299,0
300,10
301,5
302,9
303,6
304,0
305,5
306,9
307,9
308,5
309,2
310,0
311,5
312,9
313,9
314,5
315,5
316,5
317,9
318,9
319,10
320,6
321,5
322,5
323,4
324,0
325,0
326,0
327,10
328,9
329,3
330,8
331,5
332,9
333,9
334,5
335,2
336,0
337,0
338,5
339,9
340,9
341,10
342,9
343,9
344,2
345,0
346,10
347,5
348,9
349,6
350,10
351,5
352,9
353,6
354,0
355,0
356,0
357,0
358,0
359,0
