# trial_index,allocated_resources
0,10
1,10
2,5
3,5
4,0
5,10
6,10
7,6
8,4
9,0
10,0
11,0
12,10
13,10
14,6
15,4
16,0
17,0
18,10
19,10
20,5
21,5
22,0
23,10
24,10
25,5
26,5
27,10
28,10
29,5
30,5
31,0
32,0
33,10
34,10
35,5
36,5
37,10
38,10
39,5
40,5
41,0
42,0
43,0
44,0
45,10
46,10
47,6
48,4
49,0
50,0
51,0
52,0
53,10
54,10
55,5
56,5
57,0
58,0
59,0
60,0
61,10
62,10
63,6
64,10
65,10
66,6
67,4
68,0
69,10
70,10
71,5
72,10
73,10
74,6
75,4
76,0
77,10
78,10
79,6
80,4
81,0
82,0
83,0
84,0
85,10
86,10
87,5
88,5
89,0
90,10
91,10
92,6
93,4
94,0
95,0
96,10
97,10
98,5
99,5
100,0
101,0
102,0
103,0
104,0
105,0
106,10
107,10
108,5
109,5
110,0
111,10
112,10
113,5
114,10
115,10
116,5
117,10
118,10
119,5
120,10
121,10
122,5
123,5
124,0
125,0
126,0
127,0
128,10
129,10
130,5
131,5
132,0
133,0
134,0
135,10
136,10
137,5
138,5
139,10
140,10
141,5
142,5
143,0
144,0
145,10
146,10
147,5
148,5
149,0
150,0
151,10
152,10
153,5
154,5
155,0
156,10
157,10
158,5
159,5
160,0
161,0
162,10
163,10
164,5
165,5
166,0
167,0
168,0
169,0
170,10
171,10
172,6
173,4
174,0
175,0
176,0
177,10
178,10
179,5
180,10
181,10
182,5
183,5
184,0
185,0
186,0
187,10
188,10
189,5
190,5
191,10
192,10
193,5
194,5
195,0
196,0
197,10
198,10
199,6
200,4
201,0
202,10
203,10
204,5
205,10
206,10
207,6
208,4
209,0
210,0
211,0
212,0
213,0
214,0
215,10
216,10
217,5
218,5
219,0
220,0
221,10
222,10
223,5
224,5
225,10
226,10
227,5
228,5
229,0
230,0
231,0
232,0
233,0
234,10
235,10
236,5
237,5
238,0
239,0
240,0
241,10
242,10
243,5
244,5
245,0
246,0
247,0
248,10
249,10
250,5
251,5
252,0
253,0
254,10
255,10
256,6
257,10
258,10
259,5
260,10
261,10
262,5
263,5
264,0
265,0
266,0
267,10
268,10
269,5
270,10
271,10
272,5
273,5
274,0
275,0
276,0
277,0
278,0
279,10
280,10
281,5
282,10
283,10
284,5
285,5
286,0
287,0
288,10
289,10
290,6
291,4
292,0
293,0
294,10
295,10
296,6
297,4
298,0
299,0
300,10
301,10
302,5
303,5
304,0
305,10
306,10
307,5
308,5
309,0
310,0
311,10
312,10
313,5
314,5
315,10
316,10
317,6
318,4
319,10
320,10
321,5
322,5
323,0
324,0
325,0
326,0
327,10
328,10
329,5
330,5
331,10
332,10
333,6
334,4
335,0
336,0
337,0
338,10
339,10
340,5
341,10
342,10
343,5
344,5
345,0
346,10
347,10
348,5
349,5
350,10
351,10
352,5
353,5
354,0
355,0
356,0
357,0
358,0
359,0
