# trial_index,allocated_resources
0,10
1,6
2,9
3,5
4,0
5,8
6,9
7,9
8,4
9,0
10,0
11,0
12,10
13,10
14,9
15,1
16,0
17,0
18,10
19,10
20,9
21,1
22,0
23,10
24,9
25,7
26,4
27,10
28,10
29,9
30,1
31,0
32,0
33,10
34,10
35,5
36,5
37,9
38,10
39,9
40,2
41,0
42,0
43,0
44,0
45,10
46,10
47,8
48,2
49,0
50,0
51,0
52,0
53,9
54,9
55,7
56,5
57,0
58,0
59,0
60,0
61,10
62,10
63,9
64,9
65,9
66,8
67,4
68,0
69,8
70,9
71,8
72,10
73,10
74,5
75,5
76,0
77,10
78,10
79,5
80,5
81,0
82,0
83,0
84,0
85,10
86,10
87,9
88,1
89,0
90,9
91,9
92,3
93,9
94,0
95,0
96,10
97,9
98,9
99,2
100,0
101,0
102,0
103,0
104,0
105,0
106,10
107,9
108,9
109,2
110,0
111,8
112,9
113,9
114,10
115,9
116,9
117,8
118,9
119,9
120,10
121,10
122,5
123,5
124,0
125,0
126,0
127,0
128,10
129,6
130,9
131,5
132,0
133,0
134,0
135,5
136,9
137,9
138,6
139,9
140,9
141,9
142,3
143,0
144,0
145,5
146,9
147,9
148,6
149,1
150,0
151,8
152,9
153,6
154,6
155,1
156,9
157,10
158,9
159,2
160,0
161,0
162,10
163,9
164,5
165,5
166,1
167,0
168,0
169,0
170,10
171,10
172,6
173,4
174,0
175,0
176,0
177,8
178,9
179,9
180,8
181,9
182,8
183,5
184,0
185,0
186,0
187,10
188,10
189,3
190,6
191,9
192,6
193,9
194,6
195,0
196,0
197,10
198,9
199,9
200,2
201,0
202,10
203,9
204,9
205,10
206,9
207,5
208,6
209,0
210,0
211,0
212,0
213,0
214,0
215,10
216,10
217,9
218,1
219,0
220,0
221,9
222,9
223,7
224,5
225,8
226,6
227,9
228,5
229,2
230,0
231,0
232,0
233,0
234,10
235,9
236,9
237,2
238,0
239,0
240,0
241,9
242,10
243,9
244,2
245,0
246,0
247,0
248,9
249,9
250,9
251,3
252,0
253,0
254,10
255,10
256,8
257,5
258,9
259,9
260,8
261,9
262,9
263,4
264,0
265,0
266,0
267,10
268,4
269,9
270,10
271,9
272,5
273,5
274,1
275,0
276,0
277,0
278,0
279,8
280,9
281,9
282,10
283,10
284,9
285,1
286,0
287,0
288,10
289,9
290,9
291,2
292,0
293,0
294,10
295,10
296,8
297,2
298,0
299,0
300,9
301,10
302,5
303,5
304,1
305,8
306,9
307,9
308,4
309,0
310,0
311,10
312,9
313,7
314,4
315,9
316,10
317,5
318,6
319,10
320,9
321,7
322,4
323,0
324,0
325,0
326,0
327,10
328,9
329,7
330,4
331,8
332,9
333,9
334,4
335,0
336,0
337,0
338,10
339,10
340,8
341,10
342,10
343,3
344,5
345,2
346,10
347,9
348,5
349,5
350,9
351,10
352,9
353,2
354,0
355,0
356,0
357,0
358,0
359,0
